onset	duration	condition
4.1060900000156835	3	face
7.1228217000025325	2	Fixation_ant
9.153802800021367	3	win
18.226833200023975	3	face
21.249882500007516	2	Fixation_ant
23.279923599999165	3	loss
30.323992900026496	3	face
33.32894380000653	2	Fixation_ant
35.35835580001003	3	win
40.43149919999996	3	face
43.45728450000752	2	Fixation_ant
45.487175500020385	3	win
54.556555500021204	3	face
57.583974300010595	2	Fixation_ant
59.61417350001284	3	loss
66.65883860000758	3	face
69.67054560000543	2	Fixation_ant
71.70168360002572	3	loss
76.74417330001597	3	face
79.7683512000076	2	Fixation_ant
81.79868060001172	3	win
88.87473760001012	3	face
91.89327690002392	2	Fixation_ant
93.92302290000953	3	loss
100.99013390002074	3	face
104.00815820001299	2	Fixation_ant
106.03788490002626	3	win
111.11477250000462	3	face
114.13366780002252	2	Fixation_ant
116.16448020000826	3	win
123.23554710001918	3	face
126.24397580002551	2	Fixation_ant
128.2739808000042	3	loss
133.33302080002613	3	face
136.3438618000073	2	Fixation_ant
138.3742031000147	3	loss
145.43019790001563	3	face
148.43773850001162	2	Fixation_ant
150.4675746000139	3	win
157.52986050001346	3	face
160.54408530000364	2	Fixation_ant
162.5752402000071	3	win
167.64137240001583	3	face
170.6660332000174	2	Fixation_ant
172.69559200000367	3	win
177.7567605000222	3	face
180.7640271000273	2	Fixation_ant
182.79405130000669	3	win
189.86968000000343	3	face
192.8995839000272	2	Fixation_ant
194.92952950001927	3	win
199.9934051000164	3	face
202.99559280002723	2	Fixation_ant
205.02567860001	3	win
212.09760960002313	3	face
215.1048139000195	2	Fixation_ant
217.1350994000095	3	win
222.19964240002446	3	face
225.2083823000139	2	Fixation_ant
227.2381871000107	3	loss
232.29294530002517	3	face
235.29672720000963	2	Fixation_ant
237.32715430000098	3	win
242.3947703000158	3	face
245.4087972000125	2	Fixation_ant
247.4402575000131	3	loss
252.5309830000042	3	face
255.5479906000255	2	Fixation_ant
257.57892330002505	3	loss
266.6435039000062	3	face
269.6478114000056	2	Fixation_ant
271.67769470001804	3	loss
280.74350350000896	3	face
283.75400420001824	2	Fixation_ant
285.7839456000074	3	win
290.83977200000663	3	face
293.85562539999955	2	Fixation_ant
295.8860287000134	3	loss
306.93904160000966	3	face
309.95966440002667	2	Fixation_ant
311.9902895000123	3	win
317.0599086000002	3	face
320.08529880002607	2	Fixation_ant
322.115884800005	3	loss
327.17990600000485	3	face
330.1956866000255	2	Fixation_ant
332.22631170001114	3	win
339.3079686000128	3	face
342.30851910001365	2	Fixation_ant
344.3383553000167	3	loss
349.3819310000108	3	face
352.39669950000825	2	Fixation_ant
354.42733810000937	3	loss
359.47877760001575	3	face
362.4998148000159	2	Fixation_ant
364.5295643999998	3	loss
377.5802634000138	3	face
380.6101036000182	2	Fixation_ant
382.63962880001054	3	win
391.7175606000237	3	face
394.7439869000227	2	Fixation_ant
396.77310980000766	3	loss
401.83641240000725	3	face
404.84697750001214	2	Fixation_ant
406.87696390002384	3	loss
411.93236850001267	3	face
414.9625295000151	2	Fixation_ant
416.9927109000273	3	win
428.0524392000225	3	face
431.05778120001196	2	Fixation_ant
433.0875437000068	3	loss
444.14987850000034	3	face
447.1761253000004	2	Fixation_ant
449.2056871000095	3	win
462.2856567000272	3	face
465.29947150000953	2	Fixation_ant
467.3296510000073	3	loss
478.38100340001984	3	face
481.3865402000083	2	Fixation_ant
483.416660900024	3	loss
492.46931310000946	3	face
495.4774642000266	2	Fixation_ant
497.50788330001524	3	loss
506.56801260000793	3	face
509.5932258000248	2	Fixation_ant
511.62331400002586	3	loss
522.6850174000137	3	face
525.7106073000177	2	Fixation_ant
527.7404647000076	3	win
538.811955800018	3	face
541.8191141000134	2	Fixation_ant
543.8496282999986	3	loss
552.8971985000244	3	face
555.9111056000111	2	Fixation_ant
557.9413697000127	3	win
570.9981262000219	3	face
574.0065031000122	2	Fixation_ant
576.0362007000076	3	loss
589.0837860000029	3	face
592.1060001000005	2	Fixation_ant
594.1369046000182	3	loss
603.19501950001	3	face
606.2030110000051	2	Fixation_ant
608.2332488000102	3	loss
621.3026144000178	3	face
624.3331533000164	2	Fixation_ant
626.3633825000143	3	loss
639.4175017000234	3	face
642.4377464000136	2	Fixation_ant
644.4683413000021	3	loss
655.5275445000152	3	face
658.5541803000087	2	Fixation_ant
660.5847078000079	3	win
667.6621489000099	3	face
670.6718632000266	2	Fixation_ant
672.7019299000094	3	win
681.7711822000274	3	face
684.7917040000029	2	Fixation_ant
686.8222497000243	3	loss
695.8839989000116	3	face
698.8957805000246	2	Fixation_ant
700.9264412000193	3	win
707.9992443000083	3	face
711.0044446000247	2	Fixation_ant
713.0353419000166	3	win
722.1114307000244	3	face
725.126259600016	2	Fixation_ant
727.1567801000201	3	win
740.229391300003	3	face
743.2368742000253	2	Fixation_ant
745.2664242000028	3	win
750.3330295000051	3	face
753.3371423000062	2	Fixation_ant
755.3671590000158	3	win
764.4357544000086	3	face
767.4432992000075	2	Fixation_ant
769.474526200007	3	win
782.5306535999989	3	face
785.5467388000106	2	Fixation_ant
787.5774721000053	3	loss
