TrialNumber,Trial,ISI,ITI,winlose,face_image_L,face_image_R,ran,order,decision_onset,resp,rt,resp_onset,resp_offset,trialDuration,pre_feedback_fix_onset,pre_feedback_fix_duration,arrow_onset,arrow_offset,ITIonset,ITIoffset,Date_Time
1,1,2,6,win,M111.jpg,M25.jpg,1.0,0.0,4.10609,999.0,999.0,999.0,7.122035,3.016518,7.122822,2.0,9.153803,12.162002,12.162392,18.169844,2019-11-01 14:25:42.484869
2,2,2,4,loss,M109.jpg,M39.jpg,1.0,1.0,18.226833,999.0,999.0,999.0,21.24941,3.0229352,21.249882,2.0,23.279924,26.282007,26.282228,30.284676,2019-11-01 14:25:54.599777
3,3,4,2,win,M95.jpg,M65.jpg,1.0,2.0,30.323994,999.0,999.0,999.0,33.32844,3.0048223,33.328945,2.0,35.358356,38.362537,38.362774,40.378036,2019-11-01 14:26:04.693209
4,4,4,6,win,F61.jpg,F13.jpg,1.0,3.0,40.4315,999.0,999.0,999.0,43.456768,3.0256298,43.457283,2.0,45.487175,48.49107,48.49132,54.501217,2019-11-01 14:26:18.816507
5,5,2,4,loss,F115.jpg,F39.jpg,1.0,4.0,54.556557,999.0,999.0,999.0,57.583454,3.0272877,57.583973,2.0,59.614174,62.61672,62.61695,66.61945,2019-11-01 14:26:30.934842
6,6,2,2,loss,M33.jpg,M113.jpg,1.0,5.0,66.65884,999.0,999.0,999.0,69.67007,3.0115924,69.67055,2.0,71.70168,74.70379,74.704025,76.7062,2019-11-01 14:26:41.021657
7,7,6,4,win,M101.jpg,M97.jpg,1.0,6.0,76.74417,999.0,999.0,999.0,79.76788,3.0240636,79.76835,2.0,81.79868,84.80251,84.80281,88.82065,2019-11-01 14:26:53.136209
8,8,2,4,loss,F07.jpg,F15.jpg,1.0,7.0,88.87474,999.0,999.0,999.0,91.89278,3.0184033,91.89328,2.0,93.92302,96.924934,96.92515,100.92769,2019-11-01 14:27:05.243371
9,9,8,2,win,F47.jpg,F63.jpg,1.0,8.0,100.990135,999.0,999.0,999.0,104.00766,3.0178795,104.008156,2.0,106.03789,109.04146,109.04176,111.05857,2019-11-01 14:27:15.374283
10,10,2,4,win,F45.jpg,F71.jpg,1.0,9.0,111.11477,999.0,999.0,999.0,114.13316,3.018762,114.13367,2.0,116.16448,119.167946,119.1682,123.178246,2019-11-01 14:27:27.494084
