TrialNumber,Trialn,Blockn,BlockType,Partner,Feedback,ITI,ran,order,studyStart,InitFixOnset,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,1,5,3,3,0.750000,1.0,0.0,2.6000198e-06,0.0098646,4.1702137,2.0,5.238129,1.0679156,3.0,6.688435,7.695947,3.5257335,7.696128,8.454994
2,2,1,5,3,1,0.750000,1.0,1.0,--,--,8.607277,2.0,9.73854,1.1312629,8.0,11.124448,12.132094,3.5248177,12.132242,12.888397
3,3,1,5,3,1,0.750000,1.0,2.0,--,--,13.03788,2.0,13.772092,0.7342125,8.0,15.555218,16.55947,3.5215902,16.559612,17.321884
4,4,1,5,3,1,0.750000,1.0,3.0,--,--,17.469393,3.0,18.605015,1.1356221,3.0,19.987207,20.991709,3.5223165,20.991867,21.754967
5,5,1,5,3,1,0.750000,1.0,4.0,--,--,21.902733,3.0,22.488728,0.5859951,1.0,24.419634,25.425709,3.5229754,25.425867,26.18838
6,6,1,5,3,3,0.750000,1.0,5.0,--,--,26.334944,2.0,27.722158,1.3872164,3.0,28.851068,29.856129,3.5211859,29.856274,30.621572
7,7,1,5,3,1,0.750000,1.0,6.0,--,--,30.767273,2.0,31.888453,1.1211791,9.0,33.283833,34.290127,3.5228534,34.290268,35.05498
8,8,1,5,3,1,10,1.0,7.0,--,--,35.20256,2.0,36.471676,1.2691147,6.0,37.719807,38.72529,3.5227282,38.725437,48.738434
9,9,2,3,2,1,0.750000,1.0,8.0,--,--,48.76924,2.0,49.32183,0.5525888,7.0,51.28652,52.29104,3.5217988,52.291183,53.054985
10,10,2,3,2,1,0.750000,1.0,9.0,--,--,53.080532,2.0,53.47186,0.3913293,7.0,55.59782,56.601276,3.5207467,56.60142,57.35486
11,11,2,3,2,1,0.750000,1.0,10.0,--,--,57.379734,2.0,57.905388,0.5256546,8.0,59.897392,60.90264,3.5229084,60.902794,61.654934
12,12,2,3,2,1,0.750000,1.0,11.0,--,--,61.678226,2.0,62.221462,0.5432378,7.0,64.19473,65.19911,3.5208883,65.199265,65.95499
13,13,2,3,2,3,0.750000,1.0,12.0,--,--,65.98017,2.0,66.438034,0.4578572,1.0,68.497406,69.502815,3.5226424,69.50296,70.2547
14,14,2,3,2,1,0.750000,1.0,13.0,--,--,70.28006,2.0,70.7552,0.4751432,7.0,72.79625,73.80231,3.5222507,73.80245,74.55478
15,15,2,3,2,1,0.750000,1.0,14.0,--,--,74.57938,2.0,75.27198,0.6926067,8.0,77.09649,78.10012,3.5207472,78.10027,78.854774
16,16,2,3,2,2,10,1.0,15.0,--,--,78.88114,2.0,79.20516,0.3240194,5.0,81.39726,82.40478,3.5236392,82.40493,92.40499
17,17,3,5,3,1,0.750000,1.0,16.0,--,--,92.55436,3.0,93.73864,1.1842813,1.0,95.07115,96.07697,3.5226104,96.07712,96.83842
18,18,3,5,3,1,0.750000,1.0,17.0,--,--,96.98538,3.0,97.58861,0.6032283,4.0,99.50135,100.506615,3.5212314,100.50677,101.27146
19,19,3,5,3,2,0.750000,1.0,18.0,--,--,101.41624,2.0,101.805244,0.3890092,5.0,103.93249,104.93757,3.5213287,104.93771,105.68807
20,20,3,5,3,3,0.750000,1.0,19.0,--,--,105.833916,3.0,107.40521,1.571292,6.0,108.35083,109.35612,3.5221958,109.35626,110.12177
21,21,3,5,3,1,0.750000,1.0,20.0,--,--,110.26961,3.0,110.922035,0.6524295,1.0,112.78608,113.79027,3.520661,113.79041,114.55483
22,22,3,5,3,1,0.750000,1.0,21.0,--,--,114.700676,3.0,115.10481,0.4041366,3.0,117.21814,118.22326,3.5225842,118.223404,118.98804
23,23,3,5,3,1,0.750000,1.0,22.0,--,--,119.132935,3.0,119.65505,0.5221211,2.0,121.65024,122.65572,3.5227864,122.65588,123.42141
24,24,3,5,3,1,10,1.0,23.0,--,--,123.56706,3.0,123.90501,0.3379472,2.0,126.08435,127.08813,3.5210712,127.08828,137.10478
25,25,4,1,1,1,0.750000,1.0,24.0,--,--,137.1112,2.0,138.48799,1.3767796,6.0,139.62941,140.63393,3.5227127,140.63406,141.38809
26,26,4,1,1,2,0.750000,1.0,25.0,--,--,141.3899,2.0,141.80515,0.4152379,5.0,143.90703,144.91217,3.5222695,144.91232,145.67165
27,27,4,1,1,2,0.750000,1.0,26.0,--,--,145.67325,2.0,146.05447,0.3812238,5.0,148.19025,149.1952,3.5219646,149.19536,149.955
28,28,4,1,1,1,0.750000,1.0,27.0,--,--,149.95657,2.0,150.38765,0.4310712,9.0,152.47433,153.47963,3.5230565,153.47978,154.23802
29,29,4,1,1,1,0.750000,1.0,28.0,--,--,154.23956,2.0,154.88837,0.648793,8.0,156.7564,157.7614,3.521831,157.76155,158.52162
30,30,4,1,1,1,0.750000,1.0,29.0,--,--,158.52324,3.0,159.07191,0.5486745,1.0,161.04036,162.0452,3.5219672,162.04535,162.80496
31,31,4,1,1,1,0.750000,1.0,30.0,--,--,162.80661,2.0,163.43748,0.6308631,9.0,165.3244,166.33025,3.5236344,166.3304,167.08797
32,32,4,1,1,1,12,1.0,31.0,--,--,167.08952,2.0,167.37146,0.2819417,9.0,169.60805,170.61314,3.5236337,170.61339,182.6214
33,33,5,4,2,3,0.750000,1.0,32.0,--,--,182.64674,2.0,183.42188,0.7751305,3.0,185.16338,186.16884,3.5220895,186.16899,186.92134
34,34,5,4,2,3,0.750000,1.0,33.0,--,--,186.94617,2.0,187.30438,0.3582205,3.0,189.46307,190.4672,3.5210323,190.46735,191.22131
35,35,5,4,2,1,0.750000,1.0,34.0,--,--,191.2439,2.0,192.27185,1.0279447,8.0,193.76144,194.76686,3.522962,194.767,195.5214
36,36,5,4,2,3,0.750000,1.0,35.0,--,--,195.54567,3.0,196.1382,0.5925365,8.0,198.06247,199.06685,3.521188,199.067,199.82144
37,37,5,4,2,3,0.750000,1.0,36.0,--,--,199.84639,2.0,201.20415,1.3577582,1.0,202.36548,203.37001,3.523626,203.37016,204.12132
38,38,5,4,2,1,0.750000,1.0,37.0,--,--,204.14482,2.0,204.42159,0.2767585,8.0,206.66154,207.66776,3.522939,207.66791,208.42152
39,39,5,4,2,3,0.750000,1.0,38.0,--,--,208.44666,2.0,208.90439,0.457726,3.0,210.964,211.96918,3.5225239,211.96931,212.72159
40,40,5,4,2,3,12,1.0,39.0,--,--,212.74617,3.0,213.62183,0.8756594,8.0,215.2626,216.26779,3.521633,216.26796,228.27136
41,41,6,6,3,3,0.750000,1.0,40.0,--,--,228.42155,3.0,229.15489,0.73333,8.0,230.93857,231.94301,3.5214524,231.94316,232.705
42,42,6,6,3,3,0.750000,1.0,41.0,--,--,232.85606,3.0,233.45476,0.5986893,8.0,235.37346,236.37753,3.5214603,236.37767,237.13797
43,43,6,6,3,3,0.750000,1.0,42.0,--,--,237.28381,2.0,237.63824,0.3544438,2.0,239.80038,240.80417,3.520358,240.80432,241.55516
44,44,6,6,3,2,0.750000,1.0,43.0,--,--,241.70027,2.0,241.92096,0.2206957,5.0,244.21823,245.22327,3.522996,245.2234,245.98805
45,45,6,6,3,3,0.750000,1.0,44.0,--,--,246.13167,2.0,246.42137,0.2897086,4.0,248.64842,249.65314,3.521475,249.65329,250.40459
46,46,6,6,3,2,0.750000,1.0,45.0,--,--,250.5477,3.0,250.78822,0.2405288,5.0,253.06445,254.06927,3.52158,254.06943,254.82123
47,47,6,6,3,3,0.750000,1.0,46.0,--,--,254.96487,3.0,255.2382,0.2733347,7.0,257.4816,258.48737,3.5224998,258.48752,259.23776
48,48,6,6,3,3,8,1.0,47.0,--,--,259.38068,3.0,259.6378,0.2571037,8.0,261.89838,262.90256,3.5218587,262.90268,270.90485
49,49,7,4,2,3,0.750000,1.0,48.0,--,--,270.93088,3.0,272.0716,1.140722,6.0,273.44742,274.4511,3.5202272,274.45126,275.2045
50,50,7,4,2,2,0.750000,1.0,49.0,--,--,275.22986,3.0,275.75494,0.5250773,5.0,277.74646,278.75174,3.5218675,278.7519,279.5045
51,51,7,4,2,3,0.750000,1.0,50.0,--,--,279.52902,2.0,279.77182,0.2427861,4.0,282.04605,283.05014,3.5211256,283.0503,283.8048
52,52,7,4,2,3,0.750000,1.0,51.0,--,--,283.82828,2.0,284.13736,0.3090638,2.0,286.3454,287.34985,3.5215669,287.35,288.1048
53,53,7,4,2,1,0.750000,1.0,52.0,--,--,288.12936,2.0,288.38785,0.2584603,9.0,290.64648,291.65192,3.5225296,291.65207,292.4048
54,54,7,4,2,3,0.750000,1.0,53.0,--,--,292.42908,3.0,292.98782,0.5587442,9.0,294.94742,295.95312,3.5240476,295.95328,296.70438
55,55,7,4,2,3,0.750000,1.0,54.0,--,--,296.7285,3.0,297.2375,0.5090104,7.0,299.24518,300.25104,3.5225518,300.2512,301.00446
56,56,7,4,2,3,8,1.0,55.0,--,--,301.0281,2.0,301.37146,0.3433495,2.0,303.54547,304.5494,3.5213082,304.54956,312.5545
57,57,8,2,1,2,0.750000,1.0,56.0,--,--,312.55762,3.0,313.28766,0.7300363,5.0,315.07446,316.07993,3.5223107,316.08008,316.83795
58,58,8,2,1,3,0.750000,1.0,57.0,--,--,316.83972,3.0,317.1879,0.3481816,9.0,319.35614,320.36142,3.5216868,320.36157,321.1212
59,59,8,2,1,3,0.750000,1.0,58.0,--,--,321.12292,3.0,321.42166,0.2987228,6.0,323.63937,324.6443,3.5213678,324.64444,325.40475
60,60,8,2,1,3,0.750000,1.0,59.0,--,--,325.40643,2.0,325.68762,0.2811808,3.0,327.92383,328.9282,3.5217688,328.92834,329.6877
61,61,8,2,1,3,0.750000,1.0,60.0,--,--,329.68927,2.0,329.9381,0.24883,2.0,332.20645,333.2105,3.5212483,333.21066,333.97137
62,62,8,2,1,1,0.750000,1.0,61.0,--,--,333.97296,3.0,334.17166,0.1986993,2.0,336.48953,337.4951,3.5221066,337.49524,338.2543
63,63,8,2,1,3,0.750000,1.0,62.0,--,--,338.25586,2.0,338.62164,0.3657953,2.0,340.77338,341.77786,3.5219984,341.778,342.5379
64,64,8,2,1,3,8,1.0,63.0,--,--,342.5395,3.0,342.80554,0.2660366,7.0,345.05542,346.0592,3.5197053,346.05936,354.07138
65,65,9,6,3,2,0.750000,1.0,64.0,--,--,354.2186,3.0,354.75464,0.5360154,5.0,356.73456,357.74002,3.521415,357.74017,358.50446
66,66,9,6,3,3,0.750000,1.0,65.0,--,--,358.648,3.0,358.90414,0.2561438,7.0,361.16534,362.1708,3.522785,362.17096,362.92166
67,67,9,6,3,3,0.750000,1.0,66.0,--,--,363.0662,3.0,363.13837,0.0721844,7.0,365.58334,366.5882,3.52201,366.58835,367.3544
