TrialNumber,Trialn,Blockn,BlockType,Partner,Feedback,ITI,ran,order,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,1,5,3,3,0.750000,1.0,0.0,4.2406282,2.0,6.5636044,2.3229764,4.0,6.757436,7.769504,3.5288758,7.769701,8.531443
2,2,1,5,3,1,0.750000,1.0,1.0,8.753255,3.0,10.432764,1.6795086,3.0,11.270629,12.279213,3.525958,12.279372,13.034673
3,3,1,5,3,1,0.750000,1.0,2.0,13.202427,3.0,15.569958,2.3675306,3.0,15.718928,16.72403,3.521602,16.724194,17.487926
4,4,1,5,3,1,0.750000,1.0,3.0,17.668165,3.0,19.673014,2.0048485,4.0,20.18582,21.190899,3.5227337,21.191055,21.957697
5,5,1,5,3,1,0.750000,1.0,4.0,22.132446,3.0,23.442286,1.3098396,1.0,24.650259,25.656406,3.5239606,25.656567,26.41083
6,6,1,5,3,3,0.750000,1.0,5.0,26.580236,3.0,27.912197,1.331962,6.0,29.097988,30.10726,3.527024,30.107512,30.864027
7,7,1,5,3,1,0.750000,1.0,6.0,31.030643,3.0,32.33194,1.3012983,4.0,33.547955,34.5544,3.5237584,34.554558,35.317135
8,8,1,5,3,1,10,1.0,7.0,35.494247,3.0,37.13538,1.6411299,4.0,38.011288,39.016457,3.522209,39.016613,49.026913
9,9,2,3,2,1,0.750000,1.0,8.0,49.100677,2.0,50.344707,1.2440315,7.0,51.617664,52.624603,3.5239258,52.624756,53.38
10,10,2,3,2,1,0.750000,1.0,9.0,53.42391,3.0,53.93066,0.5067528,4.0,55.941578,56.946564,3.522654,56.94672,57.69977
11,11,2,3,2,1,0.750000,1.0,10.0,57.742672,3.0,58.15033,0.4076593,4.0,60.26025,61.265045,3.5223727,61.265198,62.01949
12,12,2,3,2,1,0.750000,1.0,11.0,62.062897,3.0,63.12042,1.0575218,3.0,64.57976,65.58467,3.5217729,65.58482,66.33927
