TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,3,21,1,4.5,0,1,1.0,0.0,5.008544,6.0067716,6.023334,6.023543,10.541934,10.542104,2.0,2.5324955,13.074599,14.058833,3.5174167,14.0596695,15.062029
2,2,2,19,1,4.5,1,6,1.0,1.0,16.058632,17.05707,17.073719,17.073994,21.591078,21.5912,3.0,1.4001977,22.991398,25.106932,3.516276,25.107582,26.108929
3,3,1,25,1,1.5,11,5,1.0,2.0,27.108889,28.106747,28.12371,28.123993,29.64196,29.64208,2.0,1.8152755,31.457355,33.16029,3.5187688,33.160957,34.16202
4,4,3,23,1,1.5,10,0,1.0,3.0,35.158573,36.156807,36.173416,36.173534,37.69096,37.691105,2.0,1.2339838,38.925087,41.20895,3.518395,41.20962,42.211647
5,5,3,17,5,3,0,5,1.0,4.0,43.208153,44.207012,44.223663,44.223824,47.241978,47.24212,3.0,2.1324291,49.37455,50.75954,3.5180075,50.76025,55.76204
6,6,1,19,3,1.5,6,4,1.0,5.0,56.758633,57.756702,57.77335,57.773495,59.291016,59.291138,2.0,1.3335711,60.62471,62.807964,3.5173812,62.808624,65.8106
7,7,2,19,1,1.5,9,1,1.0,6.0,66.8088,67.80701,67.82341,67.8236,69.340965,69.34109,2.0,1.016256,70.357346,72.858376,3.5178342,72.85903,73.86095
8,8,3,21,1,1.5,1,0,1.0,7.0,74.85856,75.856636,75.8733,75.873375,77.39107,77.39121,3.0,2.350167,79.74138,80.90679,3.5161388,80.90746,81.908554
9,9,2,17,1,4.5,3,1,1.0,8.0,82.90851,83.90667,83.923225,83.923386,88.439964,88.44009,2.0,1.8013289,90.24142,91.95553,3.5159721,91.95616,92.95774
10,10,2,19,8,3,4,6,1.0,9.0,93.9585,94.95693,94.9736,94.97388,97.99104,97.99116,3.0,1.7161044,99.70726,101.50814,3.5175295,101.50879,109.50995
11,11,3,23,1,1.5,4,0,1.0,10.0,110.50846,111.5069,111.523315,111.523506,113.04113,113.041275,2.0,1.4831862,114.52446,116.55798,3.5172434,116.55864,117.56099
12,12,1,25,3,1.5,11,8,1.0,11.0,118.55852,119.55688,119.57357,119.57382,121.09095,121.09107,3.0,2.2161734,123.30724,124.608986,3.5184846,124.60968,127.61164
13,13,1,17,1,3,8,1,1.0,12.0,128.60846,129.60689,129.62332,129.6236,132.64096,132.64108,2.0,0.9332763,133.57436,136.15884,3.5183537,136.15955,137.16107
14,14,2,17,8,1.5,3,8,1.0,13.0,138.1587,139.15688,139.17331,139.17354,140.69038,140.6905,2.0,2.384082,143.07458,144.207,3.5170624,144.20769,152.20966
