Risk_per,Money,Color,Amb,RiskisLeft,response,RT,dist
20,13,blue,100,0,['f'],3.890553600000203,wide
30,13,blue,100,1,['j'],1.4313161000000036,wide
40,13,blue,100,1,['j'],2.1788722999999663,wide
50,13,blue,100,0,['j'],2.4279445000001942,wide
60,13,blue,100,0,['j'],1.483639499999299,wide
70,13,blue,100,1,['f'],3.0311070999996446,wide
80,13,blue,100,1,['f'],1.335405499999979,wide
90,13,blue,100,1,['f'],0.7628820999998425,wide
20,13,blue,50,0,['f'],3.4300139999995736,wide
30,13,blue,50,0,['f'],2.4706171999996513,wide
40,13,blue,50,0,['f'],2.5898787999994966,wide
50,13,blue,50,1,['f'],3.8994884000003367,wide
60,13,blue,50,1,['f'],1.8524735000000874,wide
70,13,blue,50,1,['f'],1.7089575999998488,wide
80,13,blue,50,1,['f'],1.1827626000003875,wide
90,13,blue,50,0,['j'],1.417688300000009,wide
20,13,red,100,1,['j'],1.6599324000007982,narrow
30,13,red,100,0,['j'],1.3284138999997595,narrow
40,13,red,100,0,['j'],0.9214947000000393,narrow
50,13,red,100,1,['j'],2.098197200000868,narrow
60,13,red,100,0,['f'],2.2576059000002715,narrow
70,13,red,100,0,['j'],1.1437631999997393,narrow
80,13,red,100,0,['j'],0.6130584000002273,narrow
90,13,red,100,0,['j'],0.7665511000004699,narrow
20,13,red,50,0,['f'],3.5414099999998143,narrow
30,13,red,50,1,No_resp,4,narrow
40,13,red,50,0,['f'],0.9147179999999935,narrow
50,13,red,50,1,['f'],1.5686271000004126,narrow
60,13,red,50,0,['j'],1.0636427999997977,narrow
70,13,red,50,1,['f'],0.9288675999996485,narrow
80,13,red,50,0,['j'],0.9030232000004617,narrow
90,13,red,50,1,['f'],1.0914468999999372,narrow
20,13,green,100,0,['f'],2.4624610000000757,skew
30,13,green,100,0,['f'],0.8073022000007768,skew
40,13,green,100,0,['f'],1.2769310000003316,skew
50,13,green,100,1,['f'],1.2225271000006614,skew
60,13,green,100,1,['f'],1.9403754999993907,skew
70,13,green,100,0,['j'],0.571841900000436,skew
80,13,green,100,0,['j'],0.4844914000004792,skew
90,13,green,100,0,['j'],0.8727820000003703,skew
20,13,green,50,1,['j'],3.5175560000006953,skew
30,13,green,50,1,['j'],0.8755719000000681,skew
40,13,green,50,1,['j'],0.4697046000001137,skew
50,13,green,50,1,['j'],0.4978207000003749,skew
60,13,green,50,0,['f'],3.240415600000233,skew
70,13,green,50,0,['j'],2.0378640999997515,skew
80,13,green,50,0,['j'],1.3001407000001564,skew
90,13,green,50,1,['f'],1.445803700000397,skew
20,13,yellow,100,1,['j'],3.841751099999783,True_unkown
30,13,yellow,100,0,['j'],1.6583193999995274,True_unkown
40,13,yellow,100,0,['f'],1.3844818999996278,True_unkown
50,13,yellow,100,1,['j'],1.0343763999999283,True_unkown
60,13,yellow,100,1,['f'],0.8838482999999542,True_unkown
70,13,yellow,100,1,['f'],1.0846049000001585,True_unkown
80,13,yellow,100,0,['j'],1.1404765999996016,True_unkown
90,13,yellow,100,1,['f'],0.48024619999978313,True_unkown
20,13,yellow,50,1,['f'],3.066783100000066,True_unkown
30,13,yellow,50,1,['j'],1.431112199999916,True_unkown
40,13,yellow,50,0,['f'],2.2257194000003437,True_unkown
50,13,yellow,50,0,['j'],1.2739905999997063,True_unkown
60,13,yellow,50,0,['j'],1.0345754999998462,True_unkown
70,13,yellow,50,1,['f'],2.2476008000003276,True_unkown
80,13,yellow,50,1,['f'],1.4286336000004667,True_unkown
90,13,yellow,50,1,['f'],1.1411379000001034,True_unkown
