TrialNumber,Trialn,Blockn,BlockType,Partner,Feedback,ITI,ran,order,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,1,1,1,3,0.750000,1.0,0.0,4.0180726,2.0,6.2323375,2.2142649,1.0,6.5345216,7.543552,3.5254793,7.543937,8.296478
2,2,1,1,1,1,0.750000,1.0,1.0,8.311024,2.0,8.797315,0.48629138,6.0,10.826817,11.834811,3.5237877,11.835149,12.592658
3,3,1,1,1,1,0.750000,1.0,2.0,12.606329,2.0,12.926952,0.32062295,7.0,15.122594,16.129648,3.5233188,16.129915,16.888985
4,4,1,1,1,3,0.750000,1.0,3.0,16.902231,2.0,17.605696,0.70346326,3.0,19.419817,20.428097,3.5258648,20.428432,21.185883
5,5,1,1,1,1,0.750000,1.0,4.0,21.198906,0.0,999.0,999.0,999.0,23.700842,24.717964,3.519059,24.718239,25.48216
6,6,1,1,1,1,0.750000,1.0,5.0,25.498274,0.0,999.0,999.0,999.0,28.014338,29.030048,3.5317733,29.030315,29.79556
7,7,1,1,1,1,0.750000,1.0,6.0,29.80873,0.0,999.0,999.0,999.0,32.310253,33.326538,3.5178092,33.3268,34.091606
8,8,1,1,1,1,10,1.0,7.0,34.10447,0.0,999.0,999.0,999.0,36.606846,37.623947,3.5194774,37.62421,47.6308
9,9,2,3,2,1,0.750000,1.0,8.0,47.64796,0.0,999.0,999.0,999.0,50.162354,51.17819,3.5302293,51.178448,51.944424
10,10,2,3,2,1,0.750000,1.0,9.0,51.956352,0.0,999.0,999.0,999.0,54.458874,55.47557,3.5192168,55.47583,56.240364
11,11,2,3,2,1,0.750000,1.0,10.0,56.25291,0.0,999.0,999.0,999.0,58.755585,59.771282,3.5183706,59.77178,60.53693
12,12,2,3,2,2,0.750000,1.0,11.0,60.54878,0.0,999.0,999.0,999.0,63.051655,64.06831,3.5195305,64.06858,64.83309
13,13,2,3,2,1,0.750000,1.0,12.0,64.84499,0.0,999.0,999.0,999.0,67.34822,68.364624,3.5196307,68.36492,69.12995
14,14,2,3,2,2,0.750000,1.0,13.0,69.14632,0.0,999.0,999.0,999.0,71.66147,72.678345,3.532027,72.67887,73.44323
15,15,2,3,2,1,0.750000,1.0,14.0,73.459366,0.0,999.0,999.0,999.0,75.97503,76.991325,3.5319583,76.991646,77.75686
16,16,2,3,2,1,8,1.0,15.0,77.77647,0.0,999.0,999.0,999.0,80.28875,81.305145,3.5286736,81.30572,89.31294
