TrialNumber,Trialn,Blockn,BlockType,Partner,Feedback,ITI,ran,order,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,1,1,1,1,0.75,1.0,0.0,4.0130053,0.0,999.0,999.0,999.0,6.5191064,7.535371,3.5223656,7.5355983,8.2866745
2,2,1,1,1,1,0.75,1.0,1.0,8.290272,0.0,999.0,999.0,999.0,10.805901,11.822715,3.532443,11.82289,12.573526
3,3,1,1,1,1,0.75,1.0,2.0,12.57582,0.0,999.0,999.0,999.0,15.076627,16.092688,3.5168672,16.09286,16.843618
4,4,1,1,3,1,0.75,1.0,3.0,16.848433,0.0,999.0,999.0,999.0,19.362825,20.378689,3.5302567,20.37886,21.13065
5,5,1,1,3,2,0.75,1.0,4.0,21.132708,0.0,999.0,999.0,999.0,23.633314,24.649694,3.5169861,24.649868,25.40089
6,6,1,1,3,1,0.75,1.0,5.0,25.402899,0.0,999.0,999.0,999.0,27.903416,28.920635,3.5177372,28.920813,29.687653
7,7,1,1,2,2,0.75,1.0,6.0,29.693323,0.0,999.0,999.0,999.0,32.20693,33.223454,3.530131,33.22363,33.974438
8,8,1,1,2,1,12,1.0,7.0,33.97743,0.0,999.0,999.0,999.0,36.493824,37.509827,3.5323982,37.510006,49.520897
9,9,2,5,3,3,0.75,1.0,8.0,49.525665,0.0,999.0,999.0,999.0,52.039997,53.056355,3.5306873,53.05653,53.807564
10,10,2,5,3,1,0.75,1.0,9.0,53.809616,0.0,999.0,999.0,999.0,56.309853,57.327454,3.5178394,57.32763,58.077763
11,11,2,5,3,1,0.75,1.0,10.0,58.079815,0.0,999.0,999.0,999.0,60.580894,61.597076,3.5172598,61.59725,62.347954
12,12,2,5,3,1,0.75,1.0,11.0,62.349964,0.0,999.0,999.0,999.0,64.850746,65.86785,3.517891,65.868034,66.61827
13,13,2,5,3,1,0.75,1.0,12.0,66.62034,0.0,999.0,999.0,999.0,69.13746,70.153564,3.5332258,70.15373,70.90511
14,14,2,5,3,1,0.75,1.0,13.0,70.90718,0.0,999.0,999.0,999.0,73.42412,74.44093,3.5337498,74.44111,75.192726
15,15,2,5,3,2,0.75,1.0,14.0,75.19508,0.0,999.0,999.0,999.0,77.71124,78.72811,3.5330245,78.72829,79.47873
16,16,2,5,3,1,8,1.0,15.0,79.48075,0.0,999.0,999.0,999.0,81.98198,82.99891,3.518158,82.99909,91.00502
17,17,3,6,3,3,0.75,1.0,16.0,91.00804,0.0,999.0,999.0,999.0,93.51082,94.52829,3.5202467,94.528465,95.29048
18,18,3,6,3,3,0.75,1.0,17.0,95.29245,0.0,999.0,999.0,999.0,97.797226,98.81666,3.524208,98.816864,99.57829
19,19,3,6,3,3,0.75,1.0,18.0,99.58035,0.0,999.0,999.0,999.0,102.08103,103.09789,3.5175397,103.09807,103.849915
20,20,3,6,3,3,0.75,1.0,19.0,103.85193,0.0,999.0,999.0,999.0,106.352425,107.36889,3.516957,107.369064,108.12165
21,21,3,6,3,1,0.75,1.0,20.0,108.12367,0.0,999.0,999.0,999.0,110.62869,111.64697,3.523297,111.647255,112.405106
22,22,3,6,3,3,0.75,1.0,21.0,112.40712,0.0,999.0,999.0,999.0,114.90885,115.92549,3.518378,115.925674,116.67802
23,23,3,6,3,2,0.75,1.0,22.0,116.680046,0.0,999.0,999.0,999.0,119.18034,120.197105,3.5170612,120.19728,120.94842
24,24,3,6,3,3,10,1.0,23.0,120.95041,0.0,999.0,999.0,999.0,123.46562,124.48211,3.5316992,124.482285,134.49292
25,25,4,5,3,1,0.75,1.0,24.0,134.49591,0.0,999.0,999.0,999.0,137.01193,138.02773,3.5318215,138.02791,138.77974
26,26,4,5,3,1,0.75,1.0,25.0,138.78177,0.0,999.0,999.0,999.0,141.29874,142.31483,3.5330782,142.31502,143.06673
27,27,4,5,3,3,0.75,1.0,26.0,143.06877,0.0,999.0,999.0,999.0,145.5858,146.60193,3.5331595,146.60211,147.3675
28,28,4,5,3,2,0.75,1.0,27.0,147.37015,0.0,999.0,999.0,999.0,149.87218,150.88885,3.518707,150.88902,151.64006
29,29,4,5,3,1,0.75,1.0,28.0,151.6421,0.0,999.0,999.0,999.0,154.14285,155.15976,3.5176532,155.15993,155.91032
30,30,4,5,3,1,0.75,1.0,29.0,155.91238,0.0,999.0,999.0,999.0,158.41309,159.42929,3.5169036,159.42946,160.1808
31,31,4,5,3,1,0.75,1.0,30.0,160.18283,0.0,999.0,999.0,999.0,162.69998,163.71588,3.5330484,163.71605,164.46768
32,32,4,5,3,1,8,1.0,31.0,164.46977,0.0,999.0,999.0,999.0,166.97008,167.98657,3.5168111,167.98676,175.99426
33,33,5,2,1,3,0.75,1.0,32.0,176.0003,0.0,999.0,999.0,999.0,178.51216,179.52884,3.5285323,179.529,180.2819
34,34,5,2,1,3,0.75,1.0,33.0,180.2854,0.0,999.0,999.0,999.0,182.80147,183.81628,3.5308921,183.81647,184.56747
35,35,5,2,1,3,0.75,1.0,34.0,184.57039,0.0,999.0,999.0,999.0,187.08704,188.10358,3.5331898,188.10376,188.85464
