Risk_per,Money,Color,Amb,RiskisLeft,response,RT,dist
20,13,red,100,1,['f'],2.5141245999839157,wide
30,13,red,100,1,['f'],2.645879900082946,wide
40,13,red,100,1,['f'],1.7557894999627024,wide
50,13,red,100,1,['f'],2.06354479980655,wide
60,13,red,100,0,['j'],3.0077289999462664,wide
70,13,red,100,0,['j'],2.0486842999234796,wide
80,13,red,100,1,['f'],2.1033214998897165,wide
90,13,red,100,0,['j'],1.7312489999458194,wide
20,13,red,50,1,['j'],2.7441562998574227,wide
30,13,red,50,1,['j'],1.6338977999985218,wide
40,13,red,50,0,['f'],2.3764375001192093,wide
50,13,red,50,0,['j'],1.700577599927783,wide
60,13,red,50,0,['j'],1.940211100038141,wide
70,13,red,50,0,['j'],1.5146562999580055,wide
80,13,red,50,0,['j'],0.8695625001564622,wide
90,13,red,50,1,['f'],1.4320386999752373,wide
20,13,green,100,0,['f'],2.8366656000725925,narrow
30,13,green,100,1,['j'],1.972117500146851,narrow
40,13,green,100,0,['f'],2.0551182001363486,narrow
50,13,green,100,1,['j'],2.167832599952817,narrow
60,13,green,100,0,['j'],1.3773868998978287,narrow
70,13,green,100,0,['j'],0.8205737001262605,narrow
80,13,green,100,0,['j'],0.9349704999476671,narrow
90,13,green,100,0,['j'],0.8673764001578093,narrow
20,13,green,50,0,['f'],2.100853099953383,narrow
30,13,green,50,0,['f'],1.3849820999894291,narrow
40,13,green,50,1,['j'],2.1912125998642296,narrow
50,13,green,50,0,['j'],2.0511998999863863,narrow
60,13,green,50,0,['j'],1.5234209999907762,narrow
70,13,green,50,0,['j'],0.9164877000730485,narrow
80,13,green,50,0,['j'],1.2764821001328528,narrow
90,13,green,50,0,['j'],0.9346581001300365,narrow
20,13,blue,100,0,['f'],1.3372921999543905,skew
30,13,blue,100,1,['j'],1.707912900019437,skew
40,13,blue,100,1,['j'],1.4906413999851793,skew
50,13,blue,100,1,['j'],1.030243800021708,skew
60,13,blue,100,0,['f'],1.344297899864614,skew
70,13,blue,100,1,['f'],2.8058914998546243,skew
80,13,blue,100,1,['f'],0.9910937000531703,skew
90,13,blue,100,1,['f'],0.7335415999405086,skew
20,13,blue,50,1,['j'],1.563891900004819,skew
30,13,blue,50,1,['j'],1.2919702001381665,skew
40,13,blue,50,0,['f'],1.840885599842295,skew
50,13,blue,50,0,['f'],2.4033150000032037,skew
60,13,blue,50,0,['j'],1.10004339995794,skew
70,13,blue,50,1,['f'],2.149182799970731,skew
80,13,blue,50,0,['j'],1.035636299988255,skew
90,13,blue,50,0,['j'],0.918135000159964,skew
20,13,yellow,100,0,['f'],2.146804300136864,True_unkown
30,13,yellow,100,0,['f'],1.9547804999165237,True_unkown
40,13,yellow,100,0,['j'],0.7785632000304759,True_unkown
50,13,yellow,100,1,['f'],0.843877799808979,True_unkown
60,13,yellow,100,1,['f'],1.0736515999305993,True_unkown
70,13,yellow,100,0,['j'],1.1364196999929845,True_unkown
80,13,yellow,100,0,['j'],1.4543093000538647,True_unkown
90,13,yellow,100,0,['j'],1.9984646998345852,True_unkown
20,13,yellow,50,0,['f'],1.7596233000513166,True_unkown
30,13,yellow,50,1,['j'],1.8478278999682516,True_unkown
40,13,yellow,50,1,['f'],1.192272000014782,True_unkown
50,13,yellow,50,1,['f'],1.0336844997946173,True_unkown
60,13,yellow,50,1,['f'],0.8791600000113249,True_unkown
70,13,yellow,50,1,['f'],0.7881591999903321,True_unkown
80,13,yellow,50,0,['j'],2.0096197000239044,True_unkown
90,13,yellow,50,0,['j'],0.9136653000023216,True_unkown
