sub,PCA,closeness_s,closeness_c,closeness_f
1001,0.883377774,1,1,5
1002,-3.052701625,,,5
1003,1.099819015,,,4
1004,0.982282904,2,2,3
1006,-1.812822238,2,2,4
1007,-0.631710907,,,5
1009,0.608168479,2,1,5
1010,-2.403377904,,,6
1011,0.982282904,,,7
1012,-9.17469952,2,1,5
1013,3.777388047,1,2,4
1015,-5.198483047,,,4
1016,2.379835475,,,2
1018,9.367598332,,,6
1019,1.57283857,,,3
1021,-2.403377904,1,1,6
1240,10.82391896,1,1,4
1242,1.78927981,3,1,6
1243,-4.017371715,1,1,4
1244,8.835810722,4,1,5
1245,-4.391486141,1,1,4
1247,2.596276716,3,2,5
1248,0.982282904,1,2,4
1249,1.198724144,1,5,7
1251,-13.92356752,,,3
1253,2.970391141,2,2,6
1255,-1.596380998,,,4
1276,-3.800930475,2,1,4
1282,3.777388047,3,2,5
1286,-1.005825333,2,1,6
1294,-3.584489235,2,1,5
1300,-6.812476858,2,4,5
1301,-3.368047995,,,6
1302,10.98159214,2,2,7
1303,-1.222266573,,,6
3101,-1.005825333,,,
3116,1.415165385,5,1,6
3122,2.970391141,,,6
3125,7.379490095,5,2,5
3140,-2.403377904,1,1,7
3143,-1.222266573,,,4
3146,1.415165385,,,2
3152,4.584384953,2,5,6
3164,14.20957977,2,1,4
3166,-5.572597472,,,4
3167,-3.584489235,3,4,4
3170,-7.619473764,2,1,7
3173,4.210270527,1,3,3
3175,-6.596035618,,,
3176,-4.775347323,,,5
3178,-2.777492329,,,6
3186,13.18614162,2,1,5
3189,-1.812822238,5,4,4
3190,4.210270527,1,2,3
3199,0.608168479,,,4
3200,-5.789038712,1,4,6
3206,-2.619819144,1,4,4
3210,2.596276716,,,2
3212,-5.572597472,,,4
3218,-1.222266573,,,3
3220,0.391727239,5,5,5
3223,-1.812822238,,,
