Trialn,Blockn,BlockType,Partner,Feedback,ITI
1,1,1,1,1,0.750000
2,1,1,1,1,0.750000
3,1,1,1,1,0.750000
4,1,1,1,1,0.750000
5,1,1,1,1,0.750000
6,1,1,1,3,0.750000
7,1,1,1,3,0.750000
8,1,1,1,1,12
9,2,5,3,1,0.750000
10,2,5,3,1,0.750000
11,2,5,3,3,0.750000
12,2,5,3,1,0.750000
13,2,5,3,1,0.750000
14,2,5,3,1,0.750000
15,2,5,3,1,0.750000
16,2,5,3,2,12
17,3,2,1,3,0.750000
18,3,2,1,1,0.750000
19,3,2,1,3,0.750000
20,3,2,1,3,0.750000
21,3,2,1,3,0.750000
22,3,2,1,3,0.750000
23,3,2,1,1,0.750000
24,3,2,1,3,10
25,4,3,2,2,0.750000
26,4,3,2,1,0.750000
27,4,3,2,1,0.750000
28,4,3,2,2,0.750000
29,4,3,2,1,0.750000
30,4,3,2,1,0.750000
31,4,3,2,1,0.750000
32,4,3,2,1,10
33,5,1,1,1,0.750000
34,5,1,1,1,0.750000
35,5,1,1,1,0.750000
36,5,1,1,1,0.750000
37,5,1,1,2,0.750000
38,5,1,1,1,0.750000
39,5,1,1,1,0.750000
40,5,1,1,2,8
41,6,3,2,1,0.750000
42,6,3,2,1,0.750000
43,6,3,2,1,0.750000
44,6,3,2,1,0.750000
45,6,3,2,3,0.750000
46,6,3,2,1,0.750000
47,6,3,2,1,0.750000
48,6,3,2,3,12
49,7,4,2,3,0.750000
50,7,4,2,3,0.750000
51,7,4,2,2,0.750000
52,7,4,2,3,0.750000
53,7,4,2,3,0.750000
54,7,4,2,3,0.750000
55,7,4,2,3,0.750000
56,7,4,2,2,10
57,8,6,3,3,0.750000
58,8,6,3,3,0.750000
59,8,6,3,3,0.750000
60,8,6,3,3,0.750000
61,8,6,3,3,0.750000
62,8,6,3,3,0.750000
63,8,6,3,2,0.750000
64,8,6,3,1,8
65,9,2,1,3,0.750000
66,9,2,1,1,0.750000
67,9,2,1,3,0.750000
68,9,2,1,2,0.750000
69,9,2,1,3,0.750000
70,9,2,1,3,0.750000
71,9,2,1,3,0.750000
72,9,2,1,3,8
