TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,1,17,5,3,5,3,1.0,0.0,4.0068517,5.0130405,6.0246067,6.0247626,9.030298,9.030455,999.0,999.0,999.0,12.046796,3.5333793,12.564034,17.569431
2,2,2,19,1,4.5,1,4,1.0,1.0,17.571045,18.577103,19.586357,19.586515,24.091923,24.092047,3.0,1.2478563,25.339903,27.609566,3.5180998,27.61028,28.615623
3,3,1,15,8,1.5,3,7,1.0,2.0,28.618134,29.623665,30.632124,30.632244,32.13759,32.137714,2.0,1.2911818,33.428894,35.65439,3.5172374,35.655083,43.660435
4,4,1,17,3,1.5,5,8,1.0,3.0,43.66295,44.66864,45.677128,45.67725,47.1826,47.18272,3.0,1.0898901,48.27261,50.700256,3.5182,50.70105,53.70646
5,5,2,23,1,1.5,1,7,1.0,4.0,53.70855,54.714363,55.72313,55.72329,57.22919,57.229317,2.0,1.0670251,58.29634,60.74575,3.5170288,60.746475,61.751892
6,6,2,15,1,3,3,1,1.0,5.0,61.753212,62.75983,63.767807,63.767963,66.77337,66.7735,2.0,1.462655,68.23615,70.29104,3.518122,70.29175,71.297104
7,7,3,25,5,1.5,0,2,1.0,6.0,71.29842,72.30456,73.3133,73.31336,74.81874,74.818886,3.0,1.4405421,76.25943,78.33563,3.517352,78.33637,83.34159
8,8,1,25,1,1.5,11,8,1.0,7.0,83.34408,84.34964,85.357994,85.358116,86.86371,86.86384,3.0,2.070665,88.9345,90.38151,3.5182543,90.382225,91.38781
9,9,3,21,1,1.5,0,4,1.0,8.0,91.389175,92.395004,93.403046,93.40311,94.90775,94.907906,3.0,1.7491314,96.65704,98.424324,3.5169911,98.42503,99.430435
10,10,2,21,5,1.5,4,1,1.0,9.0,99.431816,100.43765,101.44584,101.446,102.95062,102.95075,2.0,2.0452714,104.996025,106.46749,3.5173104,106.46819,111.47371
11,11,2,21,3,3,1,4,1.0,10.0,111.47568,112.48143,113.48743,113.48758,116.49296,116.49308,3.0,2.67986,119.17294,120.01051,3.5180013,120.011215,123.01646
12,12,2,15,1,4.5,3,5,1.0,11.0,123.018745,124.02441,125.03255,125.0327,129.53847,129.53859,2.0,2.1095772,131.64818,133.05574,3.5177429,133.05647,134.06195
13,13,3,25,1,1.5,0,11,1.0,12.0,134.06438,135.07002,136.07903,136.07909,137.58455,137.58472,3.0,2.1194725,139.70418,141.10205,3.517918,141.10275,142.10806
14,14,3,25,1,1.5,8,0,1.0,13.0,142.10942,143.11511,144.12128,144.12134,145.62697,145.62712,2.0,1.2322658,146.85939,149.14372,3.5172002,149.14445,150.14975
15,15,3,23,8,1.5,0,7,1.0,14.0,150.15114,151.15689,152.16507,152.16513,153.67049,153.67064,3.0,1.6446209,155.31526,157.1879,3.517843,157.18861,165.194
16,16,2,19,3,3,9,1,1.0,15.0,165.19627,166.20134,167.209,167.20915,170.21461,170.21474,2.0,1.5453289,171.76007,173.73148,3.5173147,173.73218,176.73753
17,17,3,15,1,1.5,0,7,1.0,16.0,176.7399,177.74536,178.75311,178.75317,180.25838,180.25854,--,--,--,--,--,--,--
18,18,1,19,8,1.5,9,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
19,19,1,15,1,1.5,7,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20,20,3,19,1,3,0,6,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
21,21,3,25,5,4.5,5,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,22,2,21,1,1.5,4,9,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
23,23,2,17,3,4.5,5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
24,24,1,21,1,3,9,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25,25,3,15,1,1.5,7,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
26,26,1,23,3,1.5,7,10,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
27,27,1,23,1,1.5,7,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,28,1,15,3,1.5,3,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,29,2,15,3,3,7,5,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
30,30,1,17,1,4.5,3,5,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,31,3,15,3,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,32,3,17,1,3,5,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
33,33,2,23,1,1.5,10,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
34,34,2,25,3,3,11,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
35,35,3,21,3,1.5,0,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
36,36,1,15,5,4.5,7,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
