Trialn,Blockn,BlockType,Partner,Feedback,ITI
1,1,1,1,1,0.75
2,1,1,1,1,0.75
3,1,1,1,1,0.75
4,1,1,3,1,0.75
5,1,1,3,2,0.75
6,1,1,3,1,0.75
7,1,1,2,2,0.75
8,1,1,2,1,12
9,2,5,3,3,0.75
10,2,5,3,1,0.75
11,2,5,3,1,0.75
12,2,5,3,1,0.75
13,2,5,3,1,0.75
14,2,5,3,1,0.75
15,2,5,3,2,0.75
16,2,5,3,1,8
17,3,6,3,3,0.75
18,3,6,3,3,0.75
19,3,6,3,3,0.75
20,3,6,3,3,0.75
21,3,6,3,1,0.75
22,3,6,3,3,0.75
23,3,6,3,2,0.75
24,3,6,3,3,10
25,4,5,3,1,0.75
26,4,5,3,1,0.75
27,4,5,3,3,0.75
28,4,5,3,2,0.75
29,4,5,3,1,0.75
30,4,5,3,1,0.75
31,4,5,3,1,0.75
32,4,5,3,1,8
33,5,2,1,3,0.75
34,5,2,1,3,0.75
35,5,2,1,3,0.75
36,5,2,1,1,0.75
37,5,2,1,3,0.75
38,5,2,1,1,0.75
39,5,2,1,3,0.75
40,5,2,1,3,12
41,6,4,2,2,0.75
42,6,4,2,3,0.75
43,6,4,2,3,0.75
44,6,4,2,3,0.75
45,6,4,2,3,0.75
46,6,4,2,3,0.75
47,6,4,2,2,0.75
48,6,4,2,3,10
49,7,3,2,1,0.75
50,7,3,2,2,0.75
51,7,3,2,1,0.75
52,7,3,2,1,0.75
53,7,3,2,1,0.75
54,7,3,2,3,0.75
55,7,3,2,1,0.75
56,7,3,2,1,12
57,8,4,2,3,0.75
58,8,4,2,3,0.75
59,8,4,2,3,0.75
60,8,4,2,1,0.75
61,8,4,2,3,0.75
62,8,4,2,2,0.75
63,8,4,2,3,0.75
64,8,4,2,3,10
65,9,6,3,2,0.75
66,9,6,3,2,0.75
67,9,6,3,3,0.75
68,9,6,3,3,0.75
69,9,6,3,3,0.75
70,9,6,3,3,0.75
71,9,6,3,3,0.75
72,9,6,3,3,8
