TrialNumber,Trialn,Blockn,BlockType,Partner,Feedback,ITI,ran,order,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,1,5,3,1,0.750000,1.0,0.0,4.0760155,0.0,999.0,999.0,999.0,6.581417,7.597832,3.5218165,7.598049,8.348704
2,2,1,5,3,1,0.750000,1.0,1.0,8.398901,2.0,10.199898,1.8009969,6.0,10.917448,11.931841,3.5329394,11.932012,12.685308
3,3,1,5,3,1,0.750000,1.0,2.0,12.734694,3.0,13.536171,0.8014767,1.0,15.251831,16.262993,3.5282989,16.263165,17.021341
4,4,1,5,3,1,0.750000,1.0,3.0,17.069561,3.0,17.772343,0.7027812,1.0,19.587097,20.596731,3.5271711,20.596914,21.357899
5,5,1,5,3,3,0.750000,1.0,4.0,21.405842,3.0,21.825375,0.4195328,9.0,23.923193,24.934973,3.5291307,24.935146,25.69451
6,6,1,5,3,1,0.750000,1.0,5.0,25.742748,2.0,26.528759,0.7860118,6.0,28.25942,29.270588,3.5278392,29.27076,30.030956
7,7,1,5,3,3,0.750000,1.0,6.0,30.079145,2.0,30.73182,0.6526738,1.0,32.596592,33.60659,3.527443,33.606762,34.36711
8,8,1,5,3,1,10,1.0,7.0,34.415173,3.0,35.067814,0.6526426,4.0,36.932842,37.94506,3.529887,37.945232,47.960228
9,9,2,4,2,3,0.750000,1.0,8.0,48.02059,3.0,50.12849,2.1078975,8.0,50.538635,51.550957,3.5303633,51.551132,52.313217
10,10,2,4,2,3,0.750000,1.0,9.0,52.354626,0.0,999.0,999.0,999.0,54.86554,55.88184,3.5272133,55.88201,56.633125
11,11,2,4,2,2,0.750000,1.0,10.0,56.674957,2.0,57.383663,0.7087038,5.0,59.19284,60.205097,3.5301387,60.20527,60.969494
12,12,2,4,2,3,0.750000,1.0,11.0,61.013252,2.0,61.420135,0.4068844,3.0,63.53068,64.54213,3.5288777,64.542305,65.30597
13,13,2,4,2,1,0.750000,1.0,12.0,65.34676,3.0,66.07358,0.7268199,3.0,67.86427,68.8739,3.5271375,68.87407,69.62554
14,14,2,4,2,3,0.750000,1.0,13.0,69.66759,--,--,--,--,--,--,--,--,--
15,15,2,4,2,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
16,16,2,4,2,3,8,0.0,--,--,--,--,--,--,--,--,--,--,--
17,17,3,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
18,18,3,1,1,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
19,19,3,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
20,20,3,1,1,2,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
21,21,3,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
22,22,3,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
23,23,3,1,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
24,24,3,1,1,1,8,0.0,--,--,--,--,--,--,--,--,--,--,--
25,25,4,2,1,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
26,26,4,2,1,1,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
27,27,4,2,1,3,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
28,28,4,2,1,2,0.750000,0.0,--,--,--,--,--,--,--,--,--,--,--
