Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,1,2,3,0,4,2
2,0,1,3,0,4,8
3,2,4,1,0,2,2
4,1,2,1,0,4,2
5,0,1,2,1,6,4
6,0,4,2,0,2,2
7,2,4,3,1,2,2
8,1,4,3,1,6,8
9,0,2,1,0,6,4
10,0,1,1,0,4,6
11,1,4,2,0,4,2
12,0,1,3,1,6,2
13,0,2,3,0,4,2
14,1,4,2,1,2,4
15,1,2,2,0,6,2
16,0,4,2,1,4,2
17,0,1,2,0,2,2
18,1,2,2,1,4,4
19,2,4,2,1,2,4
20,0,1,1,1,2,10
21,0,2,2,0,2,2
22,1,4,1,1,2,4
23,2,4,2,0,2,2
24,1,4,1,0,4,6
25,0,2,2,1,2,4
26,0,2,3,1,2,2
27,0,2,1,1,6,2
28,0,4,3,0,2,4
29,1,4,3,0,4,2
30,1,2,1,1,8,6
31,2,4,1,1,2,6
32,1,2,3,1,2,2
33,2,4,3,0,2,4
34,0,4,3,1,2,6
35,0,4,1,0,2,2
36,0,4,1,1,8,4
