Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,0,1,3,0,6,6
2,1,4,2,0,8,2
3,2,4,2,1,2,2
4,0,2,3,0,4,4
5,1,4,3,1,2,2
6,0,2,3,1,4,2
7,0,2,1,0,2,2
8,1,4,2,1,6,4
9,0,4,3,0,4,2
10,1,2,3,0,2,2
11,0,1,3,1,2,6
12,1,2,2,1,4,4
13,0,4,2,0,6,4
14,0,1,1,0,4,4
15,2,4,1,1,2,2
16,0,4,1,0,4,10
17,0,1,2,0,2,8
18,0,4,3,1,2,2
19,0,2,2,1,8,2
20,0,2,2,0,2,6
21,2,4,3,1,2,2
22,2,4,1,0,2,2
23,0,1,2,1,2,2
24,0,2,1,1,2,4
25,1,2,1,0,2,4
26,1,2,3,1,2,2
27,2,4,3,0,6,6
28,2,4,2,0,4,4
29,0,4,1,1,2,8
30,0,4,2,1,2,2
31,1,2,1,1,4,6
32,1,2,2,0,4,4
33,0,1,1,1,4,2
34,1,4,1,1,2,2
35,1,4,1,0,6,2
36,1,4,3,0,6,4
