Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,2,4,3,1,2,4
2,2,4,3,0,6,8
3,0,2,1,0,4,2
4,0,2,3,1,2,2
5,0,2,1,1,2,4
6,1,4,1,1,6,2
7,0,4,3,1,4,4
8,0,2,2,0,2,6
9,0,1,2,1,2,4
10,1,2,3,0,4,2
11,1,4,2,1,8,4
12,0,1,2,0,4,2
13,0,4,1,0,4,4
14,0,2,3,0,2,6
15,1,2,1,0,2,2
16,2,4,1,0,4,2
17,0,4,2,1,6,6
18,2,4,2,1,2,2
19,1,4,2,0,4,2
20,0,4,2,0,2,6
21,0,4,3,0,2,2
22,0,1,3,0,4,2
23,1,4,3,1,2,2
24,2,4,2,0,6,10
25,1,2,2,1,2,2
26,1,2,1,1,2,4
27,2,4,1,1,6,2
28,0,4,1,1,6,2
29,0,1,3,1,8,2
30,1,4,3,0,2,2
31,1,2,3,1,4,4
32,1,4,1,0,2,2
33,0,1,1,1,2,4
34,0,2,2,1,2,8
35,0,1,1,0,4,4
36,1,2,2,0,2,6
