Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,2,4,3,0,4,10
2,0,1,2,1,2,8
3,2,4,2,1,2,8
4,2,4,1,1,4,2
5,1,4,2,1,6,2
6,0,2,3,0,6,2
7,0,4,2,0,6,4
8,0,4,3,0,2,2
9,2,4,1,0,6,2
10,2,4,2,0,2,2
11,0,2,2,0,2,2
12,0,1,1,0,6,2
13,2,4,3,1,2,2
14,0,1,3,0,8,4
15,1,2,2,0,2,2
16,1,2,2,1,4,6
17,0,4,2,1,2,2
18,1,4,1,0,4,4
19,1,4,3,1,2,2
20,0,2,1,1,4,2
21,0,4,1,0,4,2
22,0,4,1,1,6,6
23,0,1,1,1,2,2
24,0,4,3,1,4,4
25,0,1,3,1,2,4
26,1,2,1,1,2,2
27,0,2,1,0,2,6
28,1,2,3,0,8,4
29,1,4,2,0,2,6
30,1,4,1,1,2,4
31,0,2,2,1,4,2
32,0,2,3,1,2,4
33,1,2,1,0,2,6
34,1,4,3,0,2,2
35,1,2,3,1,4,4
36,0,1,2,0,4,4
