Trial,cLeft,cRight,Partner,Reciprocate,ISI,ITI
1,0,2,3,0,2,6
2,0,1,1,1,2,4
3,1,2,2,1,4,2
4,0,2,3,1,4,6
5,1,2,1,1,2,4
6,0,1,1,0,2,2
7,2,4,1,0,6,4
8,1,4,2,1,2,4
9,1,4,2,0,8,2
10,0,4,2,1,2,4
11,0,2,1,1,4,2
12,0,1,2,0,6,4
13,2,4,1,1,2,4
14,1,2,1,0,2,2
15,2,4,3,1,8,2
16,1,4,3,1,2,4
17,1,4,1,0,2,2
18,0,4,1,0,4,4
19,1,4,1,1,2,2
20,0,4,1,1,2,2
21,0,4,3,1,2,2
22,0,2,2,1,2,2
23,0,2,1,0,4,6
24,0,1,2,1,4,6
25,1,2,2,0,2,2
26,2,4,3,0,4,8
27,1,2,3,1,6,2
28,1,2,3,0,6,2
29,2,4,2,0,2,4
30,2,4,2,1,4,2
31,0,1,3,1,6,2
32,0,4,3,0,2,10
33,0,4,2,0,4,6
34,0,1,3,0,2,2
35,0,2,2,0,6,2
36,1,4,3,0,4,8
