onset	duration	trial_type	response_time	Endowment	Endowment_pmod	Decision
5.001706	2	cue_dict_pmod	n/a	15	-4	n/a
16.044418	2	cue_ug-prop_pmod	n/a	23	4	n/a
28.087326	2	cue_ug-prop_pmod	n/a	17	-2	n/a
38.128914	2	cue_ug-resp_pmod	n/a	15	-4	n/a
47.670467	2	cue_dict_pmod	n/a	25	6	n/a
57.211086	2	cue_ug-resp_pmod	n/a	15	-4	n/a
66.752410	2	cue_dict_pmod	n/a	23	4	n/a
83.299360	2	cue_ug-prop_pmod	n/a	19	0	n/a
92.857150	2	cue_dict_pmod	n/a	19	0	n/a
109.404190	2	cue_ug-prop_pmod	n/a	19	0	n/a
118.945230	2	cue_ug-prop_pmod	n/a	21	2	n/a
130.488420	2	cue_ug-prop_pmod	n/a	17	-2	n/a
141.530840	2	cue_dict_pmod	n/a	19	0	n/a
149.570560	2	cue_ug-resp_pmod	n/a	17	-2	n/a
159.629200	2	cue_ug-resp_pmod	n/a	21	2	n/a
171.672700	2	cue_ug-prop_pmod	n/a	17	-2	n/a
179.728470	2	cue_ug-prop_pmod	n/a	17	-2	n/a
187.768330	2	cue_ug-resp_pmod	n/a	19	0	n/a
195.808410	2	cue_dict_pmod	n/a	21	2	n/a
207.851730	2	cue_ug-resp_pmod	n/a	23	4	n/a
219.894910	2	cue_ug-prop_pmod	n/a	19	0	n/a
229.435910	2	cue_ug-resp_pmod	n/a	15	-4	n/a
244.481670	2	cue_ug-resp_pmod	n/a	25	6	n/a
252.521400	2	cue_dict_pmod	n/a	21	2	n/a
260.561500	2	cue_ug-resp_pmod	n/a	19	0	n/a
275.607360	2	cue_dict_pmod	n/a	19	0	n/a
283.646880	2	cue_ug-resp_pmod	n/a	19	0	n/a
291.688570	2	cue_ug-prop_pmod	n/a	23	4	n/a
299.727170	2	cue_ug-prop_pmod	n/a	15	-4	n/a
309.768600	2	cue_ug-resp_pmod	n/a	21	2	n/a
319.810460	2	cue_dict_pmod	n/a	17	-2	n/a
329.851680	2	cue_ug-prop_pmod	n/a	21	2	n/a
342.896000	2	cue_dict_pmod	n/a	19	0	n/a
352.437100	2	cue_dict_pmod	n/a	19	0	n/a
365.497620	2	cue_ug-resp_pmod	n/a	21	2	n/a
378.525020	2	cue_dict_pmod	n/a	15	-4	n/a
10.534851	1.588404	dec_ug-prop_pmod_more	1.588404	15	n/a	10
10.534851	1.588404	dec_ug-prop_pmod_choice	1.588404	15	n/a	10
18.577723	2.286154	dec_ug-resp_pmod_accept	2.286154	23	n/a	22
18.577723	2.286154	dec_ug-resp_pmod_choice	2.286154	23	n/a	22
30.620783	0.518186	dec_ug-resp_pmod_accept	0.518186	17	n/a	16
30.620783	0.518186	dec_ug-resp_pmod_choice	0.518186	17	n/a	16
42.162685	1.336417	dec_dg-prop_pmod_less	1.336417	15	n/a	12
42.162685	1.336417	dec_dg-prop_pmod_choice	1.336417	15	n/a	12
51.703680	2.554670	dec_ug-prop_pmod_more	2.554670	25	n/a	17
51.703680	2.554670	dec_ug-prop_pmod_choice	2.554670	25	n/a	17
61.244568	1.854002	dec_dg-prop_pmod_more	1.854002	15	n/a	12
61.244568	1.854002	dec_dg-prop_pmod_choice	1.854002	15	n/a	12
70.786570	2.287171	dec_ug-prop_pmod_less	2.287171	23	n/a	16
70.786570	2.287171	dec_ug-prop_pmod_choice	2.287171	23	n/a	16
87.333060	4.000000	missed_trial	n/a	19	n/a	n/a
96.890465	0.586508	dec_ug-prop_pmod_less	0.586508	19	n/a	13
96.890465	0.586508	dec_ug-prop_pmod_choice	0.586508	19	n/a	13
113.437416	1.737350	dec_ug-resp_pmod_accept	1.737350	19	n/a	15
113.437416	1.737350	dec_ug-resp_pmod_choice	1.737350	19	n/a	15
122.979385	1.637299	dec_ug-resp_pmod_accept	1.637299	21	n/a	17
122.979385	1.637299	dec_ug-resp_pmod_choice	1.637299	21	n/a	17
136.020680	2.039493	dec_ug-resp_pmod_accept	2.039493	17	n/a	16
136.020680	2.039493	dec_ug-resp_pmod_choice	2.039493	17	n/a	16
144.063690	2.987661	dec_ug-prop_pmod_more	2.987661	19	n/a	13
144.063690	2.987661	dec_ug-prop_pmod_choice	2.987661	19	n/a	13
152.104250	4.000000	missed_trial	n/a	17	n/a	n/a
162.162000	1.069155	dec_dg-prop_pmod_less	1.069155	21	n/a	17
162.162000	1.069155	dec_dg-prop_pmod_choice	1.069155	21	n/a	17
174.205950	1.368769	dec_ug-resp_pmod_accept	1.368769	17	n/a	9
174.205950	1.368769	dec_ug-resp_pmod_choice	1.368769	17	n/a	9
182.262120	2.820243	dec_ug-resp_pmod_reject	2.820243	17	n/a	0
182.262120	2.820243	dec_ug-resp_pmod_choice	2.820243	17	n/a	0
190.301360	1.236169	dec_dg-prop_pmod_less	1.236169	19	n/a	18
190.301360	1.236169	dec_dg-prop_pmod_choice	1.236169	19	n/a	18
198.341720	1.435808	dec_ug-prop_pmod_less	1.435808	21	n/a	20
198.341720	1.435808	dec_ug-prop_pmod_choice	1.435808	21	n/a	20
210.385010	2.153001	dec_dg-prop_pmod_less	2.153001	23	n/a	19
210.385010	2.153001	dec_dg-prop_pmod_choice	2.153001	23	n/a	19
223.927960	2.654998	dec_ug-resp_pmod_accept	2.654998	19	n/a	15
223.927960	2.654998	dec_ug-resp_pmod_choice	2.654998	19	n/a	15
234.969860	4.000000	missed_trial	n/a	15	n/a	n/a
247.015520	2.469875	dec_dg-prop_pmod_less	2.469875	25	n/a	17
247.015520	2.469875	dec_dg-prop_pmod_choice	2.469875	25	n/a	17
255.054810	2.253614	dec_ug-prop_pmod_less	2.253614	21	n/a	20
255.054810	2.253614	dec_ug-prop_pmod_choice	2.253614	21	n/a	20
263.093960	2.520945	dec_dg-prop_pmod_more	2.520945	19	n/a	13
263.093960	2.520945	dec_dg-prop_pmod_choice	2.520945	19	n/a	13
278.140720	2.269684	dec_ug-prop_pmod_more	2.269684	19	n/a	10
278.140720	2.269684	dec_ug-prop_pmod_choice	2.269684	19	n/a	10
286.179700	1.220013	dec_dg-prop_pmod_more	1.220013	19	n/a	15
286.179700	1.220013	dec_dg-prop_pmod_choice	1.220013	19	n/a	15
294.219700	1.653562	dec_ug-resp_pmod_accept	1.653562	23	n/a	16
294.219700	1.653562	dec_ug-resp_pmod_choice	1.653562	23	n/a	16
302.260650	2.286364	dec_ug-resp_pmod_accept	2.286364	15	n/a	10
302.260650	2.286364	dec_ug-resp_pmod_choice	2.286364	15	n/a	10
312.301570	2.103978	dec_dg-prop_pmod_less	2.103978	21	n/a	20
312.301570	2.103978	dec_dg-prop_pmod_choice	2.103978	21	n/a	20
322.344000	1.785611	dec_ug-prop_pmod_less	1.785611	17	n/a	16
322.344000	1.785611	dec_ug-prop_pmod_choice	1.785611	17	n/a	16
335.385500	1.689580	dec_ug-resp_pmod_accept	1.689580	21	n/a	20
335.385500	1.689580	dec_ug-resp_pmod_choice	1.689580	21	n/a	20
346.929140	2.705627	dec_ug-prop_pmod_more	2.705627	19	n/a	10
346.929140	2.705627	dec_ug-prop_pmod_choice	2.705627	19	n/a	10
357.971000	4.000000	missed_trial	n/a	19	n/a	n/a
371.014250	0.754542	dec_dg-prop_pmod_more	0.754542	21	n/a	12
371.014250	0.754542	dec_dg-prop_pmod_choice	0.754542	21	n/a	12
381.058300	0.602424	dec_ug-prop_pmod_less	0.602424	15	n/a	14
381.058300	0.602424	dec_ug-prop_pmod_choice	0.602424	15	n/a	14
