onset	duration	trial_type	response_time	Endowment	Endowment_pmod	Decision
4.997582	2	cue_ug-prop_pmod	n/a	25	5	n/a
14.538722	2	cue_ug-resp_pmod	n/a	19	1	n/a
22.595697	2	cue_ug-prop_pmod	n/a	19	-1	n/a
30.618620	2	cue_dict_pmod	n/a	21	2	n/a
40.676720	2	cue_dict_pmod	n/a	19	0	n/a
48.716960	2	cue_ug-resp_pmod	n/a	23	5	n/a
65.263916	2	cue_ug-prop_pmod	n/a	17	-3	n/a
81.810905	2	cue_ug-resp_pmod	n/a	19	1	n/a
91.351910	2	cue_ug-resp_pmod	n/a	19	1	n/a
103.395294	2	cue_ug-resp_pmod	n/a	19	1	n/a
111.434944	2	cue_ug-prop_pmod	n/a	17	-3	n/a
119.475470	2	cue_dict_pmod	n/a	17	-2	n/a
132.519230	2	cue_ug-resp_pmod	n/a	15	-3	n/a
143.561770	2	cue_ug-prop_pmod	n/a	21	1	n/a
153.603130	2	cue_dict_pmod	n/a	15	-4	n/a
165.646260	2	cue_ug-prop_pmod	n/a	21	1	n/a
176.688610	2	cue_ug-resp_pmod	n/a	15	-3	n/a
186.730260	2	cue_ug-resp_pmod	n/a	15	-3	n/a
198.773570	2	cue_ug-resp_pmod	n/a	19	1	n/a
208.331190	2	cue_ug-prop_pmod	n/a	25	5	n/a
219.373750	2	cue_dict_pmod	n/a	19	0	n/a
227.413650	2	cue_ug-prop_pmod	n/a	21	1	n/a
237.455520	2	cue_dict_pmod	n/a	23	4	n/a
246.996250	2	cue_ug-prop_pmod	n/a	23	3	n/a
255.036320	2	cue_dict_pmod	n/a	21	2	n/a
266.078800	2	cue_ug-resp_pmod	n/a	17	-1	n/a
278.122040	2	cue_dict_pmod	n/a	19	0	n/a
286.178740	2	cue_dict_pmod	n/a	19	0	n/a
296.203700	2	cue_ug-resp_pmod	n/a	21	3	n/a
307.746340	2	cue_ug-prop_pmod	n/a	17	-3	n/a
317.787870	2	cue_ug-prop_pmod	n/a	15	-5	n/a
330.832030	2	cue_dict_pmod	n/a	15	-4	n/a
338.871500	2	cue_dict_pmod	n/a	23	4	n/a
348.413270	2	cue_ug-resp_pmod	n/a	17	-1	n/a
363.458600	2	cue_dict_pmod	n/a	19	0	n/a
377.003050	2	cue_ug-prop_pmod	n/a	21	1	n/a
9.031376	1.653371	dec_ug-resp_pmod_accept	1.653371	25	n/a	23
9.031376	1.653371	dec_ug-resp_pmod_choice	1.653371	25	n/a	23
17.071724	2.170209	dec_dg-prop_pmod_more	2.170209	19	n/a	13
17.071724	2.170209	dec_dg-prop_pmod_choice	2.170209	19	n/a	13
25.112036	1.886463	dec_ug-resp_pmod_reject	1.886463	19	n/a	0
25.112036	1.886463	dec_ug-resp_pmod_choice	1.886463	19	n/a	0
33.152664	1.568780	dec_ug-prop_pmod_less	1.568780	21	n/a	20
33.152664	1.568780	dec_ug-prop_pmod_choice	1.568780	21	n/a	20
