condition	duration	onset	resp	rt
face	3.0	0.6009389068931341	999	999
Fixation_ant	0.6	3.7543056486174464	999	999
win	1.0	4.371094317641109	999	999
face	3.0	11.325470834039152	999	999
Fixation_ant	0.6	14.46191578404978	999	999
loss	1.0	15.078351305797696	999	999
face	3.0	17.830137895885855	999	999
Fixation_ant	0.6	20.966612635646015	999	999
win	1.0	21.582648234907538	999	999
face	3.0	24.351145109627396	999	999
Fixation_ant	0.6	27.504517506808043	999	999
win	1.0	28.12109649879858	999	999
face	3.0	32.99074375582859	999	999
Fixation_ant	0.6	36.144053120631725	999	999
loss	1.0	36.76066959789023	999	999
face	3.0	43.6975116096437	999	999
Fixation_ant	0.6	46.83539780182764	999	999
loss	1.0	47.45093284267932	999	999
face	3.0	52.288405569735914	999	999
Fixation_ant	0.6	55.424364170990884	999	999
win	1.0	56.04088201094419	999	999
face	3.0	60.8940620329231	999	999
Fixation_ant	0.6	64.06402028072625	999	999
loss	1.0	64.68015703372657	999	999
face	3.0	67.43196422280744	999	999
Fixation_ant	0.6	70.6020611487329	999	999
win	1.0	71.21760524204001	999	999
face	3.0	73.98657222371548	999	999
Fixation_ant	0.6	77.15699667064473	999	999
win	1.0	77.77336397999898	999	999
face	3.0	80.54133421601728	999	999
Fixation_ant	0.6	83.69507288979366	999	999
loss	1.0	84.3107339926064	999	999
face	3.0	89.1473697447218	999	999
Fixation_ant	0.6	92.30044873896986	999	999
loss	1.0	92.91702210297808	999	999
face	3.0	95.66877813870087	999	999
Fixation_ant	0.6	98.82247033063322	999	999
win	1.0	99.43801771383733	999	999
face	3.0	106.4100299780257	999	999
Fixation_ant	0.6	109.56268629198894	999	999
win	1.0	110.17916666995734	999	999
face	3.0	112.94743107771501	999	999
Fixation_ant	0.6	116.10138309979811	999	999
win	1.0	116.71686427481472	999	999
face	3.0	123.6716265049763	999	999
Fixation_ant	0.6	126.80864376481622	999	999
win	1.0	127.42508018668741	999	999
face	3.0	132.29444081196561	999	999
Fixation_ant	0.6	135.46380955493078	999	999
win	1.0	136.080664713867	999	999
face	3.0	140.95071219885722	999	999
Fixation_ant	0.6	144.087191761937	999	999
win	1.0	144.70378920482472	999	999
face	3.0	149.55666337395087	999	999
Fixation_ant	0.6	152.7265340378508	999	999
win	1.0	153.34308436280116	999	999
face	3.0	166.60204619495198	999	999
Fixation_ant	0.6	169.7385329036042	999	999
loss	1.0	170.3549873670563	999	999
face	3.0	177.2930773277767	999	999
Fixation_ant	0.6	180.4466565377079	999	999
win	1.0	181.0624186140485	999	999
face	3.0	188.0176650127396	999	999
Fixation_ant	0.6	191.17076706094667	999	999
loss	1.0	191.7872292418033	999	999
face	3.0	196.64019830990583	999	999
Fixation_ant	0.6	199.7938764700666	999	999
loss	1.0	200.40935311373323	999	999
