TrialNumber,Trial,ISI,ITI,winlose,door_image_L,door_image_R,ran,order,decision_onset,resp,rt,resp_onset,resp_offset,trialDuration,pre_feedback_fix_onset,pre_feedback_fix_duration,arrow_onset,arrow_offset,ITIonset,ITIoffset,Date_Time
1,1,0.6,6.5,win,obj (126).bmp,obj (189).bmp,1.0,0.0,2.018306,999.0,999.0,999.0,5.051487,3.0336945,5.0521836,2.0,7.057312,8.067959,8.068291,14.582696,2019-11-25 12:15:40.851311
2,2,0.6,4,loss,obj (127).bmp,obj (190).bmp,1.0,1.0,14.607412,999.0,999.0,999.0,17.639082,3.0320415,17.639587,2.0,19.644659,20.649801,20.650038,24.654448,2019-11-25 12:15:50.922044
3,3,0.6,1.5,loss,obj (128).bmp,obj (191).bmp,1.0,2.0,24.67357,999.0,999.0,999.0,27.704931,3.0317328,27.705454,2.0,29.709738,30.714598,30.714834,32.219353,2019-11-25 12:15:58.486878
4,4,0.6,1.5,loss,obj (130).bmp,obj (192).bmp,1.0,3.0,32.23843,999.0,999.0,999.0,35.27302,3.0349507,35.273506,2.0,37.278015,38.28425,38.2845,39.789604,2019-11-25 12:16:06.057104
5,5,0.6,4,loss,obj (131).bmp,obj (194).bmp,1.0,4.0,39.80922,999.0,999.0,999.0,42.842285,3.0334387,42.842808,2.0,44.84767,45.852062,45.85228,49.85696,2019-11-25 12:16:16.125356
6,6,0.6,1.5,loss,obj (132).bmp,obj (195).bmp,1.0,5.0,49.883663,999.0,999.0,999.0,52.916763,3.0334792,52.91728,2.0,54.92231,55.927402,55.92764,57.433105,2019-11-25 12:16:23.700691
7,7,0.6,1.5,loss,obj (133).bmp,obj (196).bmp,1.0,6.0,57.453323,999.0,999.0,999.0,60.48504,3.032087,60.485554,2.0,62.491272,63.49589,63.496223,65.00067,2019-11-25 12:16:31.268070
8,8,0.6,6.5,loss,obj (134).bmp,obj (197).bmp,1.0,7.0,65.02091,999.0,999.0,999.0,68.05257,3.0320287,68.053085,2.0,70.058754,71.064125,71.06436,77.57008,2019-11-25 12:16:43.838450
9,9,0.6,4,win,obj (135).bmp,obj (198).bmp,1.0,8.0,77.59021,999.0,999.0,999.0,80.62318,3.0333557,80.62371,2.0,82.62903,83.63797,83.63826,87.65469,2019-11-25 12:16:53.922269
10,10,0.6,6.5,win,obj (136).bmp,obj (199).bmp,1.0,9.0,87.67578,999.0,999.0,999.0,90.70722,3.031894,90.707855,2.0,92.713165,93.72302,93.72328,100.246155,2019-11-25 12:17:06.513763
11,11,0.6,4,win,obj (137).bmp,obj (200).bmp,1.0,10.0,100.266304,999.0,999.0,999.0,103.29916,3.0332198,103.29966,2.0,105.30484,106.31366,106.31393,110.3361,2019-11-25 12:17:16.603557
12,12,0.6,1.5,win,obj (138).bmp,obj (201).bmp,1.0,11.0,110.35607,999.0,999.0,999.0,113.38711,3.0314229,113.38763,2.0,115.392654,116.40245,116.40275,117.911064,2019-11-25 12:17:24.178490
13,13,0.6,1.5,win,obj (139).bmp,obj (202).bmp,1.0,12.0,117.9307,999.0,999.0,999.0,120.962616,3.0322995,120.963135,2.0,122.968666,123.977715,123.97798,125.48775,2019-11-25 12:17:31.755325
14,14,0.6,4,loss,obj (140).bmp,obj (203).bmp,1.0,13.0,125.50783,999.0,999.0,999.0,128.54245,3.035005,128.54297,2.0,130.54819,131.55339,131.55363,135.55925,2019-11-25 12:17:41.826650
15,15,0.6,9,win,obj (142).bmp,obj (204).bmp,1.0,14.0,135.57964,999.0,999.0,999.0,138.61298,3.0337312,138.6135,2.0,140.6182,141.62785,141.62811,150.6404,2019-11-25 12:17:56.907798
16,16,0.6,1.5,loss,obj (143).bmp,obj (205).bmp,1.0,15.0,150.66045,999.0,999.0,999.0,153.69487,3.0348134,153.69539,2.0,155.6999,156.7047,156.70493,158.21013,2019-11-25 12:18:04.477527
17,17,0.6,1.5,loss,obj (144).bmp,obj (206).bmp,1.0,16.0,158.2301,999.0,999.0,999.0,161.26274,3.0330033,161.26324,2.0,163.26776,164.27242,164.27263,165.77707,2019-11-25 12:18:12.044633
18,18,0.6,6.5,win,obj (145).bmp,obj (207).bmp,1.0,17.0,165.79836,999.0,999.0,999.0,168.82983,3.0318718,168.83037,2.0,170.83618,171.84528,171.84557,178.36548,2019-11-25 12:18:24.632921
19,19,0.6,6.5,loss,obj (146).bmp,obj (208).bmp,1.0,18.0,178.38496,999.0,999.0,999.0,181.41797,3.0333803,181.41852,2.0,183.42389,184.42839,184.42863,190.93333,2019-11-25 12:18:37.200751
20,20,0.6,6.5,win,obj (147).bmp,obj (209).bmp,1.0,19.0,190.95393,999.0,999.0,999.0,193.98438,3.030821,193.9849,2.0,195.9897,196.99916,196.99942,203.512,2019-11-25 12:18:49.779398
21,21,0.6,9,win,obj (148).bmp,obj (210).bmp,1.0,20.0,203.5319,999.0,999.0,999.0,206.56409,3.0325522,206.56459,2.0,208.56972,209.57939,209.5797,218.60088,2019-11-25 12:19:04.868565
22,22,0.6,1.5,win,obj (149).bmp,obj (211).bmp,1.0,21.0,218.62225,999.0,999.0,999.0,221.65425,3.0323827,221.65477,2.0,223.65973,224.66933,224.66975,226.18991,2019-11-25 12:19:12.457501
23,23,0.6,1.5,loss,obj (151).bmp,obj (212).bmp,1.0,22.0,226.21072,999.0,999.0,999.0,229.24207,3.0317183,229.24257,2.0,231.24806,232.25238,232.25262,233.75723,2019-11-25 12:19:20.024996
24,24,0.6,4,win,obj (152).bmp,obj (213).bmp,1.0,23.0,233.77823,999.0,999.0,999.0,236.80942,3.031573,236.80995,2.0,238.81429,239.82362,239.82393,243.8434,2019-11-25 12:19:30.111208
25,25,0.6,1.5,win,obj (153).bmp,obj (214).bmp,1.0,24.0,243.86386,999.0,999.0,999.0,246.89642,3.032933,246.89694,2.0,248.90216,249.91182,249.91208,251.43452,2019-11-25 12:19:37.702499
26,26,0.6,1.5,loss,obj (154).bmp,obj (215).bmp,1.0,25.0,251.45543,999.0,999.0,999.0,254.4868,3.0317397,254.48732,2.0,256.4922,257.49713,257.49738,259.00214,2019-11-25 12:19:45.270074
27,27,0.6,6.5,loss,obj (155).bmp,obj (216).bmp,1.0,26.0,259.02264,999.0,999.0,999.0,262.05627,3.034005,262.0568,2.0,264.06125,265.0654,265.06564,271.571,2019-11-25 12:19:57.838986
28,28,0.6,4,loss,obj (156).bmp,obj (217).bmp,1.0,27.0,271.59204,999.0,999.0,999.0,274.62524,3.0336375,274.62582,2.0,276.63174,277.63644,277.6367,281.6417,2019-11-25 12:20:07.909781
29,29,0.6,4,win,obj (157).bmp,obj (218).bmp,1.0,28.0,281.6626,999.0,999.0,999.0,284.6963,3.0340643,284.69678,2.0,286.7011,287.71075,287.71103,291.72055,2019-11-25 12:20:17.988750
30,30,0.6,1.5,loss,obj (158).bmp,obj (219).bmp,1.0,29.0,291.7417,999.0,999.0,999.0,294.77405,3.0327053,294.77457,2.0,296.77948,297.78476,297.785,299.29022,2019-11-25 12:20:25.558498
31,31,0.6,1.5,win,obj (159).bmp,obj (220).bmp,1.0,30.0,299.3107,999.0,999.0,999.0,302.34146,3.0311332,302.34198,2.0,304.34708,305.35626,305.35657,306.8724,2019-11-25 12:20:33.140714
32,32,0.6,4,win,obj (160).bmp,obj (221).bmp,1.0,31.0,306.89252,999.0,999.0,999.0,309.92453,3.0323794,309.92502,2.0,311.92984,312.9397,312.93997,316.94998,2019-11-25 12:20:43.218420
33,33,0.6,4,loss,obj (161).bmp,obj (222).bmp,1.0,32.0,316.9702,999.0,999.0,999.0,320.0018,3.0319602,320.00232,2.0,322.0081,323.01254,323.0128,327.0189,2019-11-25 12:20:53.287408
34,34,0.6,4,loss,obj (162).bmp,obj (223).bmp,1.0,33.0,327.04037,999.0,999.0,999.0,330.07242,3.032419,330.07294,2.0,332.07822,333.08273,333.08298,337.08853,2019-11-25 12:21:03.358060
35,35,0.6,1.5,loss,obj (163).bmp,obj (224).bmp,1.0,34.0,337.1086,999.0,999.0,999.0,340.14105,3.0327773,340.14154,2.0,342.14673,343.1513,343.15152,344.65598,2019-11-25 12:21:10.924792
36,36,0.6,1.5,loss,obj (164).bmp,obj (225).bmp,1.0,35.0,344.67874,999.0,999.0,999.0,347.7101,3.031773,347.71063,2.0,349.71573,350.72098,350.72122,352.2264,2019-11-25 12:21:18.495297
37,37,0.6,4,win,obj (165).bmp,obj (226).bmp,1.0,36.0,352.24695,999.0,999.0,999.0,355.27905,3.0324557,355.27954,2.0,357.28452,358.29337,358.29367,362.312,2019-11-25 12:21:28.581008
38,38,0.6,6.5,loss,obj (166).bmp,obj (227).bmp,1.0,37.0,362.33307,999.0,999.0,999.0,365.36682,3.034137,365.36737,2.0,367.3726,368.37735,368.37756,374.8821,2019-11-25 12:21:41.151207
39,39,0.6,6.5,loss,obj (167).bmp,obj (228).bmp,1.0,38.0,374.9025,999.0,999.0,999.0,377.93515,3.0330195,377.93567,2.0,379.9414,380.94687,380.94708,387.45245,2019-11-25 12:21:53.721486
40,40,0.6,1.5,win,obj (168).bmp,obj (229).bmp,1.0,39.0,387.4733,999.0,999.0,999.0,390.50656,3.0336354,390.50708,2.0,392.5121,393.52103,393.5213,395.03363,2019-11-25 12:22:01.302721
41,41,0.6,4,win,obj (169).bmp,obj (230).bmp,1.0,40.0,395.0537,999.0,999.0,999.0,398.08737,3.0340426,398.0879,2.0,400.09274,401.1019,401.10217,405.11017,2019-11-25 12:22:11.379355
42,42,0.6,4,win,obj (170).bmp,obj (231).bmp,1.0,41.0,405.131,999.0,999.0,999.0,408.162,3.0313704,408.16254,2.0,410.16748,411.17712,411.17737,415.18585,2019-11-25 12:22:21.455265
43,43,0.6,1.5,win,obj (171).bmp,obj (232).bmp,1.0,42.0,415.20648,999.0,999.0,999.0,418.2404,3.0342877,418.2409,2.0,420.24655,421.25546,421.25574,422.7775,2019-11-25 12:22:29.046863
44,44,0.6,1.5,win,obj (172).bmp,obj (233).bmp,1.0,43.0,422.79764,999.0,999.0,999.0,425.8315,3.0342731,425.83206,2.0,427.83722,428.84644,428.8468,430.36798,2019-11-25 12:22:36.637384
45,45,0.6,4,win,obj (173).bmp,obj (234).bmp,1.0,44.0,430.38934,999.0,999.0,999.0,433.4198,3.030821,433.4203,2.0,435.42612,436.4351,436.43536,440.44763,2019-11-25 12:22:46.717231
46,46,0.6,6.5,loss,obj (174).bmp,obj (235).bmp,1.0,45.0,440.4692,999.0,999.0,999.0,443.50052,3.031697,443.5011,2.0,445.50623,446.51175,446.512,453.01678,2019-11-25 12:22:59.286540
47,47,0.6,4,loss,obj (175).bmp,obj (236).bmp,1.0,46.0,453.03864,999.0,999.0,999.0,456.07156,3.0332806,456.07205,2.0,458.07642,459.08185,459.0821,463.08673,2019-11-25 12:23:09.356426
48,48,0.6,9,win,obj (176).bmp,obj (237).bmp,1.0,47.0,463.10788,999.0,999.0,999.0,466.14,3.0325227,466.14053,2.0,468.14554,469.1546,469.1549,478.1711,2019-11-25 12:23:24.441043
49,49,0.6,4,loss,obj (177).bmp,obj (238).bmp,1.0,48.0,478.19336,999.0,999.0,999.0,481.22568,3.0326812,481.22617,2.0,483.23117,484.23615,484.2364,488.24094,2019-11-25 12:23:34.510981
50,50,0.6,1.5,win,obj (178).bmp,obj (239).bmp,1.0,49.0,488.2629,999.0,999.0,999.0,491.29535,3.032827,491.29587,2.0,493.3014,494.3111,494.3114,495.834,2019-11-25 12:23:42.104025
51,51,0.6,9,win,obj (179).bmp,obj (240).bmp,1.0,50.0,495.85535,999.0,999.0,999.0,498.8883,3.033563,498.88916,2.0,500.8943,501.90384,501.9041,510.92795,2019-11-25 12:23:57.197986
