TrialNumber,Trial,ISI,ITI,winlose,door_image_L,door_image_R,ran,order,decision_onset,resp,rt,resp_onset,resp_offset,trialDuration,pre_feedback_fix_onset,pre_feedback_fix_duration,arrow_onset,arrow_offset,ITIonset,ITIoffset,Date_Time
1,1,2,6,loss,obj (1).bmp,obj (61).bmp,1.0,0.0,4.036744,2.0,1.5639681,5.600712,7.5709333,3.534657,7.571572,2.0,9.573532,12.576086,12.576395,18.578674,2019-11-01 13:41:54.741440
2,2,2,4,win,obj (2).bmp,obj (62).bmp,1.0,1.0,18.621986,999.0,999.0,999.0,21.624903,3.0032735,21.625381,2.0,23.656029,26.660467,26.660769,30.690113,2019-11-01 13:42:06.852888
3,3,4,2,loss,obj (3).bmp,obj (63).bmp,1.0,2.0,30.704876,999.0,999.0,999.0,33.705593,3.0010562,33.706047,2.0,35.736717,38.739014,38.739243,40.741646,2019-11-01 13:42:16.904464
4,4,4,6,loss,obj (4).bmp,obj (64).bmp,1.0,3.0,40.75643,999.0,999.0,999.0,43.781387,3.0253067,43.7819,2.0,45.81212,48.81486,48.81508,54.816914,2019-11-01 13:42:30.979844
5,5,2,4,loss,obj (5).bmp,obj (65).bmp,1.0,4.0,54.833675,999.0,999.0,999.0,57.844753,3.0114398,57.845226,2.0,59.87568,62.878357,62.87858,66.88101,2019-11-01 13:42:43.043807
6,6,2,2,win,obj (6).bmp,obj (66).bmp,1.0,5.0,66.895035,999.0,999.0,999.0,69.92334,3.0286434,69.9238,2.0,71.95429,74.95825,74.9585,76.96574,2019-11-01 13:42:53.128520
7,7,6,4,win,obj (7).bmp,obj (67).bmp,1.0,6.0,76.98,999.0,999.0,999.0,80.000114,3.0204542,80.000565,2.0,82.03031,85.034676,85.03492,89.06558,2019-11-01 13:43:05.228432
8,8,2,4,loss,obj (8).bmp,obj (68).bmp,1.0,7.0,89.08018,999.0,999.0,999.0,92.110916,3.0310872,92.11138,2.0,94.141304,97.14402,97.14423,101.14701,2019-11-01 13:43:17.309857
9,9,8,2,win,obj (9).bmp,obj (69).bmp,1.0,8.0,101.16124,999.0,999.0,999.0,104.167305,3.0064187,104.16778,2.0,106.197655,109.201645,109.20194,111.233116,2019-11-01 13:43:27.395999
10,10,2,4,win,obj (10).bmp,obj (70).bmp,1.0,9.0,111.24704,999.0,999.0,999.0,114.270355,3.0236588,114.27081,2.0,116.30182,119.305504,119.30575,123.312614,2019-11-01 13:43:39.475471
11,11,4,2,win,obj (11).bmp,obj (71).bmp,1.0,10.0,123.32694,999.0,999.0,999.0,126.33194,3.0053375,126.3324,2.0,128.36359,131.36745,131.36777,133.39752,2019-11-01 13:43:49.560415
12,12,6,4,loss,obj (12).bmp,obj (72).bmp,1.0,11.0,133.41199,999.0,999.0,999.0,136.4355,3.023871,136.43597,2.0,138.46704,141.46916,141.46938,145.47176,2019-11-01 13:44:01.634618
13,13,2,4,win,obj (13).bmp,obj (73).bmp,1.0,12.0,145.48631,2.0,1.9793228,147.46564,149.01707,3.531113,149.01756,2.0,151.0201,154.02371,154.02396,158.05786,2019-11-01 13:44:14.220750
14,14,2,2,loss,obj (14).bmp,obj (74).bmp,1.0,13.0,158.0722,999.0,999.0,999.0,161.07304,3.001174,161.0735,2.0,163.10428,166.1063,166.10649,168.10847,2019-11-01 13:44:24.271417
15,15,8,2,loss,obj (15).bmp,obj (75).bmp,1.0,14.0,168.12248,999.0,999.0,999.0,171.14725,3.0251155,171.1477,2.0,173.17725,176.17943,176.17966,178.1815,2019-11-01 13:44:34.344455
16,16,2,4,win,obj (16).bmp,obj (76).bmp,1.0,15.0,178.19585,999.0,999.0,999.0,181.19945,3.003961,181.19992,2.0,183.23058,186.23436,186.2346,190.26797,2019-11-01 13:44:46.431023
17,17,2,2,loss,obj (17).bmp,obj (77).bmp,1.0,16.0,190.28255,999.0,999.0,999.0,193.31113,3.0289338,193.31158,2.0,195.34248,198.34464,198.34486,200.34732,2019-11-01 13:44:56.510326
18,18,4,4,win,obj (18).bmp,obj (78).bmp,1.0,17.0,200.36147,999.0,999.0,999.0,203.3861,3.0249705,203.38655,2.0,205.4173,208.42137,208.42162,212.43588,2019-11-01 13:45:08.598872
19,19,2,2,win,obj (19).bmp,obj (79).bmp,1.0,18.0,212.45026,999.0,999.0,999.0,215.47836,3.0284495,215.47882,2.0,217.50992,220.5133,220.51355,222.54443,2019-11-01 13:45:18.707589
20,20,2,2,win,obj (20).bmp,obj (80).bmp,1.0,19.0,222.55899,999.0,999.0,999.0,225.58098,3.0223384,225.58145,2.0,227.61232,230.61617,230.61642,232.65083,2019-11-01 13:45:28.813895
21,21,2,2,win,obj (21).bmp,obj (81).bmp,1.0,20.0,232.66527,999.0,999.0,999.0,235.68077,3.0158398,235.68123,2.0,237.71198,240.71535,240.71559,242.74533,2019-11-01 13:45:38.908373
22,22,2,2,loss,obj (22).bmp,obj (82).bmp,1.0,21.0,242.75998,999.0,999.0,999.0,245.78342,3.0237906,245.78389,2.0,247.81358,250.81538,250.81561,252.81773,2019-11-01 13:45:48.980775
23,23,4,6,loss,obj (23).bmp,obj (83).bmp,1.0,22.0,252.8321,999.0,999.0,999.0,255.84697,3.0152078,255.84743,2.0,257.87823,260.88043,260.88068,266.88348,2019-11-01 13:46:03.046527
24,24,4,6,win,obj (24).bmp,obj (84).bmp,1.0,23.0,266.89877,999.0,999.0,999.0,269.90643,3.0080075,269.90692,2.0,271.93765,274.9417,274.94193,280.94998,2019-11-01 13:46:17.113112
25,25,2,2,loss,obj (25).bmp,obj (85).bmp,1.0,24.0,280.96536,999.0,999.0,999.0,283.98038,3.0153613,283.98083,2.0,286.0109,289.013,289.01328,291.01584,2019-11-01 13:46:27.178950
26,26,4,8,loss,obj (26).bmp,obj (86).bmp,1.0,25.0,291.0302,999.0,999.0,999.0,294.0491,3.0192895,294.0496,2.0,296.08127,299.08347,299.08368,307.08612,2019-11-01 13:46:43.249223
27,27,6,2,loss,obj (27).bmp,obj (87).bmp,1.0,26.0,307.10175,999.0,999.0,999.0,310.11182,3.0104527,310.1123,2.0,312.14282,315.14536,315.14557,317.14767,2019-11-01 13:46:53.310791
28,28,6,2,loss,obj (28).bmp,obj (88).bmp,1.0,27.0,317.1624,999.0,999.0,999.0,320.1766,3.0145535,320.1771,2.0,322.20712,325.20908,325.2093,327.21143,2019-11-01 13:47:03.374658
29,29,2,4,win,obj (29).bmp,obj (89).bmp,1.0,28.0,327.22714,999.0,999.0,999.0,330.24652,3.0197453,330.247,2.0,332.27774,335.28143,335.28168,339.3165,2019-11-01 13:47:15.479736
30,30,4,2,win,obj (30).bmp,obj (90).bmp,1.0,29.0,339.33105,999.0,999.0,999.0,342.3604,3.0297172,342.36093,2.0,344.39175,347.3952,347.3955,349.42957,2019-11-01 13:47:25.592758
31,31,6,2,loss,obj (31).bmp,obj (91).bmp,1.0,30.0,349.44403,999.0,999.0,999.0,352.4634,3.0197597,352.4639,2.0,354.49423,357.4969,357.49713,359.4995,2019-11-01 13:47:35.662794
32,32,2,10,win,obj (32).bmp,obj (92).bmp,1.0,31.0,359.51407,999.0,999.0,999.0,362.5348,3.0210593,362.53525,2.0,364.5651,367.56863,367.56894,377.6057,2019-11-01 13:47:53.768982
33,33,4,6,loss,obj (33).bmp,obj (93).bmp,1.0,32.0,377.62082,999.0,999.0,999.0,380.62885,3.0083575,380.6293,2.0,382.65924,385.66116,385.66138,391.66388,2019-11-01 13:48:07.827240
34,34,2,2,loss,obj (34).bmp,obj (94).bmp,1.0,33.0,391.6829,999.0,999.0,999.0,394.69818,3.0156496,394.69864,2.0,396.72986,399.73172,399.73196,401.7339,2019-11-01 13:48:17.897111
35,35,6,2,loss,obj (35).bmp,obj (95).bmp,1.0,34.0,401.7487,999.0,999.0,999.0,404.76822,3.0198653,404.76868,2.0,406.7995,409.80173,409.80194,411.8046,2019-11-01 13:48:27.967968
36,36,4,8,win,obj (36).bmp,obj (96).bmp,1.0,35.0,411.8195,999.0,999.0,999.0,414.83862,3.0195343,414.83914,2.0,416.86914,419.8726,419.87286,427.87964,2019-11-01 13:48:44.043023
37,37,3,8,win,obj (37).bmp,obj (97).bmp,1.0,36.0,427.8951,999.0,999.0,999.0,430.91998,3.025231,430.92044,2.0,432.95145,435.9554,435.9557,443.98898,2019-11-01 13:49:00.152366
38,38,6,10,loss,obj (38).bmp,obj (98).bmp,1.0,37.0,444.00412,999.0,999.0,999.0,447.01352,3.009789,447.01404,2.0,449.04428,452.04633,452.04657,462.04907,2019-11-01 13:49:18.212526
39,39,2,8,win,obj (39).bmp,obj (99).bmp,1.0,38.0,462.0645,999.0,999.0,999.0,465.07935,3.0151982,465.0798,2.0,467.10962,470.1131,470.11334,478.1396,2019-11-01 13:49:34.303004
40,40,2,6,win,obj (40).bmp,obj (100).bmp,1.0,39.0,478.1547,999.0,999.0,999.0,481.18332,3.0289629,481.18378,2.0,483.21408,486.2176,486.21783,492.22928,2019-11-01 13:49:48.392624
41,41,2,6,win,obj (41).bmp,obj (101).bmp,1.0,40.0,492.24448,999.0,999.0,999.0,495.2611,3.017025,495.2616,2.0,497.2925,500.29642,500.29666,506.3273,2019-11-01 13:50:02.490670
42,42,4,8,loss,obj (42).bmp,obj (102).bmp,1.0,41.0,506.34265,999.0,999.0,999.0,509.35083,3.0085263,509.3513,2.0,511.38196,514.3839,514.3841,522.3866,2019-11-01 13:50:18.549996
43,43,3,8,win,obj (43).bmp,obj (103).bmp,1.0,42.0,522.40216,999.0,999.0,999.0,525.4165,3.0146933,525.417,2.0,527.4473,530.45166,530.45197,538.486,2019-11-01 13:50:34.649499
44,44,6,6,loss,obj (44).bmp,obj (104).bmp,1.0,43.0,538.5011,999.0,999.0,999.0,541.5066,3.005826,541.507,2.0,543.53687,546.5397,546.5399,552.5426,2019-11-01 13:50:48.705997
