onset	duration	condition
4.0389121999032795	3	door
7.064477399922907	2	Fixation_ant
9.06836359994486	3	win
18.112619699910283	3	door
21.13305619987659	2	Fixation_ant
23.135810599895194	3	loss
30.156927600037307	3	door
33.17688989988528	2	Fixation_ant
35.18093889998272	3	loss
40.20146350003779	3	door
43.2229005000554	2	Fixation_ant
45.22600269992836	3	loss
54.247958600055426	3	door
57.26991469995119	2	Fixation_ant
59.27315679984167	3	loss
66.2946247998625	3	door
69.31561010004953	2	Fixation_ant
71.31887089996599	3	loss
76.3398215000052	3	door
79.35866959998384	2	Fixation_ant
81.36181479995139	3	loss
88.38226129999384	3	door
91.40285849990323	2	Fixation_ant
93.40612519998103	3	loss
100.42692500003614	3	door
103.44683649996296	2	Fixation_ant
105.45047969999723	3	win
110.48427610006183	3	door
113.50489469990134	2	Fixation_ant
115.50801420002244	3	win
122.54710730002262	3	door
125.56834189989604	2	Fixation_ant
127.57149889995344	3	win
132.59888319997117	3	door
135.61934869992547	2	Fixation_ant
137.6221526998561	3	win
144.64836929994635	3	door
147.6698560998775	2	Fixation_ant
149.67347499984317	3	win
156.7128129999619	3	door
159.7332253998611	2	Fixation_ant
161.73689899989404	3	loss
166.75902369990945	3	door
169.77930429996923	2	Fixation_ant
171.7838454998564	3	win
176.81107499985956	3	door
179.83105959999375	2	Fixation_ant
181.83436179999262	3	loss
188.85622620000504	3	door
191.87799449986778	2	Fixation_ant
193.88159739994444	3	loss
198.90345019986853	3	door
201.9260945999995	2	Fixation_ant
203.9294835999608	3	win
210.95670869993046	3	door
213.97814160003327	2	Fixation_ant
215.98118739994243	3	loss
221.00213889987208	3	door
224.02411290002055	2	Fixation_ant
226.027041999856	3	win
231.05407289997675	3	door
234.07496939995326	2	Fixation_ant
236.0778270000592	3	win
241.11966109997593	3	door
244.14021169999614	2	Fixation_ant
246.1433438998647	3	win
251.18325509992428	3	door
254.2036973000504	2	Fixation_ant
256.2074432000518	3	loss
265.2293895999901	3	door
268.24863319983706	2	Fixation_ant
270.2517182000447	3	win
279.2830482998397	3	door
282.3047153998632	2	Fixation_ant
284.3078238000162	3	win
289.3497615000233	3	door
292.37084580003284	2	Fixation_ant
294.3741764998995	3	loss
305.39515540003777	3	door
308.41655489988625	2	Fixation_ant
310.4202532998752	3	loss
315.44158879993483	3	door
318.4631503999699	2	Fixation_ant
320.46675609983504	3	loss
325.4876164998859	3	door
328.5085960000288	2	Fixation_ant
330.51249499991536	3	win
337.5441978999879	3	door
340.56528629991226	2	Fixation_ant
342.5682785999961	3	loss
347.59288470004685	3	door
350.61330179986544	2	Fixation_ant
352.6170510998927	3	win
357.65517819998786	3	door
360.67579949996434	2	Fixation_ant
362.6799115999602	3	win
372.7202721000649	3	door
375.7425748000387	2	Fixation_ant
377.7461709000636	3	loss
386.76965889986604	3	door
389.79024189990014	2	Fixation_ant
391.7941238998901	3	loss
396.8149876999669	3	door
399.83652359992266	2	Fixation_ant
401.84008029988036	3	loss
406.8609777998645	3	door
409.88286819984205	2	Fixation_ant
411.8857336998917	3	loss
422.92877750005573	3	door
425.95048690005206	2	Fixation_ant
427.9543043000158	3	win
439.0073998000007	3	door
442.02948360005394	2	Fixation_ant
444.0325308998581	3	loss
454.05533679993823	3	door
457.0767087000422	2	Fixation_ant
459.0802633999847	3	loss
470.1023378998507	3	door
473.1220954998862	2	Fixation_ant
475.12760209990665	3	win
484.15958099998534	3	door
487.182009199867	2	Fixation_ant
489.1854379000142	3	win
498.2255692000035	3	door
501.2466120000463	2	Fixation_ant
503.25049969996326	3	win
514.2889364999719	3	door
517.3100906000473	2	Fixation_ant
519.3138468000107	3	win
530.3578261998482	3	door
533.3776244998444	2	Fixation_ant
535.3815464000218	3	win
544.4189422999043	3	door
547.439905700041	2	Fixation_ant
549.4436995000578	3	win
559.4844455998391	3	door
562.5073537998833	2	Fixation_ant
564.5101330999751	3	loss
574.5323564000428	3	door
577.5550470000599	2	Fixation_ant
579.5581292998977	3	loss
588.5800441999454	3	door
591.6000514999032	2	Fixation_ant
593.6037302999757	3	win
603.632514399942	3	door
606.6540246999357	2	Fixation_ant
608.6578394998796	3	loss
618.6802419000305	3	door
621.7023287999909	2	Fixation_ant
623.7059386998881	3	win
634.7659402999561	3	door
637.7878190998454	2	Fixation_ant
639.7938430998474	3	win
646.8430627000052	3	door
649.8646174999885	2	Fixation_ant
651.8675983999856	3	win
660.9085831998382	3	door
663.9289152000565	2	Fixation_ant
665.9319009999745	3	loss
674.9551868999843	3	door
677.9779624999501	2	Fixation_ant
679.9817798000295	3	loss
687.0043378998525	3	door
690.0252040000632	2	Fixation_ant
692.0287726998795	3	win
701.0683255998883	3	door
704.0912784000393	2	Fixation_ant
706.0949959999416	3	loss
716.1178915998898	3	door
719.1380693998653	2	Fixation_ant
721.1414892000612	3	loss
726.1618242999539	3	door
729.1844678998459	2	Fixation_ant
731.1877599998843	3	win
740.2145548998378	3	door
743.2362180000637	2	Fixation_ant
745.2405970999971	3	loss
755.2624079999514	3	door
758.2835406998638	2	Fixation_ant
760.2863739999011	3	win
