TrialNumber,Trial,ISI,ITI,winlose,face_image_L,face_image_R,ran,order,decision_onset,resp,rt,resp_onset,resp_offset,trialDuration,pre_feedback_fix_onset,pre_feedback_fix_duration,arrow_onset,arrow_offset,ITIonset,ITIoffset,Date_Time
1,1,0.6,6.5,loss,F120.jpg,F118.jpg,1.0,0.0,2.056651,999.0,999.0,999.0,5.0931892,3.037195,5.0940323,2.0,7.099452,8.105499,8.105833,14.610102,2019-11-25 13:09:01.712467
2,2,0.6,4,win,F106.jpg,F114.jpg,1.0,1.0,14.674029,999.0,999.0,999.0,17.707676,3.0340273,17.708193,2.0,19.713274,20.722502,20.722755,24.737385,2019-11-25 13:09:11.838767
3,3,0.6,1.5,loss,M112.jpg,M38.jpg,1.0,2.0,24.790611,999.0,999.0,999.0,27.823982,3.033761,27.824556,2.0,29.829735,30.834135,30.834372,32.33927,2019-11-25 13:09:19.440628
4,4,0.6,1.5,loss,F96.jpg,F42.jpg,1.0,3.0,32.395218,999.0,999.0,999.0,35.42817,3.0333285,35.428684,2.0,37.434284,38.438824,38.439053,39.944115,2019-11-25 13:09:27.045490
5,5,0.6,4,loss,M12.jpg,M114.jpg,1.0,4.0,39.992706,999.0,999.0,999.0,43.02639,3.034063,43.026917,2.0,45.03122,46.035576,46.035812,50.04062,2019-11-25 13:09:37.141963
6,6,0.6,1.5,win,M78.jpg,M60.jpg,1.0,5.0,50.084393,999.0,999.0,999.0,53.120014,3.036163,53.120857,2.0,55.126427,56.13579,56.13603,57.659023,2019-11-25 13:09:44.760519
7,7,0.6,1.5,win,F20.jpg,F12.jpg,1.0,6.0,57.734467,999.0,999.0,999.0,60.768906,3.0348299,60.769447,2.0,62.77466,63.783585,63.7839,65.30282,2019-11-25 13:09:52.404156
8,8,0.6,6.5,loss,F92.jpg,F56.jpg,1.0,7.0,65.358734,999.0,999.0,999.0,68.39358,3.0352004,68.394066,2.0,70.39859,71.40352,71.403755,77.90928,2019-11-25 13:10:05.010723
9,9,0.6,4,win,M26.jpg,M100.jpg,1.0,8.0,77.95962,999.0,999.0,999.0,80.99311,3.033882,80.993645,2.0,82.998665,84.007935,84.00822,88.01868,2019-11-25 13:10:15.120282
10,10,0.6,6.5,win,M98.jpg,M04.jpg,1.0,9.0,88.08422,999.0,999.0,999.0,91.11838,3.0345612,91.11894,2.0,93.12439,94.13386,94.13413,100.64379,2019-11-25 13:10:27.745612
11,11,0.6,4,loss,M70.jpg,M116.jpg,1.0,10.0,100.69197,999.0,999.0,999.0,103.72562,3.034057,103.72619,2.0,105.7315,106.73664,106.73688,110.74186,2019-11-25 13:10:37.843756
12,12,0.6,1.5,loss,F44.jpg,F54.jpg,1.0,11.0,110.798744,999.0,999.0,999.0,113.833115,3.0347502,113.83363,2.0,115.83888,116.84402,116.844246,118.34909,2019-11-25 13:10:45.451040
13,13,0.6,1.5,win,M20.jpg,M110.jpg,1.0,12.0,118.399704,999.0,999.0,999.0,121.43392,3.0345979,121.43444,2.0,123.44014,124.449036,124.449295,125.96902,2019-11-25 13:10:53.071065
14,14,0.6,4,win,F08.jpg,F112.jpg,1.0,13.0,126.023254,999.0,999.0,999.0,129.0575,3.034835,129.05847,2.0,131.06334,132.0722,132.07253,136.09323,2019-11-25 13:11:03.195465
15,15,0.6,9,win,M68.jpg,M08.jpg,1.0,14.0,136.14662,999.0,999.0,999.0,139.17986,3.0336113,139.18037,2.0,141.18594,142.19502,142.19531,151.20572,2019-11-25 13:11:18.308107
16,16,0.6,1.5,win,F38.jpg,F68.jpg,1.0,15.0,151.27429,999.0,999.0,999.0,154.30952,3.0356147,154.31006,2.0,156.31456,157.3239,157.32416,158.84248,2019-11-25 13:11:25.945015
17,17,0.6,1.5,loss,M94.jpg,M66.jpg,1.0,16.0,158.88747,999.0,999.0,999.0,161.92029,3.0331733,161.92078,2.0,163.92531,164.92978,164.93,166.43509,2019-11-25 13:11:33.537685
18,18,0.6,6.5,loss,F06.jpg,F32.jpg,1.0,17.0,166.49744,999.0,999.0,999.0,169.53413,3.03706,169.53462,2.0,171.53912,172.54419,172.54442,179.05042,2019-11-25 13:11:46.154152
19,19,0.6,6.5,loss,M10.jpg,M72.jpg,1.0,18.0,179.10687,999.0,999.0,999.0,182.14009,3.0335953,182.14061,2.0,184.14665,185.15144,185.15167,191.65599,2019-11-25 13:11:58.758916
20,20,0.6,6.5,win,F60.jpg,F18.jpg,1.0,19.0,191.72224,999.0,999.0,999.0,194.75595,3.0340824,194.75645,2.0,196.76146,197.7711,197.77141,204.29262,2019-11-25 13:12:11.395714
21,21,0.6,9,loss,F86.jpg,F48.jpg,1.0,20.0,204.35426,999.0,999.0,999.0,207.38783,3.033981,207.3884,2.0,209.39348,210.39813,210.39835,219.40337,2019-11-25 13:12:26.506667
22,22,0.6,1.5,loss,M50.jpg,M84.jpg,1.0,21.0,219.45888,999.0,999.0,999.0,222.49153,3.0330393,222.49207,2.0,224.49771,225.50189,225.50212,227.00719,2019-11-25 13:12:34.110546
23,23,0.6,1.5,win,F98.jpg,F24.jpg,1.0,22.0,227.06113,999.0,999.0,999.0,230.09518,3.034447,230.09572,2.0,232.10068,233.1096,233.10986,234.62961,2019-11-25 13:12:41.733054
24,24,0.6,4,win,M102.jpg,M34.jpg,1.0,23.0,234.67738,999.0,999.0,999.0,237.71437,3.0373998,237.71494,2.0,239.72049,240.7294,240.72968,244.74118,2019-11-25 13:12:51.844761
25,25,0.6,1.5,loss,M80.jpg,M64.jpg,1.0,24.0,244.79381,999.0,999.0,999.0,247.83165,3.038206,247.83215,2.0,249.83707,250.84207,250.8423,252.34723,2019-11-25 13:12:59.450963
26,26,0.6,1.5,loss,M62.jpg,M56.jpg,1.0,25.0,252.3935,999.0,999.0,999.0,255.42876,3.0356548,255.42929,2.0,257.43497,258.43967,258.4399,259.94485,2019-11-25 13:13:07.048624
27,27,0.6,6.5,loss,M18.jpg,M120.jpg,1.0,26.0,259.99683,999.0,999.0,999.0,263.03036,3.0339124,263.03088,2.0,265.03616,266.0413,266.04153,272.54666,2019-11-25 13:13:19.650593
28,28,0.6,4,loss,F34.jpg,F76.jpg,1.0,27.0,272.605,999.0,999.0,999.0,275.63965,3.0350125,275.64017,2.0,277.64435,278.6488,278.64902,282.65466,2019-11-25 13:13:29.758738
29,29,0.6,4,loss,M22.jpg,M40.jpg,1.0,28.0,282.7081,999.0,999.0,999.0,285.74142,3.0336864,285.7419,2.0,287.74698,288.75177,288.752,292.75623,2019-11-25 13:13:39.860372
30,30,0.6,1.5,win,F52.jpg,F90.jpg,1.0,29.0,292.816,999.0,999.0,999.0,295.85263,3.0370142,295.85315,2.0,297.85895,298.86777,298.86804,300.37674,2019-11-25 13:13:47.481036
31,31,0.6,1.5,loss,F22.jpg,F116.jpg,1.0,30.0,300.44275,999.0,999.0,999.0,303.47778,3.0354075,303.4783,2.0,305.4841,306.48862,306.48883,307.99402,2019-11-25 13:13:55.098401
32,32,0.6,4,win,M32.jpg,M96.jpg,1.0,31.0,308.04626,999.0,999.0,999.0,311.0806,3.0347085,311.08112,2.0,313.08566,314.09454,314.09482,318.11426,2019-11-25 13:14:05.218788
33,33,0.6,4,win,F58.jpg,F16.jpg,1.0,32.0,318.17587,999.0,999.0,999.0,321.21292,3.0374198,321.21344,2.0,323.219,324.22873,324.22897,328.2388,2019-11-25 13:14:15.343560
34,34,0.6,4,win,F26.jpg,F102.jpg,1.0,33.0,328.2939,999.0,999.0,999.0,331.3292,3.035678,331.32977,2.0,333.33524,334.34424,334.34454,338.36444,2019-11-25 13:14:25.469193
35,35,0.6,1.5,win,M46.jpg,M58.jpg,1.0,34.0,338.40823,999.0,999.0,999.0,341.44278,3.0349524,341.4433,2.0,343.4489,344.45892,344.4593,345.9726,2019-11-25 13:14:33.077488
36,36,0.6,1.5,win,F82.jpg,F104.jpg,1.0,35.0,346.0401,999.0,999.0,999.0,349.0761,3.036435,349.0767,2.0,351.08267,352.09207,352.09235,353.61642,2019-11-25 13:14:40.721433
37,37,0.6,4,win,M92.jpg,M88.jpg,1.0,36.0,353.67606,999.0,999.0,999.0,356.70993,3.0342114,356.71042,2.0,358.71518,359.7244,359.7247,363.7435,2019-11-25 13:14:50.848595
38,38,0.6,6.5,loss,F84.jpg,F40.jpg,1.0,37.0,363.8135,999.0,999.0,999.0,366.84872,3.035596,366.84924,2.0,368.85428,369.8591,369.85934,376.36392,2019-11-25 13:15:03.469294
39,39,0.6,6.5,win,M76.jpg,M86.jpg,1.0,38.0,376.42007,999.0,999.0,999.0,379.45523,3.0355222,379.45575,2.0,381.4604,382.46973,382.47003,388.99118,2019-11-25 13:15:16.096501
40,40,0.6,1.5,loss,M82.jpg,M14.jpg,1.0,39.0,389.0531,999.0,999.0,999.0,392.08746,3.034764,392.08798,2.0,394.09406,395.09833,395.09854,396.603,2019-11-25 13:15:23.708395
41,41,0.6,4,win,F74.jpg,F78.jpg,1.0,40.0,396.65927,999.0,999.0,999.0,399.69577,3.036859,399.6963,2.0,401.70117,402.7106,402.7109,406.7238,2019-11-25 13:15:33.829380
42,42,0.6,4,win,M30.jpg,M06.jpg,1.0,41.0,406.78043,999.0,999.0,999.0,409.81345,3.0334082,409.81396,2.0,411.81848,412.82733,412.82773,416.8499,2019-11-25 13:15:43.955519
43,43,0.6,1.5,loss,F02.jpg,F94.jpg,1.0,42.0,416.9092,999.0,999.0,999.0,419.94244,3.0336213,419.943,2.0,421.94803,422.9525,422.95276,424.45767,2019-11-25 13:15:51.563385
44,44,0.6,1.5,win,F66.jpg,F70.jpg,1.0,43.0,424.5253,999.0,999.0,999.0,427.56094,3.0360215,427.56146,2.0,429.56744,430.5769,430.5772,432.09802,2019-11-25 13:15:59.203701
45,45,0.6,4,loss,F04.jpg,F64.jpg,1.0,44.0,432.15625,999.0,999.0,999.0,435.1882,3.0323455,435.18875,2.0,437.19424,438.19882,438.19907,442.2036,2019-11-25 13:16:09.309547
46,46,0.6,6.5,loss,M52.jpg,M24.jpg,1.0,45.0,442.2585,999.0,999.0,999.0,445.29175,3.0335996,445.29227,2.0,447.29715,448.30112,448.30136,454.80634,2019-11-25 13:16:21.912272
47,47,0.6,4,loss,F14.jpg,F62.jpg,1.0,46.0,454.8693,999.0,999.0,999.0,457.90488,3.0359726,457.9054,2.0,459.9105,460.91556,460.91577,464.91998,2019-11-25 13:16:32.026152
48,48,0.6,9,loss,M104.jpg,M16.jpg,1.0,47.0,464.96985,999.0,999.0,999.0,468.0045,3.0350008,468.00497,2.0,470.0096,471.0145,471.0147,480.01895,2019-11-25 13:16:47.125176
49,49,0.6,4,win,M36.jpg,M44.jpg,1.0,48.0,480.06497,999.0,999.0,999.0,483.0989,3.0343292,483.09943,2.0,485.1043,486.11395,486.1142,490.12262,2019-11-25 13:16:57.228886
50,50,0.6,1.5,loss,F10.jpg,F108.jpg,1.0,49.0,490.17874,999.0,999.0,999.0,493.21445,3.0361788,493.2151,2.0,495.21967,496.22482,496.22507,497.72977,2019-11-25 13:17:04.836093
51,51,0.6,9,loss,M118.jpg,M48.jpg,1.0,50.0,497.77405,999.0,999.0,999.0,500.81067,3.0370252,500.81122,2.0,502.8155,503.8198,503.82,512.825,2019-11-25 13:17:19.931437
52,52,0.6,4,win,F72.jpg,F80.jpg,1.0,51.0,512.8917,999.0,999.0,999.0,515.92523,3.0339284,515.9258,2.0,517.93097,518.94,518.9403,522.9625,2019-11-25 13:17:30.069051
53,53,0.6,9,win,M74.jpg,M90.jpg,1.0,52.0,523.01404,999.0,999.0,999.0,526.04803,3.034393,526.0487,2.0,528.0537,529.06287,529.06323,538.0839,2019-11-25 13:17:45.191619
54,54,0.6,1.5,win,M42.jpg,M108.jpg,1.0,53.0,538.1515,999.0,999.0,999.0,541.1862,3.0352213,541.1868,2.0,543.19275,544.2021,544.20233,545.7249,2019-11-25 13:17:52.831672
55,55,0.6,1.5,win,M28.jpg,M02.jpg,1.0,54.0,545.7861,999.0,999.0,999.0,548.81976,3.0341668,548.8204,2.0,550.8254,551.8344,551.8347,553.35144,2019-11-25 13:18:00.458263
56,56,0.6,4,loss,F28.jpg,F100.jpg,1.0,55.0,553.4075,999.0,999.0,999.0,556.43964,3.0325792,556.4402,2.0,558.44604,559.45026,559.4505,563.4548,2019-11-25 13:18:10.561702
57,57,0.6,4,loss,F36.jpg,F46.jpg,1.0,56.0,563.526,999.0,999.0,999.0,566.5612,3.0356119,566.56177,2.0,568.5674,569.5725,569.5727,573.5775,2019-11-25 13:18:20.684639
58,58,0.6,1.5,loss,M106.jpg,M54.jpg,1.0,57.0,573.6212,999.0,999.0,999.0,576.6551,3.0342865,576.65564,2.0,578.6616,579.666,579.66626,581.172,2019-11-25 13:18:28.279086
59,59,0.6,1.5,win,F30.jpg,F50.jpg,1.0,58.0,581.2344,999.0,999.0,999.0,584.26984,3.0358343,584.2704,2.0,586.2753,587.2847,587.28503,588.8056,2019-11-25 13:18:35.912719
