condition	duration	onset
door	3	4.012522178702056
Fixation_ant	2	7.0284527307376266
loss	3	9.04524420388043
door	3	18.092369517777115
Fixation_ant	2	21.104416022077203
win	3	23.121720879804343
door	3	30.184865668881685
Fixation_ant	2	33.196270051877946
loss	3	35.21379241673276
door	3	40.26012664102018
Fixation_ant	2	43.27085494110361
loss	3	45.28766237664968
door	3	54.33510521193966
Fixation_ant	2	57.34733658004552
loss	3	59.3641077587381
door	3	66.41345265088603
Fixation_ant	2	69.42313112178817
win	3	71.43998376606032
door	3	76.5026023699902
Fixation_ant	2	79.51312345871702
win	3	81.52963521471247
door	3	88.59536626981571
Fixation_ant	2	91.60484765889123
loss	3	93.62183582689613
door	3	100.6676760148257
Fixation_ant	2	103.68087630579248
win	3	105.69690982671455
door	3	110.75971904909238
Fixation_ant	2	113.77083544479683
win	3	115.78763222089037
door	3	122.85615753103048
Fixation_ant	2	125.86262990580872
win	3	127.87944446178153
door	3	132.94229806493968
Fixation_ant	2	135.95311257103458
loss	3	137.9699448137544
door	3	145.01637903787196
Fixation_ant	2	148.0283313859254
win	3	150.04513669200242
door	3	157.10837801592425
Fixation_ant	2	160.1203220039606
loss	3	162.13717562472448
door	3	167.18450825894251
Fixation_ant	2	170.194170196075
loss	3	172.21092440467328
door	3	177.25776007166132
Fixation_ant	2	180.26724809175357
win	3	182.28462360799313
door	3	189.3493502549827
Fixation_ant	2	192.3603888186626
loss	3	194.37725356174633
door	3	199.4227592460811
Fixation_ant	2	202.43331444403157
win	3	204.4504134398885
door	3	211.51448589609936
Fixation_ant	2	214.52596214879304
win	3	216.54282027482986
door	3	221.60456132376567
Fixation_ant	2	224.61615477269515
win	3	226.63292961986735
door	3	231.69739368278533
Fixation_ant	2	234.7064627679065
win	3	236.72346966108307
door	3	241.7874382128939
Fixation_ant	2	244.79701313981786
loss	3	246.8137546190992
door	3	251.8614258049056
Fixation_ant	2	254.8708970490843
loss	3	256.88699808204547
door	3	265.93410692177713
Fixation_ant	2	268.9480457669124
win	3	270.964986809995
door	3	280.03199407691136
Fixation_ant	2	283.04084197990596
loss	3	285.0575755587779
door	3	290.10526187578216
Fixation_ant	2	293.1151908459142
loss	3	295.1319312560372
door	3	306.17917028209195
Fixation_ant	2	309.1937333769165
loss	3	311.2121060760692
door	3	316.26056130602956
Fixation_ant	2	319.26781761972234
loss	3	321.2855701367371
door	3	326.33235875098035
Fixation_ant	2	329.3416939168237
win	3	331.35836000787094
door	3	338.4213285939768
Fixation_ant	2	341.43204598501325
win	3	343.4504176597111
door	3	348.5144399940036
Fixation_ant	2	351.523806206882
loss	3	353.54167307075113
door	3	358.5902290237136
Fixation_ant	2	361.59776666993275
win	3	363.61558202374727
door	3	373.6788452770561
Fixation_ant	2	376.69196637393907
loss	3	378.7098562656902
door	3	387.7567360936664
Fixation_ant	2	390.7684743949212
loss	3	392.7862297059037
door	3	397.8337520188652
Fixation_ant	2	400.8422633758746
loss	3	402.86004533898085
door	3	407.90695512201637
Fixation_ant	2	410.91449711006135
win	3	412.9329143417999
door	3	423.99551799567416
Fixation_ant	2	427.00974199175835
win	3	429.02847495581955
door	3	440.0936358170584
Fixation_ant	2	443.10544649884105
loss	3	445.1217677658424
door	3	455.17410183977336
Fixation_ant	2	458.1824611737393
win	3	460.2009539450519
door	3	471.2640986740589
Fixation_ant	2	474.2771465186961
win	3	476.29461634298787
door	3	485.3582637407817
Fixation_ant	2	488.3713770280592
win	3	490.3892242969014
door	3	499.45136856706813
Fixation_ant	2	502.4638035977259
loss	3	504.48105487274006
door	3	515.5289518190548
Fixation_ant	2	518.5425137029961
win	3	520.559447365813
door	3	531.62406349089
Fixation_ant	2	534.6363121960312
loss	3	536.6550819068216
door	3	545.7035061828792
Fixation_ant	2	548.7129062148742
loss	3	550.7304596290924
door	3	560.7794280070812
Fixation_ant	2	563.7912380211055
win	3	565.8090962991118
door	3	575.8714750451036
Fixation_ant	2	578.8853223430924
loss	3	580.9031126736663
door	3	589.9518780028448
Fixation_ant	2	592.9618461290374
win	3	594.9796389648691
door	3	605.0443847021088
Fixation_ant	2	608.0560714579187
win	3	610.0741460877471
door	3	620.1380463689566
Fixation_ant	2	623.1502392357215
win	3	625.1677940110676
door	3	636.23146213172
Fixation_ant	2	639.2438686536625
win	3	641.2627329910174
door	3	648.3264046600088
Fixation_ant	2	651.3367912899703
loss	3	653.3545573316514
door	3	662.4047104218043
Fixation_ant	2	665.4134796117432
loss	3	667.4300883878022
door	3	676.4783857250586
Fixation_ant	2	679.4905674448237
win	3	681.5084137590602
door	3	688.5727532259189
Fixation_ant	2	691.5818372038193
loss	3	693.5997072337195
door	3	702.6477606678382
Fixation_ant	2	705.6586717138998
loss	3	707.6753144217655
door	3	717.7226290577091
Fixation_ant	2	720.7346958988346
loss	3	722.752853281796
door	3	727.8017516266555
Fixation_ant	2	730.8098041666672
loss	3	732.8260288788006
door	3	741.876363244839
Fixation_ant	2	744.8866946087219
win	3	746.9044772461057
door	3	756.9665581448935
Fixation_ant	2	759.980564428959
win	3	761.997269873973
