condition	duration	onset
face	3	4.069064150098711
Fixation_ant	2	7.0842420239932835
loss	3	9.100973603315651
face	3	20.19918652717024
Fixation_ant	2	23.211856032256037
win	3	25.22890541423112
face	3	35.336016793269664
Fixation_ant	2	38.33937710337341
loss	3	40.355799581389874
face	3	49.451901632361114
Fixation_ant	2	52.46673823194578
loss	3	54.48224553326145
face	3	59.56952358223498
Fixation_ant	2	62.573829979170114
loss	3	64.59007774107158
face	3	74.6699797953479
Fixation_ant	2	77.68393304338679
win	3	79.70079742604867
face	3	88.81973297009245
Fixation_ant	2	91.827296030242
win	3	93.84430819330737
face	3	100.95213075913489
Fixation_ant	2	103.96867113607004
loss	3	105.98518493631855
face	3	115.07344729220495
Fixation_ant	2	118.07933124527335
win	3	120.09611042914912
face	3	129.21949682198465
Fixation_ant	2	132.22322220914066
win	3	134.24030821118504
face	3	141.3446577223949
Fixation_ant	2	144.3474877020344
loss	3	146.36463507823646
face	3	157.45875698933378
Fixation_ant	2	160.45945732714608
loss	3	162.47635741205886
face	3	172.56162376422435
Fixation_ant	2	175.57048061210662
win	3	177.5867348490283
face	3	187.69589328719303
Fixation_ant	2	190.6972996359691
win	3	192.714143270161
face	3	201.81570190098137
Fixation_ant	2	204.82437114510685
win	3	206.8412159201689
face	3	216.96474270429462
Fixation_ant	2	219.9686502260156
win	3	221.98498020833358
face	3	232.0798735693097
Fixation_ant	2	235.09565821429715
loss	3	237.11268350528553
face	3	246.21195220621303
Fixation_ant	2	249.2226173481904
loss	3	251.23942599026486
face	3	262.3296876102686
Fixation_ant	2	265.33402071427554
loss	3	267.3505008923821
face	3	278.45984447095543
Fixation_ant	2	281.4623201820068
win	3	283.4790633521043
face	3	292.5966486441903
Fixation_ant	2	295.60552536323667
loss	3	297.62257353495806
face	3	306.7166617834009
Fixation_ant	2	309.73283055238426
loss	3	311.74999958416447
face	3	322.84717352036387
Fixation_ant	2	325.8612424470484
win	3	327.87907390715554
face	3	337.98010568134487
Fixation_ant	2	340.98777910508215
win	3	343.0065982481465
face	3	354.11303364112973
Fixation_ant	2	357.11704993620515
loss	3	359.1330162403174
face	3	370.2192308851518
Fixation_ant	2	373.227084168233
loss	3	375.2449173340574
face	3	380.33295160206035
Fixation_ant	2	383.33429137337953
loss	3	385.3514474243857
face	3	390.4556509642862
Fixation_ant	2	393.45813970500603
loss	3	395.476917009335
face	3	404.5689002261497
Fixation_ant	2	407.5696828099899
loss	3	409.58757981006056
face	3	419.69254016224295
Fixation_ant	2	422.6970517192967
win	3	424.7149119572714
face	3	429.8376633711159
Fixation_ant	2	432.8540825112723
loss	3	434.87191516533494
face	3	439.95824676100165
Fixation_ant	2	442.9612049581483
win	3	444.97916108509526
face	3	452.09565741429105
Fixation_ant	2	455.1030600690283
win	3	457.120837922208
face	3	462.230443994049
Fixation_ant	2	465.24344196217135
win	3	467.2613262333907
face	3	472.35297500900924
Fixation_ant	2	475.3674130742438
win	3	477.38541334634647
face	3	488.50672980910167
Fixation_ant	2	491.5120789911598
win	3	493.5289783012122
face	3	498.6452810061164
Fixation_ant	2	501.6516573303379
win	3	503.6694938680157
face	3	512.7948939613998
Fixation_ant	2	515.7963284160942
loss	3	517.8140802420676
face	3	526.9112599990331
Fixation_ant	2	529.9204892390408
win	3	531.9388701082207
face	3	537.0570540893823
Fixation_ant	2	540.0633392510936
loss	3	542.0810778592713
face	3	547.1760231233202
Fixation_ant	2	550.1873547090217
win	3	552.2038323092274
face	3	557.3171563763171
Fixation_ant	2	560.3265571761876
win	3	562.3455309891142
face	3	567.4648815873079
Fixation_ant	2	570.4682548143901
loss	3	572.4859067499638
face	3	579.5855134073645
Fixation_ant	2	582.593638299033
win	3	584.6113492641598
face	3	589.7221969552338
Fixation_ant	2	592.7329788692296
loss	3	594.7517831791192
face	3	601.8464720323682
Fixation_ant	2	604.8592674802057
loss	3	606.8770365640521
face	3	611.9820363041945
Fixation_ant	2	614.9998380923644
loss	3	617.015902442392
face	3	622.1015332089737
Fixation_ant	2	625.1070243250579
loss	3	627.1248049461283
face	3	634.2065620273352
Fixation_ant	2	637.215858772397
win	3	639.2335921823978
face	3	646.342302062083
Fixation_ant	2	649.3564226869494
loss	3	651.3752794582397
face	3	656.4597186231986
Fixation_ant	2	659.464855753351
loss	3	661.4825819851831
face	3	668.5871768761426
Fixation_ant	2	671.5899596340023
win	3	673.6076285233721
face	3	678.7138879750855
Fixation_ant	2	681.7301034950651
win	3	683.7464979640208
face	3	690.8602318260819
Fixation_ant	2	693.8725084359758
win	3	695.8902139281854
face	3	703.0038823480718
Fixation_ant	2	706.0143906022422
win	3	708.0322099230252
face	3	713.1461093290709
Fixation_ant	2	716.1550563042983
loss	3	718.1728616780601
face	3	725.2835882231593
Fixation_ant	2	728.2972314511426
loss	3	730.3130096173845
face	3	739.3937059892341
Fixation_ant	2	742.4060066184029
loss	3	744.4238104452379
face	3	749.5266161360778
Fixation_ant	2	752.5312176113948
win	3	754.5490304660052
face	3	761.6575179970823
Fixation_ant	2	764.6712264092639
win	3	766.6894309520721
