TrialNumber,Trial,ISI,ITI,winlose,face_image_L,face_image_R,ran,order,decision_onset,resp,rt,resp_onset,resp_offset,trialDuration,pre_feedback_fix_onset,pre_feedback_fix_duration,arrow_onset,arrow_offset,ITIonset,ITIoffset,Date_Time
1,1,4,8,loss,F120.jpg,F118.jpg,1.0,0.0,4.070181,999.0,999.0,999.0,7.170665,3.1008458,7.1712146,2.0,9.187773,12.204802,12.205089,20.224306,2019-11-05 17:07:26.410466
2,2,4,7,win,F106.jpg,F114.jpg,1.0,1.0,20.285341,999.0,999.0,999.0,23.382664,3.0975904,23.383099,2.0,25.39961,28.434624,28.434973,35.45275,2019-11-05 17:07:41.638643
3,3,4,6,loss,M112.jpg,M38.jpg,1.0,2.0,35.511616,999.0,999.0,999.0,38.609715,3.098387,38.610184,2.0,40.626675,43.643925,43.64409,49.663322,2019-11-05 17:07:55.849043
4,4,3,2,loss,F96.jpg,F42.jpg,1.0,3.0,49.727535,3.0,2.5907702,52.318306,52.74536,3.018105,52.745808,2.0,54.753643,57.770866,57.77103,59.790253,2019-11-05 17:08:05.975797
5,5,5,7,loss,M12.jpg,M114.jpg,1.0,4.0,59.845665,999.0,999.0,999.0,62.94376,3.0983765,62.944214,2.0,64.960304,67.97863,67.9788,74.99744,2019-11-05 17:08:21.182765
6,6,5,6,win,M78.jpg,M60.jpg,1.0,5.0,75.046555,999.0,999.0,999.0,78.13817,3.0918834,78.1386,2.0,80.155,83.19041,83.19076,89.20774,2019-11-05 17:08:35.392864
7,7,5,4,win,F20.jpg,F12.jpg,1.0,6.0,89.279045,999.0,999.0,999.0,92.38081,3.1020885,92.3813,2.0,94.3977,97.43413,97.43448,101.451454,2019-11-05 17:08:47.636405
8,8,6,6,loss,F92.jpg,F56.jpg,1.0,7.0,101.51315,999.0,999.0,999.0,104.607,3.09412,104.607445,2.0,106.62291,109.639824,109.639984,115.659294,2019-11-05 17:09:01.844042
9,9,3,6,win,M26.jpg,M100.jpg,1.0,8.0,115.71159,999.0,999.0,999.0,118.816826,3.1055107,118.817276,2.0,120.83365,123.86876,123.86911,129.88702,2019-11-05 17:09:16.071715
10,10,4,4,win,M98.jpg,M04.jpg,1.0,9.0,129.9584,999.0,999.0,999.0,133.06001,3.1018834,133.06046,2.0,135.07689,138.11238,138.11273,142.13066,2019-11-05 17:09:28.315027
11,11,2,8,loss,M70.jpg,M116.jpg,1.0,10.0,142.18103,999.0,999.0,999.0,145.28511,3.1043477,145.28555,2.0,147.30206,150.3206,150.32076,158.33904,2019-11-05 17:09:44.523168
12,12,5,7,loss,F44.jpg,F54.jpg,1.0,11.0,158.40546,999.0,999.0,999.0,161.49673,3.0915585,161.49718,2.0,163.5136,166.53181,166.53198,173.55028,2019-11-05 17:09:59.734211
13,13,6,7,win,M20.jpg,M110.jpg,1.0,12.0,173.60332,999.0,999.0,999.0,176.70712,3.1040883,176.70764,2.0,178.72453,181.7598,181.76013,188.7776,2019-11-05 17:10:14.961329
14,14,6,6,win,F08.jpg,F112.jpg,1.0,13.0,188.83684,999.0,999.0,999.0,191.93498,3.098414,191.93542,2.0,193.9523,196.98778,196.98816,203.00594,2019-11-05 17:10:29.189442
15,15,3,7,win,M68.jpg,M08.jpg,1.0,14.0,203.0625,999.0,999.0,999.0,206.16225,3.1001081,206.16289,2.0,208.17908,211.21463,211.21498,218.23207,2019-11-05 17:10:44.415358
16,16,3,7,win,F38.jpg,F68.jpg,1.0,15.0,218.30887,999.0,999.0,999.0,221.40584,3.0972526,221.40628,2.0,223.42242,226.45865,226.45901,233.47673,2019-11-05 17:10:59.659809
17,17,6,6,loss,M94.jpg,M66.jpg,1.0,16.0,233.5245,999.0,999.0,999.0,236.61601,3.0917864,236.61646,2.0,238.63393,241.65169,241.65186,247.67032,2019-11-05 17:11:13.853189
18,18,3,8,loss,F06.jpg,F32.jpg,1.0,17.0,247.73602,999.0,999.0,999.0,250.84361,3.1078537,250.84404,2.0,252.8606,255.87888,255.87903,263.8972,2019-11-05 17:11:30.079845
19,19,4,8,loss,M10.jpg,M72.jpg,1.0,18.0,263.956,999.0,999.0,999.0,267.0546,3.0988758,267.05505,2.0,269.07147,272.08972,272.08987,280.1087,2019-11-05 17:11:46.291113
20,20,2,6,win,F60.jpg,F18.jpg,1.0,19.0,280.1864,999.0,999.0,999.0,283.28302,3.096917,283.2835,2.0,285.30032,288.3355,288.33588,294.35358,2019-11-05 17:12:00.535792
21,21,2,6,loss,F86.jpg,F48.jpg,1.0,20.0,294.425,999.0,999.0,999.0,297.5271,3.102397,297.52753,2.0,299.54413,302.56143,302.56158,308.58087,2019-11-05 17:12:14.762883
22,22,2,8,loss,M50.jpg,M84.jpg,1.0,21.0,308.646,3.0,2.6062946,311.2523,311.66275,3.017048,311.6632,2.0,313.67023,316.6884,316.68857,324.70688,2019-11-05 17:12:30.888643
23,23,6,7,win,F98.jpg,F24.jpg,1.0,22.0,324.76508,999.0,999.0,999.0,327.8653,3.1005,327.86572,2.0,329.8821,332.91733,332.9177,339.93506,2019-11-05 17:12:46.116619
24,24,3,8,win,M102.jpg,M34.jpg,1.0,23.0,339.98712,999.0,999.0,999.0,343.09268,3.1058142,343.0931,2.0,345.10916,348.14523,348.1456,356.1633,2019-11-05 17:13:02.344691
25,25,4,8,loss,M80.jpg,M64.jpg,1.0,24.0,356.22232,999.0,999.0,999.0,359.3209,3.0988588,359.32135,2.0,361.33804,364.35504,364.35522,372.37448,2019-11-05 17:13:18.555632
26,26,6,2,loss,M62.jpg,M56.jpg,1.0,25.0,372.42438,999.0,999.0,999.0,375.5156,3.0914729,375.51602,2.0,377.53244,380.55002,380.5502,382.5686,2019-11-05 17:13:28.749563
