TrialNumber,Trial,ISI,ITI,winlose,door_image_L,door_image_R,ran,order,decision_onset,resp,rt,resp_onset,resp_offset,trialDuration,pre_feedback_fix_onset,pre_feedback_fix_duration,arrow_onset,arrow_offset,ITIonset,ITIoffset,Date_Time
1,1,4,8,win,obj (126).bmp,obj (189).bmp,1.0,0.0,4.0224156,2.0,0.5309669,4.553383,7.040332,3.0182848,7.0408893,2.0,9.05678,12.091481,12.091744,20.110117,2019-11-05 16:37:14.330854
2,2,4,7,loss,obj (127).bmp,obj (190).bmp,1.0,1.0,20.117624,3.0,2.599182,22.716805,23.134869,3.0175266,23.135323,2.0,25.15073,28.169167,28.169336,35.187653,2019-11-05 16:37:29.408165
3,3,4,6,loss,obj (128).bmp,obj (191).bmp,1.0,2.0,35.194687,2.0,0.5309815,35.72567,38.212437,3.0180235,38.21288,2.0,40.228325,43.24574,43.245907,49.265217,2019-11-05 16:37:43.485582
4,4,3,2,loss,obj (130).bmp,obj (192).bmp,1.0,3.0,49.277706,999.0,999.0,999.0,52.37194,3.0945055,52.37238,2.0,54.38845,57.406593,57.40676,59.425533,2019-11-05 16:37:53.645791
5,5,5,7,loss,obj (131).bmp,obj (194).bmp,1.0,4.0,59.432323,2.0,1.0436462,60.47597,62.450367,3.0183203,62.450813,2.0,64.462036,67.48026,67.48044,74.49867,2019-11-05 16:38:08.718766
6,6,5,6,loss,obj (132).bmp,obj (195).bmp,1.0,5.0,74.505486,3.0,2.6005614,77.10605,77.52227,3.017059,77.52271,2.0,79.53924,82.55755,82.55772,88.57593,2019-11-05 16:38:22.795874
7,7,5,4,loss,obj (133).bmp,obj (196).bmp,1.0,6.0,88.58292,999.0,999.0,999.0,91.68289,3.1002538,91.683334,2.0,93.699875,96.71807,96.71825,100.73608,2019-11-05 16:38:34.955894
8,8,6,6,loss,obj (134).bmp,obj (197).bmp,1.0,7.0,100.74281,999.0,999.0,999.0,103.84133,3.0987926,103.841774,2.0,105.8578,108.87603,108.876205,114.89549,2019-11-05 16:38:49.115164
9,9,3,6,win,obj (135).bmp,obj (198).bmp,1.0,8.0,114.90221,999.0,999.0,999.0,118.00192,3.0999906,118.002365,2.0,120.01706,123.05437,123.05474,129.07243,2019-11-05 16:39:03.291949
10,10,4,4,win,obj (136).bmp,obj (199).bmp,1.0,9.0,129.0792,999.0,999.0,999.0,132.17809,3.099162,132.17853,2.0,134.19499,137.2311,137.23145,141.24806,2019-11-05 16:39:15.467446
11,11,2,8,win,obj (137).bmp,obj (200).bmp,1.0,10.0,141.25592,999.0,999.0,999.0,144.35326,3.097721,144.35394,2.0,146.37035,149.40663,149.40701,157.42393,2019-11-05 16:39:31.643149
12,12,5,7,win,obj (138).bmp,obj (201).bmp,1.0,11.0,157.43066,999.0,999.0,999.0,160.53102,3.1006298,160.53145,2.0,162.54813,165.5843,165.58466,172.6019,2019-11-05 16:39:46.820962
13,13,6,7,win,obj (139).bmp,obj (202).bmp,1.0,12.0,172.60881,999.0,999.0,999.0,175.7087,3.1001604,175.70915,2.0,177.72563,180.76193,180.76228,187.77928,2019-11-05 16:40:01.998181
14,14,6,6,loss,obj (140).bmp,obj (203).bmp,1.0,13.0,187.78609,999.0,999.0,999.0,190.88618,3.1003618,190.88663,2.0,192.90302,195.9213,195.92148,201.93994,2019-11-05 16:40:16.158728
