condition	duration	onset
door	3	4.022415832616389
Fixation_ant	2	7.040889408905059
win	3	9.0567800370045
door	3	20.11762336594984
Fixation_ant	2	23.135322229005396
loss	3	25.150731035042554
door	3	35.19468826195225
Fixation_ant	2	38.21287769684568
loss	3	40.22832645662129
door	3	49.277706081047654
Fixation_ant	2	52.37237851973623
loss	3	54.388449078891426
door	3	59.432324490044266
Fixation_ant	2	62.45081208366901
loss	3	64.46203754283488
door	3	74.50548646878451
Fixation_ant	2	77.52271073265001
loss	3	79.53923452505842
door	3	88.58291797107086
Fixation_ant	2	91.68333805073053
loss	3	93.6998772630468
door	3	100.74281520303339
Fixation_ant	2	103.8417769917287
loss	3	105.85780387977138
door	3	114.90220707003027
Fixation_ant	2	118.00236299168319
win	3	120.01705855270848
door	3	129.07919340766966
Fixation_ant	2	132.17852650489658
win	3	134.19499732879922
door	3	141.25591626763344
Fixation_ant	2	144.35393703589216
win	3	146.3703465918079
door	3	157.43066050997004
Fixation_ant	2	160.53145570168272
win	3	162.54813257977366
door	3	172.6088178367354
Fixation_ant	2	175.70914784586057
win	3	177.72562528774142
door	3	187.78609208902344
Fixation_ant	2	190.88662007683888
loss	3	192.90301098581403
door	3	201.94878457766026
Fixation_ant	2	205.04655655100942
win	3	207.06343150464818
door	3	217.1254397276789
Fixation_ant	2	220.2252594246529
loss	3	222.24090170301497
door	3	232.2846471699886
Fixation_ant	2	235.38571510789916
loss	3	237.40123460488394
door	3	246.44492624280974
Fixation_ant	2	249.54560890002176
win	3	251.56207117484882
door	3	262.62174822203815
Fixation_ant	2	265.7232038388029
loss	3	267.7397388606332
door	3	278.78367910394445
Fixation_ant	2	281.88444605702534
win	3	283.9009174257517
door	3	292.9631725647487
Fixation_ant	2	296.06122429901734
win	3	298.0776572590694
door	3	307.1388530898839
Fixation_ant	2	310.23831420205534
win	3	312.25490026781335
door	3	323.315554484725
Fixation_ant	2	326.4168889578432
loss	3	328.4329787506722
door	3	338.4767690207809
Fixation_ant	2	341.5769540956244
win	3	343.59344187378883
door	3	354.65407052170485
Fixation_ant	2	357.75542858988047
win	3	359.7719388906844
door	3	370.8313490236178
Fixation_ant	2	373.9334216970019
loss	3	375.9499356606975
door	3	380.9952684249729
Fixation_ant	2	384.09306510165334
loss	3	386.1095700869337
door	3	391.15138385398313
Fixation_ant	2	394.24991748295724
loss	3	396.26686135400087
door	3	405.30985719384626
Fixation_ant	2	408.4100259738043
win	3	410.4258782756515
door	3	420.48911136295646
Fixation_ant	2	423.5873672240414
loss	3	425.6033159736544
door	3	430.64744238602
Fixation_ant	2	433.7446696339175
win	3	435.7610756987706
door	3	440.82088819378987
Fixation_ant	2	443.9183487999253
win	3	445.93498494895175
door	3	452.9960668608546
Fixation_ant	2	456.0934158959426
loss	3	458.10993662988767
door	3	463.15365591691807
Fixation_ant	2	466.2511905138381
loss	3	468.26757427398115
door	3	473.31248933589086
Fixation_ant	2	476.4061596910469
loss	3	478.42457771487534
door	3	489.468315790873
Fixation_ant	2	492.5693073486909
loss	3	494.58673555776477
door	3	499.62959638098255
Fixation_ant	2	502.7265408979729
win	3	504.7430215906352
door	3	513.8032106277533
Fixation_ant	2	516.9043593639508
loss	3	518.9197751437314
door	3	527.9638928836212
Fixation_ant	2	531.0634715007618
loss	3	533.0799248339608
door	3	538.1235375218093
Fixation_ant	2	541.219947502017
win	3	543.2376949028112
door	3	548.296754218638
Fixation_ant	2	551.3951313127764
win	3	553.4116075667553
door	3	558.4720011809841
Fixation_ant	2	561.5690259286202
win	3	563.5847794539295
door	3	568.6450832979754
Fixation_ant	2	571.7421507528052
win	3	573.7587826959789
door	3	580.8214206076227
Fixation_ant	2	583.9176992378198
win	3	585.9336145138368
door	3	590.9949687658809
Fixation_ant	2	594.0917477910407
win	3	596.1084010968916
door	3	603.167375579942
Fixation_ant	2	606.2671137410216
loss	3	608.283603112679
door	3	613.3274054429494
Fixation_ant	2	616.4241406288929
loss	3	618.4405874158256
door	3	623.4844582979567
Fixation_ant	2	626.5810145968571
win	3	628.5972968726419
door	3	635.6585663040169
Fixation_ant	2	638.7574133360758
loss	3	640.773213733919
door	3	647.8164646127261
Fixation_ant	2	650.9155506179668
win	3	652.9319454967044
door	3	657.9937627287582
Fixation_ant	2	661.087992364075
win	3	663.1056051757187
door	3	670.1653934558854
Fixation_ant	2	673.2631551837549
win	3	675.2801038250327
door	3	680.3417958337814
Fixation_ant	2	683.4376971456222
loss	3	685.4552217358723
door	3	692.4983297749422
Fixation_ant	2	695.5980165819637
loss	3	697.613449560944
door	3	704.657218342647
Fixation_ant	2	707.7561939656734
win	3	709.7726660887711
door	3	714.832599571906
Fixation_ant	2	717.9292257418856
loss	3	719.946681404952
door	3	726.9886856609955
Fixation_ant	2	730.08876232896
loss	3	732.105193218682
door	3	741.1513532716781
Fixation_ant	2	744.2491229129955
win	3	746.2655263287015
door	3	751.3262685430236
Fixation_ant	2	754.4224129598588
loss	3	756.4388261837885
door	3	763.4828501269221
Fixation_ant	2	766.5808076290414
win	3	768.597251733765
