TrialNumber,Trial,ISI,ITI,winlose,face_image_L,face_image_R,ran,order,decision_onset,resp,rt,resp_onset,resp_offset,trialDuration,pre_feedback_fix_onset,pre_feedback_fix_duration,arrow_onset,arrow_offset,ITIonset,ITIoffset,Date_Time
1,1,2,6,win,M111.jpg,M25.jpg,1.0,0.0,4.071554,2.0,1.5702403,5.641794,7.088132,3.0169554,7.0886993,2.0,9.109269,12.144758,12.145223,18.163141,2019-11-05 16:52:35.926352
2,2,2,4,loss,M109.jpg,M39.jpg,1.0,1.0,18.2007,999.0,999.0,999.0,21.303448,3.1030176,21.303885,2.0,23.319944,26.337242,26.337406,30.356833,2019-11-05 16:52:48.119854
3,3,4,2,win,M95.jpg,M65.jpg,1.0,2.0,30.393145,3.0,1.0495787,31.442724,33.41053,3.01766,33.410973,2.0,35.42846,38.46439,38.464745,40.48175,2019-11-05 16:52:58.244666
4,4,4,6,win,F61.jpg,F13.jpg,1.0,3.0,40.539494,999.0,999.0,999.0,43.63579,3.0965812,43.636246,2.0,45.652573,48.687763,48.688114,54.705883,2019-11-05 16:53:12.468649
5,5,2,4,loss,F115.jpg,F39.jpg,1.0,4.0,54.76429,999.0,999.0,999.0,57.8616,3.0975862,57.862045,2.0,59.87856,62.89675,62.896923,66.91517,2019-11-05 16:53:24.677813
6,6,2,2,loss,M33.jpg,M113.jpg,1.0,5.0,66.95365,999.0,999.0,999.0,70.05383,3.1004517,70.05427,2.0,72.07068,75.088356,75.088524,77.107796,2019-11-05 16:53:34.870324
7,7,6,4,win,M101.jpg,M97.jpg,1.0,6.0,77.14623,999.0,999.0,999.0,80.24404,3.0980835,80.244484,2.0,82.26192,85.29686,85.29723,89.31489,2019-11-05 16:53:47.077293
8,8,2,4,loss,F07.jpg,F15.jpg,1.0,7.0,89.372284,999.0,999.0,999.0,92.47007,3.0980628,92.47051,2.0,94.48689,97.50507,97.50523,101.52347,2019-11-05 16:53:59.285735
9,9,8,2,win,F47.jpg,F63.jpg,1.0,8.0,101.5941,999.0,999.0,999.0,104.695274,3.1014493,104.69572,2.0,106.712105,109.74829,109.74865,111.76573,2019-11-05 16:54:09.527896
10,10,2,4,win,F45.jpg,F71.jpg,1.0,9.0,111.827965,999.0,999.0,999.0,114.91863,3.090947,114.919075,2.0,116.93556,119.97168,119.97204,123.98987,2019-11-05 16:54:21.751908
11,11,4,2,loss,F05.jpg,F11.jpg,1.0,10.0,124.047,999.0,999.0,999.0,127.14468,3.097954,127.14512,2.0,129.1616,132.17896,132.17912,134.19835,2019-11-05 16:54:31.960273
12,12,6,4,loss,M13.jpg,M27.jpg,1.0,11.0,134.25671,999.0,999.0,999.0,137.35286,3.0964513,137.35335,2.0,139.36919,142.3861,142.38626,146.40451,2019-11-05 16:54:44.166307
13,13,2,4,win,M29.jpg,M87.jpg,1.0,12.0,146.46031,999.0,999.0,999.0,149.56078,3.1008487,149.56163,2.0,151.57713,154.61334,154.6137,158.63087,2019-11-05 16:54:56.392588
14,14,2,2,win,M35.jpg,M03.jpg,1.0,13.0,158.67984,999.0,999.0,999.0,161.78574,3.106171,161.78618,2.0,163.80225,166.8392,166.83955,168.8564,2019-11-05 16:55:06.617968
15,15,8,2,win,F73.jpg,F55.jpg,1.0,14.0,168.91118,999.0,999.0,999.0,172.01048,3.099576,172.01093,2.0,174.02588,177.06148,177.06183,179.08003,2019-11-05 16:55:16.841481
16,16,2,4,win,M77.jpg,M59.jpg,1.0,15.0,179.12335,999.0,999.0,999.0,182.2175,3.0944252,182.21794,2.0,184.23352,187.26932,187.26968,191.2876,2019-11-05 16:55:29.048911
17,17,2,2,win,F41.jpg,F87.jpg,1.0,16.0,191.35231,999.0,999.0,999.0,194.45891,3.1068735,194.45935,2.0,196.47577,199.512,199.51236,201.5291,2019-11-05 16:55:39.290312
18,18,4,4,win,M117.jpg,M67.jpg,1.0,17.0,201.57141,999.0,999.0,999.0,204.66594,3.094805,204.66638,2.0,206.68297,209.71898,209.71933,213.73636,2019-11-05 16:55:51.497450
19,19,2,2,win,F57.jpg,F31.jpg,1.0,18.0,213.8028,999.0,999.0,999.0,216.90913,3.1066287,216.90958,2.0,218.92604,221.96112,221.96147,223.9792,2019-11-05 16:56:01.740176
20,20,2,2,loss,M71.jpg,M31.jpg,1.0,19.0,224.02136,999.0,999.0,999.0,227.11456,3.0934849,227.115,2.0,229.1326,232.15076,232.15092,234.16919,2019-11-05 16:56:11.930071
21,21,2,2,win,M21.jpg,M19.jpg,1.0,20.0,234.2201,999.0,999.0,999.0,237.32266,3.1028502,237.32312,2.0,239.33955,242.37566,242.376,244.39305,2019-11-05 16:56:22.153814
22,22,2,2,loss,M09.jpg,M83.jpg,1.0,21.0,244.44186,999.0,999.0,999.0,247.54677,3.1051786,247.5472,2.0,249.56361,252.58194,252.5821,254.60043,2019-11-05 16:56:32.361087
23,23,4,6,loss,M91.jpg,M17.jpg,1.0,22.0,254.6463,999.0,999.0,999.0,257.73676,3.0907402,257.7372,2.0,259.7537,262.77182,262.772,268.79144,2019-11-05 16:56:46.551946
24,24,4,6,loss,F59.jpg,F89.jpg,1.0,23.0,268.84457,999.0,999.0,999.0,271.94788,3.1035728,271.94833,2.0,273.9648,276.9821,276.98227,283.00156,2019-11-05 16:57:00.761895
