condition	duration	onset
face	3	4.071554074063897
Fixation_ant	2	7.088699218351394
win	3	9.109268955420703
face	3	18.20070142298937
Fixation_ant	2	21.303883634041995
loss	3	23.319944076240063
face	3	30.393144644331187
Fixation_ant	2	33.41097202524543
win	3	35.42845951439813
face	3	40.53949206834659
Fixation_ant	2	43.6362453722395
win	3	45.65257182624191
face	3	54.76429080404341
Fixation_ant	2	57.86204387899488
loss	3	59.87856073724106
face	3	66.95365333836526
Fixation_ant	2	70.05427134502679
loss	3	72.07067954912782
face	3	77.14623295515776
Fixation_ant	2	80.24448559619486
win	3	82.26191495824605
face	3	89.37228347733617
Fixation_ant	2	92.47051426908001
loss	3	94.4868934340775
face	3	101.59409954724833
Fixation_ant	2	104.69571470143273
win	3	106.7121070032008
face	3	111.82796157430857
Fixation_ant	2	114.91907566832379
win	3	116.93556408304721
face	3	124.046998728998
Fixation_ant	2	127.1451209122315
loss	3	129.16160409431905
face	3	134.25670853536576
Fixation_ant	2	137.3533410304226
loss	3	139.36918572615832
face	3	146.46031893230975
Fixation_ant	2	149.56163686839864
win	3	151.57713520806283
face	3	158.67984527535737
Fixation_ant	2	161.78618246410042
win	3	163.8022455680184
face	3	168.91118486132473
Fixation_ant	2	172.01092754118145
win	3	174.02587365731597
face	3	179.1233502891846
Fixation_ant	2	182.2179382322356
win	3	184.23352547409013
face	3	191.35231703706086
Fixation_ant	2	194.45935784839094
win	3	196.47577146533877
face	3	201.57140999520198
Fixation_ant	2	204.66638183640316
win	3	206.68297064024955
face	3	213.80278810625896
Fixation_ant	2	216.9095839210786
win	3	218.9260345203802
face	3	224.02135756937787
Fixation_ant	2	227.11500938003883
loss	3	229.1326007200405
face	3	234.22009434411302
Fixation_ant	2	237.3231163304299
win	3	239.33955559600145
face	3	244.4418564941734
Fixation_ant	2	247.54719940619543
loss	3	249.56361882109195
face	3	254.64629859710112
Fixation_ant	2	257.7372055631131
loss	3	259.7536941273138
face	3	268.84458308527246
Fixation_ant	2	271.94832440512255
loss	3	273.9648207272403
face	3	283.06518916832283
Fixation_ant	2	286.1585484640673
win	3	288.17508670315146
face	3	293.26742361625656
Fixation_ant	2	296.3652466572821
loss	3	298.3816927773878
face	3	309.466548695229
Fixation_ant	2	312.559465222992
win	3	314.57592468103394
face	3	319.68423927016556
Fixation_ant	2	322.7840172443539
loss	3	324.799630114343
face	3	329.9016719860956
Fixation_ant	2	333.00752301933244
win	3	335.02420707512647
face	3	342.1420872253366
Fixation_ant	2	345.25219571916386
loss	3	347.2688871594146
face	3	352.3414941392839
Fixation_ant	2	355.44245854206383
loss	3	357.4588955179788
face	3	362.5430522314273
Fixation_ant	2	365.6492472672835
loss	3	367.66677851602435
face	3	377.7479146453552
Fixation_ant	2	380.84352784138173
win	3	382.8599986801855
face	3	391.97210310632363
Fixation_ant	2	395.0703413602896
loss	3	397.0869354791939
face	3	402.18702023942024
Fixation_ant	2	405.29493597801775
loss	3	407.31147091137245
face	3	412.4001915003173
Fixation_ant	2	415.5025506741367
win	3	417.51808511139825
face	3	428.60808543721214
Fixation_ant	2	431.7133318851702
loss	3	433.7297500092536
face	3	444.827275543008
Fixation_ant	2	447.9239107663743
win	3	449.939878589008
face	3	460.056023275014
Fixation_ant	2	463.1502750404179
loss	3	465.1689765811898
face	3	476.2528387531638
Fixation_ant	2	479.34576390497386
loss	3	481.36325160833076
face	3	490.44720977311954
Fixation_ant	2	493.55713587719947
loss	3	495.57376091042534
face	3	504.6665040650405
Fixation_ant	2	507.76401261333376
loss	3	509.7826591883786
face	3	520.8803582121618
Fixation_ant	2	523.9792452342808
win	3	525.9949431112036
face	3	537.1085902443156
Fixation_ant	2	540.2066673464142
loss	3	542.2230988689698
face	3	551.3016667151824
Fixation_ant	2	554.4001463712193
win	3	556.4167632041499
face	3	566.5081316353753
Fixation_ant	2	569.6098677190021
loss	3	571.6272649941966
face	3	581.7046236763708
Fixation_ant	2	584.805345618166
loss	3	586.8217872572131
face	3	595.9141076873057
Fixation_ant	2	599.0153142372146
loss	3	601.031808342319
face	3	611.1358189112507
Fixation_ant	2	614.243061659392
loss	3	616.2576169040985
face	3	626.3445435320027
Fixation_ant	2	629.3627620982006
loss	3	631.3841088432819
face	3	642.4771434762515
Fixation_ant	2	645.5799962524325
win	3	647.596390821971
face	3	654.711614894215
Fixation_ant	2	657.8054168452509
win	3	659.8209004602395
face	3	668.9324831333943
Fixation_ant	2	672.0320006371476
loss	3	674.0486276913434
face	3	683.1431296993978
Fixation_ant	2	686.2418793090619
win	3	688.2588047022
face	3	695.3692255141214
Fixation_ant	2	698.4675709879957
win	3	700.4840069720522
face	3	709.6041005779989
Fixation_ant	2	712.710481591057
win	3	714.7274196660146
face	3	724.8377764862962
Fixation_ant	2	727.9379094643518
win	3	729.9547286871821
face	3	735.061771675013
Fixation_ant	2	738.1621349384077
win	3	740.1786243482493
face	3	749.2828601440415
Fixation_ant	2	752.3897435381077
win	3	754.4050487880595
face	3	764.4990397524089
Fixation_ant	2	767.6006088131107
loss	3	769.6159791820683
