TrialNumber,Trial,ISI,ITI,winlose,door_image_L,door_image_R,ran,order,decision_onset,resp,rt,resp_onset,resp_offset,trialDuration,pre_feedback_fix_onset,pre_feedback_fix_duration,arrow_onset,arrow_offset,ITIonset,ITIoffset,Date_Time
1,1,2,6,loss,obj (1).bmp,obj (61).bmp,1.0,0.0,4.0207844,999.0,999.0,999.0,7.119044,3.0986474,7.1196322,2.0,9.137458,12.155696,12.1559305,18.174274,2019-11-05 14:58:17.416715
2,2,2,4,win,obj (2).bmp,obj (62).bmp,1.0,1.0,18.181835,999.0,999.0,999.0,21.280167,3.0985992,21.2806,2.0,23.297276,26.33351,26.333857,30.350405,2019-11-05 14:58:29.592628
3,3,4,2,loss,obj (3).bmp,obj (63).bmp,1.0,2.0,30.357105,999.0,999.0,999.0,33.4558,3.098968,33.45624,2.0,35.472675,38.490868,38.49103,40.50886,2019-11-05 14:58:39.750952
4,4,4,6,loss,obj (4).bmp,obj (64).bmp,1.0,3.0,40.515854,999.0,999.0,999.0,43.61336,3.0977764,43.613792,2.0,45.630215,48.64743,48.6476,54.667156,2019-11-05 14:58:53.909068
5,5,2,4,loss,obj (5).bmp,obj (65).bmp,1.0,4.0,54.67395,999.0,999.0,999.0,57.773098,3.0994172,57.773533,2.0,59.790005,62.80823,62.8084,66.826706,2019-11-05 14:59:06.068460
6,6,2,2,win,obj (6).bmp,obj (66).bmp,1.0,5.0,66.83383,999.0,999.0,999.0,69.932434,3.09888,69.932884,2.0,71.94902,74.98421,74.98456,77.00213,2019-11-05 14:59:16.243754
7,7,6,4,win,obj (7).bmp,obj (67).bmp,1.0,6.0,77.00895,999.0,999.0,999.0,80.10655,3.0978825,80.107,2.0,82.12309,85.158554,85.158905,89.176605,2019-11-05 14:59:28.418071
8,8,2,4,loss,obj (8).bmp,obj (68).bmp,1.0,7.0,89.18337,999.0,999.0,999.0,92.280655,3.0975535,92.28109,2.0,94.297516,97.31573,97.315895,101.33474,2019-11-05 14:59:40.576049
9,9,8,2,win,obj (9).bmp,obj (69).bmp,1.0,8.0,101.34162,999.0,999.0,999.0,104.439354,3.0979986,104.4398,2.0,106.45717,109.49248,109.49285,111.51068,2019-11-05 14:59:50.751867
10,10,2,4,win,obj (10).bmp,obj (70).bmp,1.0,9.0,111.51751,999.0,999.0,999.0,114.614006,3.096764,114.61443,2.0,116.630974,119.66628,119.66663,123.68424,2019-11-05 15:00:02.925273
11,11,4,2,win,obj (11).bmp,obj (71).bmp,1.0,10.0,123.69307,999.0,999.0,999.0,126.78851,3.0957031,126.78894,2.0,128.80632,131.84143,131.84178,133.85953,2019-11-05 15:00:13.100424
12,12,6,4,loss,obj (12).bmp,obj (72).bmp,1.0,11.0,133.86726,999.0,999.0,999.0,136.96306,3.0960827,136.96352,2.0,138.97906,141.99728,141.99745,146.0168,2019-11-05 15:00:25.257537
13,13,2,4,win,obj (13).bmp,obj (73).bmp,1.0,12.0,146.02351,999.0,999.0,999.0,149.1212,3.0979507,149.12163,2.0,151.13809,154.17432,154.17467,158.19235,2019-11-05 15:00:37.432943
14,14,2,2,loss,obj (14).bmp,obj (74).bmp,1.0,13.0,158.19908,999.0,999.0,999.0,161.29568,3.0968757,161.29611,2.0,163.3137,166.33202,166.33218,168.35045,2019-11-05 15:00:47.590910
15,15,8,2,loss,obj (15).bmp,obj (75).bmp,1.0,14.0,168.35779,999.0,999.0,999.0,171.45386,3.0963366,171.45428,2.0,173.47034,176.4887,176.48886,178.50711,2019-11-05 15:00:57.747431
16,16,2,4,win,obj (16).bmp,obj (76).bmp,1.0,15.0,178.51402,999.0,999.0,999.0,181.61073,3.0969899,181.61118,2.0,183.62772,186.66298,186.66333,190.68138,2019-11-05 15:01:09.921557
17,17,2,2,loss,obj (17).bmp,obj (77).bmp,1.0,16.0,190.68823,999.0,999.0,999.0,193.7866,3.098637,193.78703,2.0,195.80376,198.8209,198.82108,200.84036,2019-11-05 15:01:20.080407
18,18,4,4,win,obj (18).bmp,obj (78).bmp,1.0,17.0,200.84744,999.0,999.0,999.0,203.94379,3.0966063,203.94421,2.0,205.96065,208.99678,208.99713,213.01411,2019-11-05 15:01:32.253998
19,19,2,2,win,obj (19).bmp,obj (79).bmp,1.0,18.0,213.02086,999.0,999.0,999.0,216.11852,3.0979183,216.11894,2.0,218.13545,221.17174,221.17209,223.18927,2019-11-05 15:01:42.429027
20,20,2,2,win,obj (20).bmp,obj (80).bmp,1.0,19.0,223.19623,999.0,999.0,999.0,226.29298,3.0970442,226.29343,2.0,228.31004,231.34515,231.3455,233.36314,2019-11-05 15:01:52.602775
21,21,2,2,win,obj (21).bmp,obj (81).bmp,1.0,20.0,233.37,999.0,999.0,999.0,236.4666,3.0968733,236.46704,2.0,238.4836,241.51884,241.5192,243.53726,2019-11-05 15:02:02.776747
22,22,2,2,loss,obj (22).bmp,obj (82).bmp,1.0,21.0,243.54398,999.0,999.0,999.0,246.64047,3.0967722,246.64093,2.0,248.65733,251.67554,251.6757,253.69398,2019-11-05 15:02:12.933355
23,23,4,6,loss,obj (23).bmp,obj (83).bmp,1.0,22.0,253.70087,999.0,999.0,999.0,256.79797,3.0973682,256.7984,2.0,258.81485,261.833,261.8332,267.85147,2019-11-05 15:02:27.090645
24,24,4,6,win,obj (24).bmp,obj (84).bmp,1.0,23.0,267.85837,999.0,999.0,999.0,270.95746,3.0993419,270.9579,2.0,272.97467,276.01,276.01038,282.02832,2019-11-05 15:02:41.267487
25,25,2,2,loss,obj (25).bmp,obj (85).bmp,1.0,24.0,282.03867,999.0,999.0,999.0,285.13535,3.0969489,285.1358,2.0,287.15225,290.16995,290.1701,292.1883,2019-11-05 15:02:51.427161
26,26,4,8,loss,obj (26).bmp,obj (86).bmp,1.0,25.0,292.19556,999.0,999.0,999.0,295.29205,3.0967605,295.2925,2.0,297.309,300.3263,300.32645,308.34796,2019-11-05 15:03:07.586623
27,27,6,2,loss,obj (27).bmp,obj (87).bmp,1.0,26.0,308.35483,999.0,999.0,999.0,311.4551,3.1005433,311.45554,2.0,313.47217,316.4904,316.49054,318.50842,2019-11-05 15:03:17.746953
28,28,6,2,loss,obj (28).bmp,obj (88).bmp,1.0,27.0,318.5155,999.0,999.0,999.0,321.61255,3.0973377,321.613,2.0,323.62943,326.64612,326.6463,328.66565,2019-11-05 15:03:27.904068
29,29,2,4,win,obj (29).bmp,obj (89).bmp,1.0,28.0,328.67264,999.0,999.0,999.0,331.76913,3.0967722,331.7696,2.0,333.78604,336.82138,336.82178,340.839,2019-11-05 15:03:40.077247
30,30,4,2,win,obj (30).bmp,obj (90).bmp,1.0,29.0,340.84607,999.0,999.0,999.0,343.94254,3.0967383,343.943,2.0,345.9616,348.9968,348.99716,351.01437,2019-11-05 15:03:50.252490
31,31,6,2,loss,obj (31).bmp,obj (91).bmp,1.0,30.0,351.02127,999.0,999.0,999.0,354.11816,3.0971565,354.1186,2.0,356.13605,359.15378,359.15396,361.17233,2019-11-05 15:04:00.410312
32,32,2,7,win,obj (32).bmp,obj (92).bmp,1.0,31.0,361.17923,999.0,999.0,999.0,364.27582,3.0968478,364.27625,2.0,366.2939,369.3265,369.3268,376.34567,2019-11-05 15:04:15.583478
33,33,4,6,loss,obj (33).bmp,obj (93).bmp,1.0,32.0,376.35373,999.0,999.0,999.0,379.4542,3.1007152,379.45462,2.0,381.47034,384.48865,384.4888,390.5071,2019-11-05 15:04:29.744721
34,34,2,2,loss,obj (34).bmp,obj (94).bmp,1.0,33.0,390.5141,999.0,999.0,999.0,393.61334,3.0997808,393.6141,2.0,395.6306,398.64798,398.64813,400.66745,2019-11-05 15:04:39.904950
35,35,6,2,loss,obj (35).bmp,obj (95).bmp,1.0,34.0,400.67456,999.0,999.0,999.0,403.77063,3.0963519,403.7711,2.0,405.7876,408.80377,408.80396,410.82422,2019-11-05 15:04:50.061555
36,36,4,8,win,obj (36).bmp,obj (96).bmp,1.0,35.0,410.83127,999.0,999.0,999.0,413.92847,3.0974915,413.92892,2.0,415.9455,418.97986,418.98022,426.9989,2019-11-05 15:05:06.337513
37,37,3,8,win,obj (37).bmp,obj (97).bmp,1.0,36.0,427.00583,999.0,999.0,999.0,430.10663,3.1010625,430.10706,2.0,432.12354,435.15768,435.15805,443.1768,2019-11-05 15:05:22.515152
38,38,6,7,loss,obj (38).bmp,obj (98).bmp,1.0,37.0,443.1837,999.0,999.0,999.0,446.28372,3.1003265,446.28418,2.0,448.3007,451.31897,451.31912,458.33768,2019-11-05 15:05:37.675834
39,39,2,8,win,obj (39).bmp,obj (99).bmp,1.0,38.0,458.3471,999.0,999.0,999.0,461.44363,3.0967932,461.4441,2.0,463.46152,466.4966,466.49698,474.51575,2019-11-05 15:05:53.853647
40,40,2,6,win,obj (40).bmp,obj (100).bmp,1.0,39.0,474.52267,999.0,999.0,999.0,477.62323,3.1008213,477.6237,2.0,479.6401,482.67432,482.67465,488.69174,2019-11-05 15:06:08.029428
41,41,2,6,win,obj (41).bmp,obj (101).bmp,1.0,40.0,488.69882,999.0,999.0,999.0,491.79987,3.1013024,491.8003,2.0,493.8168,496.85095,496.85132,502.86935,2019-11-05 15:06:22.206825
42,42,4,8,loss,obj (42).bmp,obj (102).bmp,1.0,41.0,502.8764,999.0,999.0,999.0,505.97687,3.100738,505.97733,2.0,507.9938,511.012,511.01215,519.03046,2019-11-05 15:06:38.367653
43,43,3,8,win,obj (43).bmp,obj (103).bmp,1.0,42.0,519.03754,999.0,999.0,999.0,522.1381,3.1008434,522.13855,2.0,524.1549,527.19006,527.1904,535.20764,2019-11-05 15:06:54.544613
44,44,6,6,loss,obj (44).bmp,obj (104).bmp,1.0,43.0,535.2151,999.0,999.0,999.0,538.3165,3.101686,538.31696,2.0,540.3338,543.3493,543.3495,549.36774,2019-11-05 15:07:08.704523
45,45,3,7,loss,obj (45).bmp,obj (105).bmp,1.0,44.0,549.3749,999.0,999.0,999.0,552.47424,3.099665,552.47473,2.0,554.49146,557.50977,557.5099,564.5283,2019-11-05 15:07:23.864962
46,46,3,7,win,obj (46).bmp,obj (106).bmp,1.0,45.0,564.5363,999.0,999.0,999.0,567.63464,3.0986066,567.6351,2.0,569.65247,572.6876,572.688,579.70575,2019-11-05 15:07:39.042029
47,47,6,6,loss,obj (47).bmp,obj (107).bmp,1.0,46.0,579.7128,999.0,999.0,999.0,582.8117,3.09913,582.81213,2.0,584.8299,587.84717,587.84735,593.866,2019-11-05 15:07:53.202120
48,48,6,7,win,obj (48).bmp,obj (108).bmp,1.0,47.0,593.8731,999.0,999.0,999.0,596.9724,3.0996044,596.9729,2.0,598.98926,602.02466,602.02496,609.04297,2019-11-05 15:08:08.378827
49,49,5,7,win,obj (49).bmp,obj (109).bmp,1.0,48.0,609.0501,999.0,999.0,999.0,612.1498,3.0999532,612.1502,2.0,614.1667,617.20197,617.20233,624.2204,2019-11-05 15:08:23.556006
50,50,2,8,win,obj (50).bmp,obj (110).bmp,1.0,49.0,624.2275,999.0,999.0,999.0,627.3271,3.1000028,627.3278,2.0,629.3443,632.3797,632.38007,640.3979,2019-11-05 15:08:39.733274
51,51,4,4,win,obj (51).bmp,obj (111).bmp,1.0,50.0,640.40515,999.0,999.0,999.0,643.5055,3.1006405,643.5059,2.0,645.52234,648.5585,648.55884,652.57587,2019-11-05 15:08:51.911038
52,52,3,6,loss,obj (52).bmp,obj (112).bmp,1.0,51.0,652.58307,999.0,999.0,999.0,655.6814,3.0985916,655.6818,2.0,657.69824,660.7155,660.7157,666.7343,2019-11-05 15:09:06.069247
53,53,6,6,loss,obj (53).bmp,obj (113).bmp,1.0,52.0,666.7442,999.0,999.0,999.0,669.84174,3.0978541,669.8422,2.0,671.85803,674.8754,674.87555,680.89496,2019-11-05 15:09:20.229667
54,54,5,4,win,obj (54).bmp,obj (114).bmp,1.0,53.0,680.90216,999.0,999.0,999.0,684.001,3.0990908,684.00146,2.0,686.0181,689.0534,689.0538,693.07153,2019-11-05 15:09:32.406062
55,55,5,6,loss,obj (55).bmp,obj (115).bmp,1.0,54.0,693.07855,999.0,999.0,999.0,696.1768,3.0985446,696.17725,2.0,698.19275,701.211,701.2112,707.22943,2019-11-05 15:09:46.563743
56,56,5,7,loss,obj (56).bmp,obj (116).bmp,1.0,55.0,707.2365,999.0,999.0,999.0,710.3371,3.1008477,710.3375,2.0,712.3532,715.3715,715.3717,722.3899,2019-11-05 15:10:01.724023
57,57,3,2,loss,obj (57).bmp,obj (117).bmp,1.0,56.0,722.3973,999.0,999.0,999.0,725.4975,3.1004782,725.4979,2.0,727.51495,730.5319,730.53204,732.551,2019-11-05 15:10:11.884982
58,58,4,6,loss,obj (58).bmp,obj (118).bmp,1.0,57.0,732.55835,999.0,999.0,999.0,735.65424,3.0962331,735.6547,2.0,737.6713,740.68964,740.6898,746.709,2019-11-05 15:10:26.042707
59,59,4,7,win,obj (59).bmp,obj (119).bmp,1.0,58.0,746.7163,999.0,999.0,999.0,749.81415,3.098082,749.8146,2.0,751.8319,754.8677,754.86804,761.88495,2019-11-05 15:10:41.218459
60,60,4,8,win,obj (60).bmp,obj (120).bmp,1.0,59.0,761.89215,999.0,999.0,999.0,764.99176,3.0998733,764.9922,2.0,767.00885,770.04486,770.0452,778.06244,2019-11-05 15:10:57.395657
