nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,25,4,5,11,5
2,3,25,2,2,11,5
3,1,21,6,2,7,4
4,1,25,6,3.5,5,8
5,3,17,4,5,5,3
6,1,23,2,3.5,10,7
7,1,25,2,2,8,2
8,2,19,4,3.5,9,1
9,1,15,8,2,3,1
10,2,17,4,2,1,5
11,3,19,2,5,4,6
12,2,21,2,2,1,7
13,2,19,2,5,4,9
14,2,25,2,2,5,8
15,2,21,2,2,9,1
16,1,19,2,2,1,9
17,3,21,2,2,9,7
18,2,23,2,2,4,1
19,1,25,4,2,8,11
20,2,17,6,3.5,5,3
21,3,23,8,3.5,7,1
22,3,15,2,3.5,7,1
23,1,21,4,2,4,9
24,3,19,4,5,4,1
25,2,15,4,2,1,3
26,1,21,2,3.5,9,7
27,1,15,6,3.5,5,1
28,3,25,4,2,2,8
29,3,23,2,2,1,7
30,2,19,2,3.5,1,4
31,3,19,8,2,4,9
32,3,19,2,3.5,4,6
33,2,23,4,2,7,10
34,2,15,2,2,1,7
35,1,19,2,5,9,4
36,3,17,6,2,8,1
