nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,23,4,5,4,7
2,2,25,8,2,11,8
3,1,21,6,2,9,4
4,2,17,8,2,1,8
5,3,15,4,2,3,5
6,2,21,4,2,9,1
7,3,19,2,5,9,6
8,3,19,4,3.5,9,4
9,1,17,2,2,3,1
10,1,21,2,2,7,9
11,2,21,2,3.5,4,7
12,1,15,2,3.5,5,7
13,1,25,2,2,8,5
14,2,21,6,5,4,9
15,1,17,6,2,3,1
16,3,17,2,2,1,8
17,2,15,2,3.5,5,3
18,1,23,2,2,10,7
19,1,19,4,2,1,9
20,1,25,2,2,11,5
21,3,25,6,3.5,11,2
22,2,25,4,5,8,2
23,3,23,4,3.5,4,1
24,1,23,4,5,7,1
25,1,25,6,3.5,5,11
26,2,25,2,2,2,5
27,3,15,2,3.5,5,7
28,3,15,4,2,3,5
29,3,23,2,2,7,10
30,2,25,8,3.5,11,2
31,3,17,2,5,5,3
32,3,25,2,2,5,11
33,3,23,2,2,4,1
34,1,23,2,2,1,7
35,2,25,2,3.5,2,5
36,2,15,4,2,1,5
