nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,17,8,2,8,3
2,3,23,8,3.5,10,4
3,2,25,4,3.5,5,2
4,2,17,2,2,1,8
5,1,25,4,5,8,5
6,1,17,4,2,3,1
7,2,25,6,5,8,11
8,3,25,4,2,5,2
9,2,21,2,5,4,7
10,1,19,2,2,1,4
11,1,17,2,2,5,1
12,3,17,2,3.5,1,8
13,2,15,6,2,5,3
14,1,19,2,3.5,6,9
15,2,25,2,2,11,2
16,1,19,2,3.5,9,4
17,2,21,2,3.5,1,7
18,2,21,6,2,4,9
19,1,19,2,5,4,9
20,3,23,2,3.5,7,4
21,2,25,2,5,2,5
22,3,15,6,2,3,1
23,3,25,2,3.5,8,11
24,2,17,4,2,1,8
25,1,19,4,2,9,6
26,3,25,4,2,5,8
27,3,25,2,2,2,5
28,1,23,2,2,10,7
29,1,25,6,2,8,2
30,1,15,8,2,7,1
31,1,25,4,3.5,2,8
32,3,25,2,2,8,2
33,3,19,4,5,6,4
34,3,19,2,2,6,9
35,3,17,2,3.5,8,1
36,2,25,4,2,5,8
