nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,21,6,2,9,7
2,3,17,2,2,8,5
3,3,21,2,2,9,4
4,3,19,2,3.5,4,6
5,1,17,2,3.5,8,3
6,2,21,4,2,4,7
7,3,21,4,2,7,1
8,1,23,2,2,7,1
9,2,19,6,2,1,4
10,3,15,2,3.5,1,3
11,2,15,8,3.5,7,5
12,2,19,2,2,6,9
13,2,25,2,3.5,11,2
14,1,23,2,2,4,10
15,2,23,6,2,4,1
16,1,15,2,2,3,1
17,1,21,4,5,1,7
18,1,23,8,3.5,4,10
19,1,15,4,3.5,3,5
20,2,23,6,2,7,10
21,3,15,2,3.5,7,5
22,3,15,6,2,5,7
23,2,15,4,2,5,3
24,3,15,2,5,7,1
25,3,23,4,3.5,4,10
26,3,21,4,2,4,1
27,3,15,2,5,3,1
28,1,15,4,2,7,1
29,1,23,2,5,10,4
30,3,23,2,2,1,7
31,2,21,2,2,1,9
32,1,23,2,3.5,7,4
33,1,21,4,2,1,9
34,2,19,2,5,1,6
35,2,21,4,2,1,4
36,2,19,8,5,6,1
