nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,19,4,0.5,6,9
2,3,21,2,0.5,7,9
3,1,19,2,2,1,6
4,3,21,2,2,1,7
5,2,21,2,0.5,4,7
6,2,15,4,0.5,7,1
7,3,25,2,2,5,8
8,3,21,2,3.5,9,1
9,3,15,4,2,7,5
10,2,25,2,2,11,8
11,2,19,2,0.5,6,9
12,2,23,4,2,10,4
13,1,19,2,0.5,1,4
14,3,25,4,0.5,8,11
15,1,23,4,3.5,1,10
16,3,21,2,3.5,9,4
17,2,17,6,0.5,8,3
18,3,23,8,3.5,1,4
19,2,19,2,0.5,1,4
20,1,25,2,2,5,2
21,1,15,2,2,1,5
22,1,15,6,0.5,7,5
23,1,17,8,3.5,1,8
24,1,19,2,0.5,9,1
25,1,19,6,0.5,6,4
26,1,15,6,0.5,5,3
27,2,19,4,0.5,4,1
28,1,21,4,0.5,7,1
29,3,23,2,0.5,1,10
30,2,17,2,0.5,5,1
31,3,15,8,3.5,7,3
32,1,23,6,0.5,4,7
33,3,23,2,2,1,4
34,2,25,4,0.5,5,11
35,3,17,4,2,3,1
36,2,19,2,0.5,4,9
