nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,15,2,2,7,1
2,1,19,4,2,4,9
3,2,21,4,3.5,4,7
4,2,17,2,2,8,5
5,1,15,6,5,1,5
6,2,17,2,2,1,3
7,3,19,4,3.5,9,1
8,1,21,4,5,1,4
9,1,17,2,3.5,5,8
10,3,25,2,2,5,11
11,3,23,2,3.5,4,7
12,1,21,6,2,1,7
13,3,23,4,5,10,7
14,3,15,2,5,1,5
15,1,17,2,2,3,8
16,3,17,8,2,1,3
17,3,17,4,2,1,3
18,2,21,2,5,9,7
19,2,19,8,3.5,4,1
20,2,23,6,2,10,4
21,1,21,4,2,9,4
22,3,21,6,2,7,9
23,3,21,4,2,1,7
24,1,15,2,3.5,5,3
25,1,21,6,2,4,1
26,2,25,2,3.5,8,5
27,3,17,2,3.5,3,8
28,2,23,2,5,7,1
29,1,25,2,2,2,11
30,2,25,2,2,8,11
31,3,23,2,3.5,10,7
32,2,17,8,2,5,1
33,1,15,2,2,3,5
34,3,15,4,2,3,1
35,1,23,2,2,10,1
36,2,25,4,3.5,2,11
