nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,23,4,5,4,7
2,1,17,2,2,3,8
3,2,23,2,2,10,4
4,2,25,4,3.5,11,5
5,2,25,2,2,5,2
6,3,15,8,2,3,5
7,1,23,4,2,4,7
8,1,25,2,2,5,2
9,2,23,2,3.5,10,1
10,1,19,4,5,6,1
11,3,15,6,3.5,3,7
12,3,23,2,2,10,4
13,3,17,6,2,8,3
14,3,15,8,2,3,1
15,2,19,2,5,4,9
16,1,19,2,2,1,4
17,3,15,2,2,3,5
18,3,19,6,5,4,1
19,1,15,2,2,7,5
20,1,21,2,3.5,7,9
21,2,19,4,2,9,1
22,3,17,8,3.5,8,1
23,2,25,4,5,8,5
24,3,21,2,2,7,1
25,2,25,2,3.5,2,8
26,1,15,4,3.5,7,5
27,2,21,6,2,1,4
28,2,19,4,2,6,4
29,3,17,2,2,3,8
30,3,19,6,3.5,1,4
31,3,25,4,3.5,11,8
32,1,25,2,2,8,2
33,2,21,2,2,7,9
34,1,19,2,5,1,9
35,1,15,2,2,1,5
36,2,17,4,3.5,1,8
