nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,15,8,0.5,6.75,2.85
2,3,23,8,0.5,3.45,0
3,1,21,4,2,9.45,3.99
4,2,17,2,0.5,3.23,1.02
5,2,17,2,0.5,5.95,0
6,3,23,2,0.5,10.35,7.36
