nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,21,2,2,9,1
2,3,21,4,3.5,9,1
3,1,17,2,2,1,3
4,3,17,2,5,1,3
5,1,25,6,2,5,2
6,2,19,2,5,4,9
7,1,15,2,2,7,5
8,1,15,8,3.5,1,7
9,1,19,2,3.5,9,6
10,2,19,6,3.5,9,1
11,2,25,2,5,5,2
12,3,21,4,2,4,1
13,3,25,4,2,5,11
14,1,15,4,2,7,3
15,2,19,2,3.5,4,6
16,2,25,2,2,8,2
17,2,23,2,2,7,1
18,2,17,8,2,5,8
19,3,17,6,2,8,5
20,3,15,6,2,1,7
21,1,15,8,5,5,3
22,2,17,4,3.5,8,3
23,1,25,2,2,5,8
24,3,19,2,3.5,9,6
25,1,19,2,2,1,6
26,2,19,2,2,1,9
27,3,21,4,3.5,9,1
28,3,23,4,5,4,1
29,3,21,4,3.5,9,4
30,1,15,4,2,5,7
31,1,25,4,2,5,11
32,2,25,2,3.5,2,8
33,2,25,2,5,8,5
34,3,25,6,2,5,8
35,1,19,2,2,1,4
36,3,21,2,2,7,1
