nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,25,2,2,11,8
2,3,17,6,2,8,5
3,3,19,2,3.5,1,6
4,1,19,6,3.5,1,6
5,2,23,2,2,4,10
6,2,23,8,2,10,4
7,1,19,4,5,9,4
8,1,19,2,3.5,4,9
9,1,19,2,2,6,4
10,3,17,4,5,3,8
11,1,17,2,2,8,1
12,2,17,2,2,5,8
13,3,15,4,2,7,3
14,2,21,2,5,1,9
15,3,23,2,2,10,4
16,3,17,6,3.5,3,8
17,2,23,6,2,10,1
18,1,21,4,2,4,7
19,1,21,4,3.5,9,7
20,2,19,2,2,1,6
21,3,17,4,3.5,5,3
22,1,17,6,2,3,5
23,1,17,2,2,3,1
24,1,25,4,2,2,5
25,2,19,2,2,1,4
26,3,23,8,3.5,10,1
27,2,19,4,3.5,6,4
28,3,25,8,3.5,8,11
29,2,15,4,5,5,1
30,2,23,2,3.5,7,1
31,1,17,2,5,1,8
32,3,17,2,2,1,8
33,2,17,2,5,3,1
34,1,17,2,2,5,8
35,3,25,2,2,11,2
36,3,17,4,2,3,5
