nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,2,25,2,2,5,11
2,3,25,4,3.5,5,11
3,3,19,4,2,6,1
4,1,19,4,2,6,1
5,3,17,2,5,8,3
6,2,23,2,2,10,4
7,1,23,4,5,4,10
8,2,19,4,2,9,6
9,2,21,4,2,1,4
10,1,15,4,3.5,5,1
11,3,17,2,2,3,8
12,2,19,2,3.5,4,1
13,2,21,6,2,7,9
14,2,15,2,3.5,3,5
15,3,25,2,2,11,8
16,1,25,2,2,11,5
17,3,17,2,2,1,3
18,1,25,6,2,5,2
19,3,21,6,3.5,7,1
20,1,15,8,2,3,5
21,2,17,2,2,1,5
22,1,19,4,2,9,6
23,3,23,4,3.5,4,1
24,3,25,2,2,8,11
25,3,15,4,5,3,5
26,3,21,2,2,9,4
27,1,25,2,2,2,11
28,1,21,2,3.5,1,4
29,1,19,6,5,1,9
30,1,19,8,5,6,9
31,2,15,6,3.5,5,3
32,1,25,2,5,8,5
33,2,19,2,3.5,1,6
34,2,23,8,2,10,1
35,3,17,2,3.5,3,1
36,2,19,2,2,9,1
