nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,3,25,8,2,11,5
2,3,25,2,3.5,5,2
3,1,25,4,2,11,5
4,1,17,4,2,3,1
5,3,15,4,2,7,3
6,3,15,2,5,5,1
7,3,21,4,3.5,9,7
8,2,25,2,2,11,5
9,2,23,2,2,7,1
10,3,25,2,3.5,2,5
11,3,25,4,5,2,11
12,2,19,2,2,9,6
13,1,17,2,3.5,1,3
14,1,21,4,2,1,9
15,1,23,4,3.5,4,1
16,2,23,2,2,10,1
17,2,19,6,2,6,1
18,1,17,2,2,5,3
19,2,23,8,2,10,7
20,3,25,2,3.5,5,2
21,1,19,2,3.5,1,4
22,2,19,2,2,1,6
23,2,23,8,2,4,7
24,1,17,6,2,5,8
25,3,19,4,3.5,9,1
26,1,21,4,3.5,4,9
27,1,21,2,2,7,4
28,2,15,2,3.5,5,7
29,1,15,6,5,1,7
30,2,17,2,5,1,5
31,1,15,2,2,3,5
32,2,23,6,2,10,1
33,3,25,2,5,8,2
34,2,23,6,2,4,10
35,3,15,2,2,5,3
36,3,23,4,5,10,7
