nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,15,2,3.5,7,5
2,2,21,8,2,1,4
3,1,15,4,5,5,3
4,1,15,4,3.5,5,7
5,3,21,4,2,9,7
6,3,17,2,5,1,3
7,2,21,8,2,1,4
8,2,15,4,2,3,5
9,2,23,2,2,4,1
10,3,25,2,2,8,5
11,1,15,8,3.5,3,1
12,2,19,4,5,6,1
13,2,23,2,3.5,7,10
14,3,17,2,2,5,8
15,3,21,4,2,1,4
16,3,17,6,5,3,5
17,3,21,2,2,4,1
18,1,15,2,2,1,5
19,1,17,4,3.5,3,8
20,3,21,2,5,4,1
21,3,17,6,2,5,1
22,1,21,6,5,4,7
23,1,15,2,2,7,5
24,2,17,2,2,8,1
25,3,19,2,2,6,9
26,3,25,2,3.5,2,8
27,1,17,2,3.5,8,3
28,2,15,4,2,1,7
29,2,17,2,3.5,5,3
30,1,15,2,3.5,1,5
31,1,17,6,2,5,1
32,2,17,4,2,3,8
33,3,17,2,2,3,8
34,2,19,2,2,9,4
35,2,17,4,3.5,8,1
36,1,15,6,2,1,7
