nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,21,2,2,7,9
2,2,25,4,5,5,8
3,1,23,4,2,10,7
4,2,21,6,2,7,9
5,2,19,4,2,6,4
6,1,25,4,2,8,5
7,2,21,2,2,1,4
8,3,19,2,3.5,6,9
9,2,19,2,5,9,6
10,3,15,8,2,3,5
11,3,25,2,3.5,11,8
12,3,25,8,3.5,8,11
13,1,25,2,2,2,8
14,3,17,2,2,5,3
15,3,15,2,3.5,5,3
16,1,25,6,3.5,2,8
17,3,21,6,2,1,4
18,2,15,4,5,7,1
19,2,21,4,2,4,9
20,2,21,8,2,4,1
21,3,15,6,2,7,5
22,1,25,2,5,2,11
23,2,15,4,2,7,3
24,1,21,2,3.5,4,9
25,3,15,4,2,1,5
26,2,17,2,3.5,8,3
27,2,23,2,2,10,1
28,1,15,2,2,5,1
29,3,21,2,3.5,1,7
30,2,23,2,2,4,7
31,1,21,4,5,4,1
32,1,25,6,3.5,2,11
33,3,21,2,3.5,9,1
34,1,19,2,2,6,1
35,3,17,4,2,3,8
36,1,21,2,5,1,4
