nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,3,23,4,3.5,4,7
2,3,23,2,2,4,10
3,3,17,2,2,1,8
4,1,23,2,2,4,7
5,2,23,6,2,4,10
6,3,19,4,3.5,6,9
7,1,17,2,2,1,8
8,2,17,4,5,5,8
9,2,15,6,2,5,3
10,1,23,2,3.5,1,7
11,1,25,2,5,5,8
12,2,17,2,2,8,5
13,2,19,2,2,1,6
14,3,17,4,5,5,3
15,3,25,2,2,2,8
16,1,19,4,2,6,1
17,2,23,6,3.5,7,1
18,1,19,8,2,4,1
19,2,25,4,3.5,5,2
20,3,25,2,3.5,5,8
21,1,25,4,2,5,11
22,1,19,2,2,1,9
23,2,25,4,5,2,5
24,1,17,2,3.5,8,3
25,3,15,6,5,7,5
26,2,17,8,3.5,1,3
27,3,15,2,2,1,5
28,1,25,8,2,11,8
29,2,19,2,3.5,9,1
30,1,25,6,2,8,11
31,2,23,2,3.5,7,4
32,2,17,2,2,8,3
33,3,21,4,2,7,1
34,3,19,4,5,6,1
35,1,17,2,2,8,1
36,3,23,2,2,4,1
