nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,15,2,2,7,5
2,1,23,8,5,7,4
3,3,15,2,2,7,5
4,2,19,2,3.5,4,1
5,3,25,6,2,8,5
6,1,17,2,2,5,8
7,3,21,2,2,4,1
8,2,15,4,2,1,5
9,1,21,4,2,7,1
10,2,17,2,2,1,8
11,1,23,4,3.5,4,1
12,1,17,2,2,8,1
13,3,19,2,2,6,9
14,3,21,4,3.5,1,7
15,3,19,6,2,6,1
16,2,25,4,3.5,2,5
17,2,19,2,2,6,9
18,3,23,4,5,1,10
19,2,25,4,3.5,2,11
20,2,21,6,2,4,7
21,1,17,2,3.5,8,3
22,2,25,2,5,11,2
23,3,23,6,2,4,1
24,2,25,2,3.5,2,5
25,1,17,4,5,8,5
26,3,15,4,5,7,1
27,3,17,2,3.5,1,3
28,1,21,8,5,9,4
29,1,15,2,2,1,5
30,3,15,2,2,5,7
31,2,23,2,3.5,7,1
32,2,17,8,2,3,8
33,1,23,6,2,4,10
34,3,23,4,3.5,1,10
35,1,23,2,2,4,7
36,2,25,2,2,8,5
