nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option
1,1,17,6,3.5,5,1
2,3,21,2,3.5,7,1
3,1,21,4,2,9,7
4,1,23,2,2,1,7
5,2,15,2,3.5,5,7
6,1,15,2,5,7,3
7,2,17,2,3.5,3,8
8,2,21,2,2,4,1
9,1,15,4,2,3,7
10,3,19,6,2,9,6
11,2,19,2,5,9,4
12,3,19,4,5,1,6
13,2,25,8,2,2,5
14,1,17,2,2,1,8
15,2,17,4,5,1,8
16,2,17,4,2,5,3
17,2,25,4,2,11,2
18,2,21,2,2,4,7
19,3,15,6,5,5,7
20,3,19,8,2,9,4
21,3,21,2,2,4,9
22,2,15,2,2,3,1
23,2,15,2,3.5,5,7
24,1,19,2,3.5,1,4
25,3,17,4,2,3,1
26,1,25,4,3.5,8,5
27,1,17,6,2,8,1
28,2,15,6,2,3,5
29,1,19,2,3.5,9,6
30,3,23,4,2,4,10
31,3,19,4,2,9,4
32,3,15,2,5,1,3
33,1,21,2,3.5,7,1
34,1,17,2,2,1,5
35,3,15,8,3.5,1,7
36,3,21,2,2,1,9
