Risk_per,Money,Color,Amb,RiskisLeft,response,RT,dist
20,13,blue,100,0,No_resp,4,wide
30,13,blue,100,0,['f'],1.4461755999363959,wide
40,13,blue,100,0,['j'],2.736090600024909,wide
50,13,blue,100,1,['j'],2.587740599992685,wide
60,13,blue,100,0,['j'],2.0000528000527993,wide
70,13,blue,100,1,['f'],1.7875919999787584,wide
80,13,blue,100,0,['j'],1.4378032999811694,wide
90,13,blue,100,0,['j'],0.6648437000112608,wide
20,13,blue,50,0,['f'],3.25209399999585,wide
30,13,blue,50,0,['f'],3.1842375999549404,wide
40,13,blue,50,1,['j'],2.990512299933471,wide
50,13,blue,50,1,['j'],2.1563474000431597,wide
60,13,blue,50,1,['f'],0.6431701000547037,wide
70,13,blue,50,0,['j'],1.1802408999064937,wide
80,13,blue,50,0,['j'],0.7335522000212222,wide
90,13,blue,50,1,['j'],0.36619600001722574,wide
20,13,red,100,0,['f'],3.2177911000326276,narrow
30,13,red,100,1,['j'],1.8910654000937939,narrow
40,13,red,100,0,['j'],1.5154348999494687,narrow
50,13,red,100,0,['j'],3.051849599927664,narrow
60,13,red,100,1,['j'],1.2264011000515893,narrow
70,13,red,100,0,['j'],0.9818726999219507,narrow
80,13,red,100,0,['j'],0.9509920000564307,narrow
90,13,red,100,1,['f'],1.3333534999983385,narrow
20,13,red,50,1,['j'],2.3549853999866173,narrow
30,13,red,50,0,['f'],1.8122654999606311,narrow
40,13,red,50,0,['f'],1.6427123999455944,narrow
50,13,red,50,0,['f'],0.941363999969326,narrow
60,13,red,50,1,['f'],0.8872911999933422,narrow
70,13,red,50,0,['j'],0.6842654999345541,narrow
80,13,red,50,0,['j'],0.8772790000075474,narrow
90,13,red,50,0,['j'],0.8089104999089614,narrow
20,13,green,100,1,['j'],1.7844728999771178,skew
30,13,green,100,0,['f'],0.8373117001028731,skew
40,13,green,100,0,['f'],0.5510991000337526,skew
50,13,green,100,1,['j'],0.7570224000373855,skew
60,13,green,100,1,['j'],0.8033564999932423,skew
70,13,green,100,0,['f'],0.7556282000150532,skew
80,13,green,100,0,['f'],1.006479199975729,skew
90,13,green,100,1,['f'],1.242586600012146,skew
20,13,green,50,0,['f'],2.4088890999555588,skew
30,13,green,50,0,['f'],1.4014403999317437,skew
40,13,green,50,1,['j'],2.415917900041677,skew
50,13,green,50,1,['j'],1.4111478999257088,skew
60,13,green,50,1,['j'],0.6163775000022724,skew
70,13,green,50,1,['j'],1.0111634000204504,skew
80,13,green,50,0,['j'],0.722791799926199,skew
90,13,green,50,1,['f'],1.030201599933207,skew
20,13,yellow,100,0,['f'],1.9274555000010878,True_unkown
30,13,yellow,100,0,['f'],1.162423299974762,True_unkown
40,13,yellow,100,1,['j'],1.2778590000234544,True_unkown
50,13,yellow,100,0,['f'],1.2402000000001863,True_unkown
60,13,yellow,100,0,['f'],1.1490176999941468,True_unkown
70,13,yellow,100,1,['j'],0.8086667999159545,True_unkown
80,13,yellow,100,0,['j'],0.9582202000310645,True_unkown
90,13,yellow,100,1,['f'],0.7423164000501856,True_unkown
20,13,yellow,50,0,['f'],2.4544369000941515,True_unkown
30,13,yellow,50,0,['f'],0.974553000065498,True_unkown
40,13,yellow,50,0,['f'],0.47978819999843836,True_unkown
50,13,yellow,50,0,['j'],1.5919616000028327,True_unkown
60,13,yellow,50,0,['j'],0.35825660009868443,True_unkown
70,13,yellow,50,1,['f'],0.7166853999951854,True_unkown
80,13,yellow,50,0,['j'],0.698366199969314,True_unkown
90,13,yellow,50,0,['j'],0.8803170999744907,True_unkown
