Trial,ISI,ITI,winlose,door_image_L,door_image_R
1,2,6,loss,obj (1).bmp,obj (61).bmp
2,2,4,win,obj (2).bmp,obj (62).bmp
3,4,2,loss,obj (3).bmp,obj (63).bmp
4,4,6,loss,obj (4).bmp,obj (64).bmp
5,2,4,loss,obj (5).bmp,obj (65).bmp
6,2,2,win,obj (6).bmp,obj (66).bmp
7,6,4,win,obj (7).bmp,obj (67).bmp
8,2,4,loss,obj (8).bmp,obj (68).bmp
9,8,2,win,obj (9).bmp,obj (69).bmp
10,2,4,win,obj (10).bmp,obj (70).bmp
11,4,2,win,obj (11).bmp,obj (71).bmp
12,6,4,loss,obj (12).bmp,obj (72).bmp
13,2,4,win,obj (13).bmp,obj (73).bmp
14,2,2,loss,obj (14).bmp,obj (74).bmp
15,8,2,loss,obj (15).bmp,obj (75).bmp
16,2,4,win,obj (16).bmp,obj (76).bmp
17,2,2,loss,obj (17).bmp,obj (77).bmp
18,4,4,win,obj (18).bmp,obj (78).bmp
19,2,2,win,obj (19).bmp,obj (79).bmp
20,2,2,win,obj (20).bmp,obj (80).bmp
21,2,2,win,obj (21).bmp,obj (81).bmp
22,2,2,loss,obj (22).bmp,obj (82).bmp
23,4,6,loss,obj (23).bmp,obj (83).bmp
24,4,6,win,obj (24).bmp,obj (84).bmp
25,2,2,loss,obj (25).bmp,obj (85).bmp
26,4,8,loss,obj (26).bmp,obj (86).bmp
27,6,2,loss,obj (27).bmp,obj (87).bmp
28,6,2,loss,obj (28).bmp,obj (88).bmp
29,2,4,win,obj (29).bmp,obj (89).bmp
30,4,2,win,obj (30).bmp,obj (90).bmp
31,6,2,loss,obj (31).bmp,obj (91).bmp
32,2,7,win,obj (32).bmp,obj (92).bmp
33,4,6,loss,obj (33).bmp,obj (93).bmp
34,2,2,loss,obj (34).bmp,obj (94).bmp
35,6,2,loss,obj (35).bmp,obj (95).bmp
36,4,8,win,obj (36).bmp,obj (96).bmp
37,3,8,win,obj (37).bmp,obj (97).bmp
38,6,7,loss,obj (38).bmp,obj (98).bmp
39,2,8,win,obj (39).bmp,obj (99).bmp
40,2,6,win,obj (40).bmp,obj (100).bmp
41,2,6,win,obj (41).bmp,obj (101).bmp
42,4,8,loss,obj (42).bmp,obj (102).bmp
43,3,8,win,obj (43).bmp,obj (103).bmp
44,6,6,loss,obj (44).bmp,obj (104).bmp
45,3,7,loss,obj (45).bmp,obj (105).bmp
46,3,7,win,obj (46).bmp,obj (106).bmp
47,6,6,loss,obj (47).bmp,obj (107).bmp
48,6,7,win,obj (48).bmp,obj (108).bmp
49,5,7,win,obj (49).bmp,obj (109).bmp
50,2,8,win,obj (50).bmp,obj (110).bmp
51,4,4,win,obj (51).bmp,obj (111).bmp
52,3,6,loss,obj (52).bmp,obj (112).bmp
53,6,6,loss,obj (53).bmp,obj (113).bmp
54,5,4,win,obj (54).bmp,obj (114).bmp
55,5,6,loss,obj (55).bmp,obj (115).bmp
56,5,7,loss,obj (56).bmp,obj (116).bmp
57,3,2,loss,obj (57).bmp,obj (117).bmp
58,4,6,loss,obj (58).bmp,obj (118).bmp
59,4,7,win,obj (59).bmp,obj (119).bmp
60,4,8,win,obj (60).bmp,obj (120).bmp
