Trial,ISI,ITI,winlose,door_image_L,door_image_R
1,2,6,win,obj (126).bmp,obj (189).bmp
2,2,4,loss,obj (127).bmp,obj (190).bmp
3,4,2,loss,obj (128).bmp,obj (191).bmp
4,4,6,loss,obj (130).bmp,obj (192).bmp
5,2,4,loss,obj (131).bmp,obj (194).bmp
6,2,2,loss,obj (132).bmp,obj (195).bmp
7,6,4,loss,obj (133).bmp,obj (196).bmp
8,2,4,loss,obj (134).bmp,obj (197).bmp
9,8,2,win,obj (135).bmp,obj (198).bmp
10,2,4,win,obj (136).bmp,obj (199).bmp
11,4,2,win,obj (137).bmp,obj (200).bmp
12,6,4,win,obj (138).bmp,obj (201).bmp
13,2,4,win,obj (139).bmp,obj (202).bmp
14,2,2,loss,obj (140).bmp,obj (203).bmp
15,8,2,win,obj (142).bmp,obj (204).bmp
16,2,4,loss,obj (143).bmp,obj (205).bmp
17,2,2,loss,obj (144).bmp,obj (206).bmp
18,4,4,win,obj (145).bmp,obj (207).bmp
19,2,2,loss,obj (146).bmp,obj (208).bmp
20,2,2,win,obj (147).bmp,obj (209).bmp
21,2,2,win,obj (148).bmp,obj (210).bmp
22,2,2,win,obj (149).bmp,obj (211).bmp
23,4,6,loss,obj (151).bmp,obj (212).bmp
24,4,6,win,obj (152).bmp,obj (213).bmp
25,2,2,win,obj (153).bmp,obj (214).bmp
26,4,8,loss,obj (154).bmp,obj (215).bmp
27,6,2,loss,obj (155).bmp,obj (216).bmp
28,6,2,loss,obj (156).bmp,obj (217).bmp
29,2,4,win,obj (157).bmp,obj (218).bmp
30,4,2,loss,obj (158).bmp,obj (219).bmp
31,6,2,win,obj (159).bmp,obj (220).bmp
32,2,7,win,obj (160).bmp,obj (221).bmp
33,4,6,loss,obj (161).bmp,obj (222).bmp
34,2,2,loss,obj (162).bmp,obj (223).bmp
35,6,2,loss,obj (163).bmp,obj (224).bmp
36,4,8,loss,obj (164).bmp,obj (225).bmp
37,3,8,win,obj (165).bmp,obj (226).bmp
38,6,7,loss,obj (166).bmp,obj (227).bmp
39,2,8,loss,obj (167).bmp,obj (228).bmp
40,2,6,win,obj (168).bmp,obj (229).bmp
41,2,6,win,obj (169).bmp,obj (230).bmp
42,4,8,win,obj (170).bmp,obj (231).bmp
43,3,8,win,obj (171).bmp,obj (232).bmp
44,6,6,win,obj (172).bmp,obj (233).bmp
45,3,7,win,obj (173).bmp,obj (234).bmp
46,3,7,loss,obj (174).bmp,obj (235).bmp
47,6,6,loss,obj (175).bmp,obj (236).bmp
48,6,7,win,obj (176).bmp,obj (237).bmp
49,5,7,loss,obj (177).bmp,obj (238).bmp
50,2,8,win,obj (178).bmp,obj (239).bmp
51,4,4,win,obj (179).bmp,obj (240).bmp
52,3,6,win,obj (180).bmp,obj (241).bmp
53,6,6,loss,obj (181).bmp,obj (242).bmp
54,5,4,loss,obj (182).bmp,obj (243).bmp
55,5,6,win,obj (183).bmp,obj (244).bmp
56,5,7,loss,obj (184).bmp,obj (245).bmp
57,3,2,loss,obj (185).bmp,obj (246).bmp
58,4,6,win,obj (186).bmp,obj (247).bmp
59,4,7,loss,obj (187).bmp,obj (248).bmp
60,4,8,win,obj (188).bmp,obj (249).bmp
