LotisLeft,Lot_per,Lot_mon,Lot_color,Sure_mon,dist,response,RT
0,90,13,blue,5,Skew,['j'],1.578898699954152
1,90,13,blue,5,Skew,['f'],1.8679656999884173
1,80,13,blue,5,Skew,['f'],1.5417891999240965
0,90,13,blue,5,Skew,['j'],1.2272669000085443
1,80,13,blue,5,Skew,['f'],1.3931119000772014
0,100,13,blue,5,Skew,['j'],1.5185110999736935
1,80,13,blue,5,Skew,['f'],1.162808099994436
1,60,13,blue,5,Skew,['j'],1.9616762000368908
1,80,13,blue,5,Skew,['f'],1.199098499957472
0,100,13,blue,5,Skew,['j'],1.0572330999420956
1,80,13,blue,5,Skew,['f'],0.9412432999815792
0,90,13,blue,5,Skew,['j'],0.9824563000584021
0,80,13,blue,5,Skew,['j'],0.9765308999922127
1,70,13,blue,5,Skew,['f'],0.842448899988085
0,60,13,blue,5,Skew,['j'],1.3101651000324637
0,80,13,blue,5,Skew,['j'],0.9923878000117838
0,70,13,blue,5,Skew,['j'],1.03411479992792
1,70,13,blue,5,Skew,['f'],0.8592419000342488
0,70,13,blue,5,Skew,['j'],0.9665150000946596
1,80,13,blue,5,Skew,['f'],0.8995911000529304
1,40,13,green,5,Narrow,['f'],2.0479785000206903
0,50,13,green,5,Narrow,['j'],1.4228897999273613
0,60,13,green,5,Narrow,['j'],1.1341421999968588
1,60,13,green,5,Narrow,['f'],0.8733148999745026
0,70,13,green,5,Narrow,['j'],0.9314297999953851
1,40,13,green,5,Narrow,['j'],1.6794747998937964
1,50,13,green,5,Narrow,['f'],1.2635332000209019
1,50,13,green,5,Narrow,['f'],1.3021049000089988
1,60,13,green,5,Narrow,['f'],1.4818975999951363
0,50,13,green,5,Narrow,['j'],1.1916871999856085
1,50,13,green,5,Narrow,['f'],1.083276899997145
0,40,13,green,5,Narrow,['f'],1.3173048999160528
1,40,13,green,5,Narrow,['j'],1.6216622000792995
0,50,13,green,5,Narrow,['j'],1.111358500085771
1,30,13,green,5,Narrow,['j'],1.377330300048925
0,50,13,green,5,Narrow,['j'],0.8373233999591321
0,50,13,green,5,Narrow,['j'],0.9407450000289828
0,70,13,green,5,Narrow,['j'],1.517847300041467
0,30,13,green,5,Narrow,['f'],1.2354848000686616
1,60,13,green,5,Narrow,['f'],1.9434397000586614
1,20,13,red,5,wide,['j'],1.2767005000496283
1,90,13,red,5,wide,['f'],1.7845553000224754
1,10,13,red,5,wide,['j'],2.004201199975796
1,90,13,red,5,wide,['f'],1.78885520005133
1,100,13,red,5,wide,['f'],1.3087955000810325
1,0,13,red,5,wide,['j'],1.103896199958399
1,10,13,red,5,wide,['j'],0.9647147000068799
0,0,13,red,5,wide,['f'],1.1570713000837713
0,10,13,red,5,wide,['f'],1.0359243000857532
0,90,13,red,5,wide,['j'],1.0216277999570593
0,100,13,red,5,wide,['j'],0.7634657999733463
0,80,13,red,5,wide,['j'],0.89878609997686
0,100,13,red,5,wide,['j'],0.598899699980393
0,20,13,red,5,wide,['f'],1.1749931999947876
1,0,13,red,5,wide,['j'],0.9045496000908315
1,100,13,red,5,wide,['f'],1.0937951999949291
0,80,13,red,5,wide,['j'],0.7784849000163376
0,0,13,red,5,wide,['f'],0.8691070000641048
0,90,13,red,5,wide,['j'],0.6593608999392018
1,10,13,red,5,wide,['j'],0.9188111999537796
