onset	duration	trial_type	rt	resp	gender
0.611400440218858	3.00696422555484	decision	1.7999308105790988	right	B
4.16118061589077	1.00024210265838	loss	n/a	n/a	n/a
11.0948318020673	3.00664544699248	decision	1.0455651135416701	left	B
14.644709482789	1.0000561485067	win	n/a	n/a	n/a
21.5614134812495	3.00564171699807	decision	1.5496524829650298	left	B
25.1113488199189	1.01687624747865	loss	n/a	n/a	n/a
32.0614865346579	3.00602117215749	decision	1.549589391448535	right	B
35.6113817241276	1.00022308458574	loss	n/a	n/a	n/a
38.3283763664076	3.00528399681207	decision	2.3162138763582334	left	B
41.8779989640461	1.01647626480553	loss	n/a	n/a	n/a
44.6115178691689	3.00561635952909	decision	1.0455306998919696	left	B
48.1610577532556	1.00015244621318	win	n/a	n/a	n/a
50.8781399390427	3.00554934365209	decision	1.2995833539171144	left	B
54.4279180014273	1.00007395911962	win	n/a	n/a	n/a
59.2447111733491	3.0057247322984	decision	1.800767604378052	right	B
62.7946709637763	1.00002686679363	loss	n/a	n/a	n/a
67.6116023937939	3.00676166824996	decision	1.044866275973618	left	B
71.1612008414231	1.0168098352151	win	n/a	n/a	n/a
73.9111920871073	3.0063206308987	decision	1.046279648435302	left	B
77.4613619815791	1.00003622483928	win	n/a	n/a	n/a
82.2781192304101	3.00568639440462	decision	1.299609013251029	left	B
85.8284171194537	1.01626555703115	loss	n/a	n/a	n/a
92.7780555351637	3.00524535682052	decision	1.3002882289001718	right	B
96.3280802284135	1.01656863815151	loss	n/a	n/a	n/a
103.261793600512	3.00553153315559	decision	1.0453924417961389	left	B
106.811728033586	1.01626887766179	win	n/a	n/a	n/a
113.745099382824	3.00539448251948	decision	1.2992902346886694	right	B
117.294702056795	1.01666070963256	win	n/a	n/a	n/a
122.128216614947	3.00627746293321	decision	1.2996147488011047	left	B
125.678073768271	1.00024361209944	win	n/a	n/a	n/a
128.411336986464	3.00581770937424	decision	1.5497487806715071	left	B
131.961429299437	1.01655746891629	win	n/a	n/a	n/a
134.694788513356	3.00670551985968	decision	2.066638008807786	right	B
138.244725965196	1.01668335020076	loss	n/a	n/a	n/a
140.978338451125	3.00496250123251	decision	2.8171484771883115	left	B
144.528085118742	1.0166688603349	loss	n/a	n/a	n/a
153.561433103052	3.00578239012975	decision	1.2996316537028179	right	B
157.111314708134	1.01668516150676	loss	n/a	n/a	n/a
161.961582047516	3.00644288968761	decision	1.2995341485366225	left	B
165.511418371578	1.01655777078122	win	n/a	n/a	n/a
168.26147814258	3.00575733464211	decision	1.549646143685095	left	B
171.811339823995	1.01683187216986	loss	n/a	n/a	n/a
178.761434370885	3.00535463518463	decision	1.800402940949425	left	B
182.311392048141	1.01662629609928	loss	n/a	n/a	n/a
185.044913066435	3.00657994044013	decision	1.0455723585328087	right	B
188.594855650095	1.01644577563275	win	n/a	n/a	n/a
191.328321727342	3.00617029774003	decision	1.7997771567897871	left	B
194.87795700354	1.00005071482155	win	n/a	n/a	n/a
201.811550230021	3.00596774055157	decision	1.2999347349395975	right	B
205.361498549231	1.01656048756558	loss	n/a	n/a	n/a
212.294865974109	3.00662008963991	decision	1.3006091207498685	left	B
215.844707128243	1.01654720515944	loss	n/a	n/a	n/a
220.678209309583	3.0052598468028	decision	1.0452200719155371	right	B
224.227984957048	1.00002535735257	loss	n/a	n/a	n/a
226.945120876306	3.00514875724912	decision	1.2992404254619032	left	B
230.49485305394	1.01654026214965	loss	n/a	n/a	n/a
237.428181235329	3.00537455885205	decision	1.2993995129363611	right	B
240.978053784231	1.01661452301778	loss	n/a	n/a	n/a
243.71175260609	3.00675261206925	decision	1.7997454601572827	left	B
247.261421088479	1.01650162227452	win	n/a	n/a	n/a
250.011711490923	3.00569182797335	decision	1.7993521187454462	right	B
253.56155204121	1.0165378471138	loss	n/a	n/a	n/a
256.328510700259	3.0059906829847	decision	2.0659841503947973	right	B
259.87807805487	1.01670568890404	win	n/a	n/a	n/a
264.711712155025	3.00550738326274	decision	2.316431829123758	right	B
268.261385769234	1.01651611214038	win	n/a	n/a	n/a
270.994820451597	3.00578148453496	decision	1.5506797591224313	left	B
274.544661303749	1.0000600728672	win	n/a	n/a	n/a
279.361642542994	3.00586993352044	decision	1.2996862928848714	right	B
282.9113508726	1.0167663655011	win	n/a	n/a	n/a
289.861589111271	3.0056024735095	decision	1.299530224292539	left	B
293.411353891366	1.01668938773219	win	n/a	n/a	n/a
300.361634090543	3.00554270239081	decision	1.2995235829148442	right	B
303.911292309174	1.01667640707456	win	n/a	n/a	n/a
306.661495168228	3.00604049209505	decision	1.300000543356873	left	B
310.211339341011	1.00013705063611	loss	n/a	n/a	n/a
312.928208403988	3.06771901831962	decision-missed	n/a	n/a	B
316.544712622301	1.01659580692649	win	n/a	n/a	n/a
321.378215407371	3.00529244926292	decision	1.0502924552420154	right	B
324.928170065978	1.0166601059027	loss	n/a	n/a	n/a
331.878308082581	3.00539931247476	decision	1.0493753630435094	left	B
335.428073466406	1.0166166361887	win	n/a	n/a	n/a
342.378517583013	3.00589649833273	decision	1.299826965900138	right	B
345.928210818907	1.01660244807135	win	n/a	n/a	n/a
359.178309229785	3.00567582866643	decision	1.299459283822216	right	B
362.728013635031	1.00009478838183	loss	n/a	n/a	n/a
367.5449133683	3.00660680711735	decision	1.2995933158090338	left	B
371.094875573763	1.00029372307472	win	n/a	n/a	n/a
375.911536524887	3.00682355242316	decision	2.0669806353980675	right	B
379.461351717822	1.01658675062936	loss	n/a	n/a	n/a
384.294884992181	3.00559341721237	decision	1.0455515292705968	left	B
387.844793765922	1.01652577216737	loss	n/a	n/a	n/a
394.794988836744	3.00652288622223	decision	1.049506678013131	right	B
398.344763578614	1.00003682856914	loss	n/a	n/a	n/a
401.061619660934	3.00673419784289	decision	1.2999087737407535	left	B
404.611325273756	1.01664289913606	loss	n/a	n/a	n/a
411.545034117764	3.00530542980414	decision	1.298459176439792	right	B
415.09472765564	1.01659248629585	win	n/a	n/a	n/a
417.828508587088	3.00519192533102	decision	1.300029221456498	left	B
421.378150202683	1.01678538357373	loss	n/a	n/a	n/a
426.211536162649	3.00698113045655	decision	1.54995526233688	right	B
429.761675567948	1.01636094914284	loss	n/a	n/a	n/a
432.495089421049	3.0052498850273	decision	2.316217196872458	left	B
436.044804090052	1.0164581524441	win	n/a	n/a	n/a
438.778207679396	3.00566345197149	decision	1.5496023721061647	right	B
442.328299992369	1.01642041828018	win	n/a	n/a	n/a
445.061606680392	3.00561002024915	decision	1.29947890562471	right	B
448.611267012078	1.00002988555934	win	n/a	n/a	n/a
453.428151953616	3.0063797980547	decision	1.3004222608869895	right	B
456.978064349853	1.0166797277052	win	n/a	n/a	n/a
461.811552946805	3.00613105425145	decision	2.0670020685065538	left	B
465.361329499981	1.0001162213739	loss	n/a	n/a	n/a
472.295032608439	3.00545515911654	decision	1.299391966080293	right	B
475.844749390497	1.00003743241541	loss	n/a	n/a	n/a
480.66152052558	3.00684498553164	decision	1.5499945059418678	left	B
484.211610423634	1.01636185473762	loss	n/a	n/a	n/a
486.94524796505	3.00527735555079	decision	1.2991806545760483	right	B
490.494741360657	1.0000443754252	win	n/a	n/a	n/a
493.211506277206	3.00605498207733	decision	1.3000150333391502	right	B
496.76151768805	1.00004286598414	win	n/a	n/a	n/a
