TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset,cue_Onset
1,1,2,25,4,0.5,2,11,1.0,0.0,6.0261216,6.0433707,6.043752,6.56079,6.5610566,3.0,0.83549017,7.3965464,7.9103055,1.3497838,7.9111166,11.927647,--
2,2,1,25,2,0.5,8,5,1.0,1.0,13.924927,13.941645,13.941779,14.459415,14.459583,2.0,1.5884988,16.048082,16.561848,2.1027415,16.562624,18.580587,--
3,3,1,15,2,0.5,5,1,1.0,2.0,20.578602,20.595304,20.595598,21.113327,21.113493,3.0,0.71758616,21.83108,22.345516,1.2324318,22.346174,24.36046,--
4,4,2,15,4,3.5,5,3,1.0,3.0,26.346014,26.363014,26.363317,29.880735,29.8809,3.0,1.0194597,30.90036,31.414614,1.5341309,31.41528,35.43116,--
5,5,1,19,2,3.5,9,1,1.0,4.0,37.431454,37.448174,37.448467,40.966156,40.96632,3.0,1.4181163,42.384438,42.899975,1.93411,42.9007,44.916527,--
6,6,1,23,2,0.5,4,7,1.0,5.0,46.916897,46.932823,46.93312,47.45165,47.451817,3.0,0.43477455,47.886593,48.39874,0.94732803,48.39939,50.416157,--
7,7,3,19,4,3.5,3,0,1.0,6.0,52.401337,52.417625,52.417774,55.93431,55.93447,--,--,--,--,--,--,--,50.42091
8,8,1,23,2,0.5,10,7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
9,9,3,23,4,3.5,10,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10,10,3,23,6,0.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11,11,1,21,2,0.5,9,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12,12,2,19,8,2,9,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
13,13,1,25,4,0.5,8,11,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
14,14,3,21,8,0.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
15,15,1,15,4,0.5,7,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
16,16,2,25,2,3.5,11,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
17,17,2,25,2,2,2,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
18,18,1,23,2,0.5,4,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
19,19,2,23,6,0.5,4,10,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20,20,2,19,8,0.5,6,9,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
21,21,2,25,2,0.5,2,5,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,22,3,21,2,0.5,9,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
23,23,2,15,4,3.5,5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
24,24,3,21,6,0.5,7,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25,25,3,21,2,2,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
26,26,1,25,2,2,5,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
27,27,3,15,2,0.5,4,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,28,2,19,6,2,1,9,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,29,3,23,4,2,6,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
30,30,3,23,4,2,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,31,1,19,2,2,1,6,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,32,2,15,2,0.5,3,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
33,33,3,23,2,0.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
34,34,2,21,2,2,1,4,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
35,35,1,25,6,2,5,11,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
36,36,3,17,4,0.5,6,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
